
アリサ＝ランディール
ヒプノス, ＭＡＰ煙
ビンドワ, 光噴出 オレンジ
ダガー, ナイフ
フレエリ, 火炎弾
ソード, ソード
ラコニアンソード, ソード
ラスターバニッシュ(準備), 光噴出
ラスターバニッシュ(攻撃), 魔法陣;発光
ラスターバニッシュ(命中), 魔法集中 黒

タイロン(ＰＳ１)
マシンガン, マシンガン
アックス, 片刃斧
ヒートガン, ライフル;ライフル
ラコニアンアックス, 金の斧
ファイヤーウォール(準備), 光噴出
ファイヤーウォール(攻撃), 炎打ち下ろし;@戦闘アニメ_火柱命中
ファイヤーウォール(命中), 炎

ミャウ(ＰＳ１)
テルル, オーラ上昇
クロー, 爪撃
タスク, 噛み付き
スチールクロー, 爪撃
フローゼ, 氷弾
ラフローゼ(攻撃), 魔法集中 ホワイト;氷柱
ラフローゼ(命中), 凍結
ギヒール, 回復魔法泡
ラヒール, 回復魔法
パウマ, オーラ上昇 レッド
ワーラ, エネルギーフィールド展開
ムワーラ, エネルギーフィールド展開
ラストフォトン, 回復魔法;光噴出

ミゼリス＝ルツ＝イーサ＝ラナイ
サイレンス, 魔法陣 黒
スライサー, チャクラム
杖, 杖
フレエリ, 火炎弾
ヒューン, 風
タンドレ, ＭＡＰ落雷
ギフレエリ(攻撃), 火炎弾;@戦闘アニメ_爆発命中
ギフレエリ(命中), 炎
ギヒューン, 強風
ギタンドレ, ＭＡＰ放電

#　　スライサーはチャクラムよりブーメランのが近いだろうか。
#　　どうせ、どっちも違うといえば違うのだけど。

ラ・シーク
杖(準備), 杖
杖(攻撃), 魔法集中 ホワイト 対象ユニットＩＤ;白兵武器
杖(命中), 発光
雷撃(準備), 杖
雷撃(攻撃), ＭＡＰ放電
雷撃(命中), 放電
ギヒール, 回復魔法泡

ダークファルス(ＰＳ１)
両腕, 打突
炎(攻撃), 火炎弾;@戦闘アニメ_爆発命中
炎(命中), 炎
赤い光(準備), 振る武器 Magic\EFFECT_MCircle(Red)01.bmp 二刀流
赤い光(攻撃), 光球 レッド
赤い光(命中), 発光 レッド

ＰＳ１
光球(準備), 杖
光球(攻撃), 光球
光球(命中), 光球
ギフレエリ(攻撃), 火炎弾;@戦闘アニメ_爆発命中
ギフレエリ(命中), 炎
ギヒューン, 強風
ラフローゼ(攻撃), 魔法集中 ホワイト;氷柱
ラフローゼ(命中), 凍結
ギタンドレ, ＭＡＰ放電
牙, 噛み付き
ファイアーブレス, 波動放射 レッド
アイスブレス, ＭＡＰ波動放射 
ブレス, ＭＡＰ波動放射 ピンク
機銃掃射, 内臓ガトリング
機銃, 内臓ガトリング
石化光線, 煙
蛇の腕(攻撃), 打突
蛇の腕(命中), 噛み付き
電撃, 電撃
炎, 火炎放射
