
ＰＳ千年紀
グランツ, 小ビーム イエロー
ギグランツ, 小ビーム レッド
ラグランツ, 小ビーム グリーン
メギド(攻撃), 発光 ブラック
メギド(命中), 連続爆発
フォイエ, 火炎弾
ギフォイエ, 発火
グラブド, 放電
ギグラブド, 大放電
ラグラブド, ＭＡＰ放電
ザン, 強風
ギザン, 竜巻
ラザン, 竜巻
ボルト, 旋風 ブラック
サボルト, 旋風 ブラック
プロセダン(攻撃), 振動
プロセダン(命中), ダメージ
ギバータ, 泡球
レスタ, 発光
ギレスタ, 発光
ラレスタ, 発光
フレエリ, 火炎弾
ヒューン, 強風
タンドレ, 落雷
エリミネート, 大刺突
スパーク, 電撃
トリニティブラスター, ＭＡＰ持続ビーム イエロー
ブリザード, 吹雪
デストラクション, ＭＡＰフラッシュ
ファイアストーム, 吹雪 レッド
ホロコースト(攻撃), 振動
ホロコースト(命中), ダメージ
コンダクトサンダー, ＭＡＰ落雷
ブラックホール, ＭＡＰブラックホール
ピュアリファイライト, ＭＡＰ発光
シャドウバインド, 光噴出 ブラック
マインドブラスト, 旋回光弾 ホワイト
カロジアン, 煙 ブラック
デススペル, 決め文字 § ブラック
フォースフラッシュ, 発光 ホワイト
ファイアブレス, 火炎放射
爪, 爪撃
光, 小ビーム
雷爪, 爪撃
サンダーブラスト, ＭＡＰ放電
光る触覚, 発光
アースクエイク, ＭＡＰ地震
ディスラプトアーム(攻撃), ４ＷＡＹ射出
ディスラプトアーム(命中), 炎
炎の塊, 炎投射

ルディ＝アシュレ
ソード, 剣
ガーディアンソード, 剣
エアスラッシュ, 波動放射
エルシディオン, 神剣
ソードクロス, 振り下ろし;薙ぎ払い
レイブレード, 大斬撃 イエロー
エクスプロード(攻撃), スーパータックル イエロー
エクスプロード(命中), 爆発
サイレントウェーブ(攻撃), 音波 partner(1);波動放射
サイレントウェーブ(命中), 斬撃
パラダインブロウ, 中ビーム イエロー partner(1);大斬撃
グランドクロス(攻撃), 光柱 partner(1);振り下ろし;薙ぎ払い
グランドクロス(命中), 振り下ろし;薙ぎ払い

ライラ＝ブラングウェン
ムーンシェイド, 発光
スライサー, チャクラム
ヴォルテックス(攻撃), チャクラム;旋回光弾
ヴォルテックス(命中), 斬撃
デスサイズ, チャクラム
リーサルイメージ(攻撃), 分身 partner(1);チャクラム
リーサルイメージ(命中), 斬撃

スレイ＝ウォルシュ
サイコウォンド, 発光
ロッド, 杖
ネガティス, 泡 ブラック
ディーム, 光圧縮 ブラック
エフェス, 光柱
レジェオン(攻撃), 光球放出 machinegun.wav
レジェオン(命中), 連続爆発 10 イエロー
ガーディアンロッド, 発光
グランドクロス(攻撃), 光柱;振り下ろし partner(1);薙ぎ払い partner(1)
グランドクロス(命中), 振り下ろし;薙ぎ払い
シューティングスター, 炎投射 partner(1)
サーキットブレイカー(攻撃), 音波 pertner(1);落雷
サーキットブレイカー(命中), 落雷

ニューマンのファル
イリュージョン(攻撃), 分身
イリュージョン(命中), ダメージ
クロー, 爪撃
シルバータスク, 爪撃
ガーディアンクロー, 爪撃
ディスラプト, 爪撃
ダブルアタック, 爪撃;爪撃
リーサルイメージ(攻撃), 分身;チャクラム pertner(1)
リーサルイメージ(命中), 斬撃

アンドロイドのフォーレン
ハイパージャマー, 音波
パルスレーザー, ビームショットガン
プラズマライフル, ビームライフル
フレアショット, ２連小ビーム レッド
フォトンイレーサー, バスタービームライフル
バーストロック, 炎投射
ポジトロンライフル, 超ビーム ブルー
シューティングスター, 炎投射
サーキットブレイカー(攻撃), 音波;落雷
サーキットブレイカー(命中), 落雷

ハーン＝マーレイ
ダガー, ナイフ
アストラルフレア, 中ビーム ブルー
パラダインブロウ, 中ビーム ブルー;大斬撃 partner(1)

モタビアンマニアのパイク
アックス, 片刃斧
ラコニアンアックス, 片刃斧
スィーピング, 薙ぎ払い
クラッシュ, 大斬撃

アンドロイドのフレナ
ステイシスビーム, 中ビーム ブルー
インパクター, 光弾銃
ソニックバスター, リングビームガン
フォノンメーザー, 音波
メディカルパワー, 発光 グリーン
サイレントウェーブ(攻撃), 音波;波動放射 partner(1)
サイレントウェーブ(命中), 斬撃

デゾリアンのラジャ
ロッド, 杖
ラコニアロッド, 発光
セントファイア, 炎投射 ホワイト
ホーリィワード, 決め文字 § ホワイト
ブレッシング, エネルギーフィールド展開 ブルー
アタラクシア, 光球放出
ミラクル, 光球集中

シェス＝ティアニー
ムーンスライサー, 発光
スライサー, チャクラム
メディス, 回復魔法

考古学者のシアム
ラコニアダガー, ナイフ

ランドマスター(ＰＳ千年紀)
大砲, キャノン砲
クラスターボム, 炎投射
グラビトン, 重力弾

アイスデッガー(ＰＳ千年紀)
ツインレーザー, ２連中ビーム レッド
ナパームミサイル, 炎投射
ネガスフィア, 重力弾

フロームーバー(ＰＳ千年紀)
エネルギー弾, 光弾
エレクトログリッド, 交差ビーム
ゼランバスター, 光柱 ブルー

深遠なる闇
レイブレス, 特殊光線
シャドウブレス, 火炎放射 ブラック
光線, 中ビーム
ライトニングシャワー, 落雷
ディストーション, 音波
イービルアイ(攻撃), 邪眼発動
イービルアイ(命中), ダメージ
キャンセレーション(攻撃), 旋回光弾 レッド
光, 発光

ダーク・ファルス
フォノンメーザー, 音波
フレアショット, ２連小ビーム レッド
バーストロック, 炎投射
ライトニングシャワー, 大放電
ダークブレス, 火炎放射 ブラック
剣の左腕, 大斬撃

プロトファルス(千年紀)
黒いビーム, 中ビーム ブラック

暗黒の魔導士ジオ
黒い波動, 波動放射 ブラック
赤い光, 光球 レッド

ラシーク(ＰＳ千年紀)
サンダーハルバード, 大放電
アナザーゲート, フラッシュ ブラック
