フィギュア１７
噛み付き, 打撃
格闘, 格闘
攻撃無効化(反カリオンシールド), ビームシールド 青
カリオン砲弾, キャノン砲
ブーストキック, スーパーキック
ブーストナックル, スーパーパンチ
反カリオンペレット(攻撃), 投擲武器 Bullet\EFFECT_Grenade01.bmp
反カリオンペレット(命中), ニードルレーザー連射 青
ペレット弾, ニードルレーザー連射 青
カリオンブレード, ビームサーベル突撃 青
噴射弾, ミサイル
カリオン, 中ビーム 赤
ハンディカリオン, 小ビーム 赤
カリオンバズーカ, 中ビーム 赤
ブレード化, 刺突
捕縛用デコイ, ネット
カリオン砲(母船), 衛星ビーム 赤
叩きつけ, 打撃
棘, 刺突
捕食, 噛み付き
捕縛触手, 触手 白
貫通触手, 多触手 黒
回転突撃, スピンアタック
触手, 触手 黒
飛びかかり, 飛びかかり 
叩き落とし, ヘッドバット
翼, 打撃突撃
毒粒子, ＭＡＰ煙 黒
ブーメラン, シュートカッター 赤
溶解液, 放水銃
ゴキブリ型マギュア, 鳥
突撃, タックル
シールド防御(甲殻), ビームシールド 黒 Flair.wav 甲殻
