ブシドーブレード
#
#基本武器
#
体術,格闘
金槌,ハンマー
野太刀,野太刀
レイピア,レイピア
薙刀,ナギナタ
打刀,日本刀
セイヨーブレード,鋼剣
白眉,ナギナタ
忍者刀,脇差
夕霧,日本刀
長ドス,長ドス
太刀,妖刀
ブロードソード,大剣
ロングソード,ショートソード
槍,スピア
#
#基本技
#命中シチュを複数用意してパターン増加を図る
#パターンをSetSkillで指定すると高負荷時に巧く動かないらしいので
#
鳴鏡流(金槌)(準備),ハンマー
鳴鏡流(金槌)(攻撃),ハンマー突撃
鳴鏡流(金槌)(命中),@戦闘アニメ_振り下ろし攻撃 Sword.wav;2;@戦闘アニメ_振り下ろし攻撃 Sword.wav;振り下ろし Sword.wav;2;振り下ろし Sword.wav
鳴鏡流(金槌)(命中),@戦闘アニメ_振り下ろし攻撃 Sword.wav;2;@戦闘アニメ_振り上げ攻撃 Sword.wav;振り下ろし Sword.wav;2;振り上げ Sword.wav
鳴鏡流(金槌)(命中),@戦闘アニメ_なぎ払い攻撃 Sword.wav;@戦闘アニメ_なぎ払い攻撃 Sword.wav;なぎ払い Sword.wav;なぎ払い Sword.wav
鳴鏡流(野太刀)(準備),野太刀
鳴鏡流(野太刀)(攻撃),野太刀突撃
鳴鏡流(野太刀)(命中),@戦闘アニメ_振り下ろし攻撃;1;@戦闘アニメ_なぎ払い攻撃;振り下ろし;1;なぎ払い
鳴鏡流(野太刀)(命中),@戦闘アニメ_振り上げ攻撃;1;@戦闘アニメ_振り下ろし攻撃;振り上げ;1;振り下ろし
鳴鏡流(野太刀)(命中),@戦闘アニメ_なぎ払い攻撃;1;@戦闘アニメ_なぎ払い攻撃;なぎ払い;1;なぎ払い
鳴鏡流(レイピア)(準備),レイピア
鳴鏡流(レイピア)(攻撃),レイピア突撃
鳴鏡流(レイピア)(命中),@戦闘アニメ_連突攻撃;連突
鳴鏡流(レイピア)(命中),@戦闘アニメ_刺突攻撃;@戦闘アニメ_刺突攻撃;@戦闘アニメ_刺突攻撃;刺突;刺突;刺突
鳴鏡流(レイピア)(命中),@戦闘アニメ_刺突攻撃;@戦闘アニメ_なぎ払い攻撃 Sword.wav;刺突;なぎ払い
鳴鏡流(薙刀)(準備),ナギナタ
鳴鏡流(薙刀)(攻撃),ナギナタ突撃
鳴鏡流(薙刀)(命中),@戦闘アニメ_斬撃攻撃;2;@戦闘アニメ_なぎ払い攻撃;3;@戦闘アニメ_回転斬撃攻撃;斬撃;2;なぎ払い;3;回転斬撃
鳴鏡流(薙刀)(命中),@戦闘アニメ_なぎ払い攻撃;2;@戦闘アニメ_斬撃攻撃;@戦闘アニメ_刺突攻撃 FightHit(1).wav;なぎ払い;2;斬撃;刺突 FightHit(1).wav
鳴鏡流(薙刀)(命中),@戦闘アニメ_振り下ろし攻撃;@戦闘アニメ_刺突攻撃;@戦闘アニメ_なぎ払い攻撃;振り下ろし;刺突;なぎ払い
鳴鏡流(打刀)(準備),日本刀
鳴鏡流(打刀)(攻撃),日本刀突撃
鳴鏡流(打刀)(命中),@戦闘アニメ_なぎ払い攻撃;1;@戦闘アニメ_振り下ろし攻撃;1;@戦闘アニメ_なぎ払い攻撃;なぎ払い;1;振り下ろし;1;なぎ払い
鳴鏡流(打刀)(命中),@戦闘アニメ_振り下ろし攻撃;2;@戦闘アニメ_なぎ払い攻撃;振り下ろし;2;なぎ払い
鳴鏡流(打刀)(命中),@戦闘アニメ_なぎ払い攻撃;@戦闘アニメ_刺突攻撃;なぎ払い;刺突
鳴鏡流(セイヨーブレード)(準備),鋼剣
鳴鏡流(セイヨーブレード)(攻撃),鋼剣突撃
鳴鏡流(セイヨーブレード)(命中),@戦闘アニメ_なぎ払い攻撃;@戦闘アニメ_振り下ろし攻撃;@戦闘アニメ_なぎ払い攻撃;なぎ払い;振り下ろし;なぎ払い
鳴鏡流(セイヨーブレード)(命中),@戦闘アニメ_振り下ろし攻撃;@戦闘アニメ_刺突攻撃;振り下ろし;刺突
鳴鏡流(セイヨーブレード)(命中),@戦闘アニメ_振り上げ攻撃;@戦闘アニメ_振り下ろし攻撃;2;@戦闘アニメ_なぎ払い攻撃;振り上げ;振り下ろし;なぎ払い
鳴鏡流(白眉)(準備),ナギナタ
鳴鏡流(白眉)(攻撃),ナギナタ突撃
鳴鏡流(白眉)(命中),@戦闘アニメ_斬撃攻撃;2;@戦闘アニメ_なぎ払い攻撃;3;@戦闘アニメ_回転斬撃攻撃;斬撃;2;なぎ払い;3;回転斬撃
鳴鏡流(白眉)(命中),@戦闘アニメ_なぎ払い攻撃;2;@戦闘アニメ_斬撃攻撃;@戦闘アニメ_刺突攻撃 FightHit(1).wav;なぎ払い;2;斬撃;刺突 FightHit(1).wav
鳴鏡流(白眉)(命中),@戦闘アニメ_振り下ろし攻撃;@戦闘アニメ_刺突攻撃;@戦闘アニメ_なぎ払い攻撃;振り下ろし;刺突;なぎ払い
鳴鏡流(忍者刀)(準備),忍者刀
鳴鏡流(忍者刀)(攻撃),忍者刀突撃
鳴鏡流(忍者刀)(命中),@戦闘アニメ_連突攻撃;連突
鳴鏡流(忍者刀)(命中),@戦闘アニメ_刺突攻撃;@戦闘アニメ_刺突攻撃;@戦闘アニメ_刺突攻撃;刺突;刺突;刺突
鳴鏡流(忍者刀)(命中),@戦闘アニメ_刺突攻撃;@戦闘アニメ_なぎ払い攻撃 Sword.wav;刺突;なぎ払い
鳴鏡流(夕霧)(準備),日本刀
鳴鏡流(夕霧)(攻撃),日本刀突撃
鳴鏡流(夕霧)(命中),@戦闘アニメ_なぎ払い攻撃;1;@戦闘アニメ_振り下ろし攻撃;1;@戦闘アニメ_なぎ払い攻撃;なぎ払い;1;振り下ろし;1;なぎ払い
鳴鏡流(夕霧)(命中),@戦闘アニメ_振り下ろし攻撃;2;@戦闘アニメ_なぎ払い攻撃;振り下ろし;2;なぎ払い
鳴鏡流(夕霧)(命中),@戦闘アニメ_なぎ払い攻撃;@戦闘アニメ_刺突攻撃;なぎ払い;刺突
剣術(長ドス)(準備),長ドス
剣術(長ドス)(攻撃),長ドス突撃
剣術(長ドス)(命中),@戦闘アニメ_なぎ払い攻撃;@戦闘アニメ_振り下ろし攻撃;@戦闘アニメ_なぎ払い攻撃;なぎ払い;振り下ろし;なぎ払い
剣術(長ドス)(命中),@戦闘アニメ_振り下ろし攻撃;@戦闘アニメ_刺突攻撃;振り下ろし;刺突
剣術(長ドス)(命中),@戦闘アニメ_振り上げ攻撃;@戦闘アニメ_振り下ろし攻撃;2;@戦闘アニメ_なぎ払い攻撃;振り上げ;振り下ろし;なぎ払い
剣術(準備),妖刀
剣術(攻撃),妖刀突撃
剣術(命中),@戦闘アニメ_なぎ払い攻撃;1;@戦闘アニメ_振り下ろし攻撃;1;@戦闘アニメ_なぎ払い攻撃;なぎ払い;1;振り下ろし;1;なぎ払い
剣術(命中),@戦闘アニメ_振り下ろし攻撃;2;@戦闘アニメ_なぎ払い攻撃;振り下ろし;2;なぎ払い
剣術(命中),@戦闘アニメ_なぎ払い攻撃;@戦闘アニメ_刺突攻撃;なぎ払い;刺突
鳴鏡流(ブロードソード)(準備),大剣
鳴鏡流(ブロードソード)(攻撃),大剣突撃
鳴鏡流(ブロードソード)(命中),@戦闘アニメ_振り下ろし攻撃;1;@戦闘アニメ_なぎ払い攻撃;振り下ろし;1;なぎ払い
鳴鏡流(ブロードソード)(命中),@戦闘アニメ_振り上げ攻撃;1;@戦闘アニメ_振り下ろし攻撃;振り上げ;1;振り下ろし
鳴鏡流(ブロードソード)(命中),@戦闘アニメ_なぎ払い攻撃;1;@戦闘アニメ_なぎ払い攻撃;なぎ払い;1;なぎ払い
鳴鏡流(LS)(準備),ショートソード
鳴鏡流(LS)(攻撃),ショートソード突撃
鳴鏡流(LS)(命中),@戦闘アニメ_なぎ払い攻撃;1;@戦闘アニメ_振り下ろし攻撃;1;@戦闘アニメ_なぎ払い攻撃;なぎ払い;1;振り下ろし;1;なぎ払い
鳴鏡流(LS)(命中),@戦闘アニメ_振り下ろし攻撃;2;@戦闘アニメ_なぎ払い攻撃;振り下ろし;2;なぎ払い
鳴鏡流(LS)(命中),@戦闘アニメ_なぎ払い攻撃;@戦闘アニメ_刺突攻撃;なぎ払い;刺突
捨陰流(打刀)(準備),日本刀
捨陰流(打刀)(攻撃),日本刀突撃
捨陰流(打刀)(命中),@戦闘アニメ_なぎ払い攻撃;1;@戦闘アニメ_振り下ろし攻撃;1;@戦闘アニメ_なぎ払い攻撃;なぎ払い;1;振り下ろし;1;なぎ払い
捨陰流(打刀)(命中),@戦闘アニメ_振り下ろし攻撃;2;@戦闘アニメ_なぎ払い攻撃;振り下ろし;2;なぎ払い
捨陰流(打刀)(命中),@戦闘アニメ_なぎ払い攻撃;@戦闘アニメ_刺突攻撃;なぎ払い;刺突
捨陰流(槍)(準備),スピア
捨陰流(槍)(攻撃),スピア突撃
捨陰流(槍)(命中),@戦闘アニメ_なぎ払い攻撃;1;@戦闘アニメ_刺突攻撃;@戦闘アニメ_刺突攻撃;なぎ払い;刺突;刺突
捨陰流(槍)(命中),@戦闘アニメ_連突攻撃;連突
捨陰流(槍)(命中),@戦闘アニメ_刺突攻撃;@戦闘アニメ_なぎ払い攻撃;@戦闘アニメ_刺突攻撃;刺突;なぎ払い;刺突
捨陰党(LS)(準備),ショートソード
捨陰党(LS)(攻撃),ショートソード突撃
捨陰党(LS)(命中),@戦闘アニメ_なぎ払い攻撃;1;@戦闘アニメ_振り下ろし攻撃;1;@戦闘アニメ_なぎ払い攻撃;なぎ払い;1;振り下ろし;1;なぎ払い
捨陰党(LS)(命中),@戦闘アニメ_振り下ろし攻撃;2;@戦闘アニメ_なぎ払い攻撃;振り下ろし;2;なぎ払い
捨陰党(LS)(命中),@戦闘アニメ_なぎ払い攻撃;@戦闘アニメ_刺突攻撃;なぎ払い;刺突
捨陰流(野太刀)(準備),野太刀
捨陰流(野太刀)(攻撃),野太刀突撃
捨陰流(野太刀)(命中),@戦闘アニメ_振り下ろし攻撃;1;@戦闘アニメ_なぎ払い攻撃;振り下ろし;1;なぎ払い
捨陰流(野太刀)(命中),@戦闘アニメ_振り上げ攻撃;1;@戦闘アニメ_振り下ろし攻撃;振り上げ;1;振り下ろし
捨陰流(野太刀)(命中),@戦闘アニメ_なぎ払い攻撃;1;@戦闘アニメ_なぎ払い攻撃;なぎ払い;1;なぎ払い
捨陰流(ブロードソード)(準備),大剣
捨陰流(ブロードソード)(攻撃),大剣突撃
捨陰流(ブロードソード)(命中),@戦闘アニメ_振り下ろし攻撃;1;@戦闘アニメ_なぎ払い攻撃;振り下ろし;1;なぎ払い
捨陰流(ブロードソード)(命中),@戦闘アニメ_振り上げ攻撃;1;@戦闘アニメ_振り下ろし攻撃;振り上げ;1;振り下ろし
捨陰流(ブロードソード)(命中),@戦闘アニメ_なぎ払い攻撃;1;@戦闘アニメ_なぎ払い攻撃;なぎ払い;1;なぎ払い
#
#固有技
#
回猪(準備),ハンマー
回猪(攻撃),ハンマー突撃;斬撃乱舞
回猪(命中),斬撃乱舞 Crash.wav
脳天砕き二連掬い上げ(準備),ハンマー
脳天砕き二連掬い上げ(攻撃),ハンマー突撃;振り下ろし;振り下ろし;3;超アッパー
脳天砕き二連掬い上げ(命中),振り下ろし;振り下ろし;3;超アッパー
虚空斬(準備),野太刀
虚空斬(攻撃),野太刀突撃;振り下ろし;振り下ろし;1;振り下ろし
虚空斬(命中),振り下ろし;振り下ろし;1;振り下ろし
朧月(準備),野太刀
朧月(攻撃),円月殺法 白 -.wav;振り下ろし;なぎ払い;振り下ろし;振り下ろし;なぎ払い
朧月(命中),振り下ろし;なぎ払い;振り下ろし;振り下ろし;なぎ払い
鷹威,レイピア突撃
三途越(準備),レイピア
三途越(攻撃),レイピア突撃;乱突;1;刺突
三途越(命中),乱突;1;刺突
不知火,ナギナタ突撃
四方突き(準備),ナギナタ
四方突き(攻撃),ナギナタ突撃;連突;2;刺突
四方突き(命中),連突;2;刺突
胴斬り返し(準備),日本刀
胴斬り返し(攻撃),連斬撃
胴斬り返し(命中),連斬撃
十文字(準備),日本刀
十文字(攻撃),なぎ払い;振り下ろし
十文字(命中),なぎ払い;振り下ろし
袈裟斬り三重(準備),日本刀
袈裟斬り三重(攻撃),なぎ払い;1;なぎ払い;1;なぎ払い
袈裟斬り三重(命中),なぎ払い;1;なぎ払い;1;なぎ払い
蛇目(準備),鋼剣
蛇目(攻撃),アッパー
蛇目(命中),振り上げ
飛び込み横払い,鋼剣突撃
黄泉の舞(準備),ナギナタ
黄泉の舞(攻撃),回転斬撃;乱突;回転斬撃
黄泉の舞(命中),回転斬撃;乱突;回転斬撃
振り下ろし面打ち三段(準備),ナギナタ
振り下ろし面打ち三段(攻撃),振り下ろし;1;振り下ろし;3;振り下ろし
振り下ろし面打ち三段(命中),振り下ろし;1;振り下ろし;3;振り下ろし
椿落とし(準備),ナギナタ
椿落とし(攻撃),回転斬撃
椿落とし(命中),回転斬撃
雀散らし(準備),忍者刀
雀散らし(攻撃),なぎ払い
雀散らし(命中),なぎ払い
突き三連(準備),忍者刀
突き三連(攻撃),刺突;刺突;1;刺突
突き三連(命中),刺突;刺突;1;刺突
細蛇目(準備),忍者刀
細蛇目(攻撃),振り上げ
細蛇目(命中),振り上げ
踏み込み巻斬り(準備),忍者刀
踏み込み巻斬り(攻撃),忍者刀突撃;なぎ払い
踏み込み巻斬り(命中),横大斬撃
高麗独楽(準備),忍者刀
高麗独楽(攻撃),回転斬撃
高麗独楽(命中),連続なぎ払い
真直叩き斬り(準備),日本刀
真直叩き斬り(攻撃),日本刀突撃;斬撃
真直叩き斬り(命中),斬撃
払い面(準備),日本刀
払い面(攻撃),日本刀突撃;なぎ払い Slash(2).wav;斬撃
払い面(命中),斬撃
兜割(準備),日本刀
兜割(攻撃),日本刀突撃;振り下ろし
兜割(命中),大斬撃
河蝉一閃(準備),日本刀
河蝉一閃(攻撃),振り上げ;3;刺突
河蝉一閃(命中),振り上げ;3;刺突
啄木鳥(準備),長ドス
啄木鳥(攻撃),刺突;刺突
啄木鳥(命中),刺突;刺突
豺狼(準備),長ドス
豺狼(攻撃),なぎ払い;長ドス突撃;斬撃
豺狼(命中),なぎ払い;2;斬撃
鹿威面(準備),長ドス
鹿威面(攻撃),振り上げ;振り下ろし;1;振り下ろし
鹿威面(命中),振り上げ;振り下ろし;1;振り下ろし
荒真直斬り(準備),妖刀
荒真直斬り(攻撃),妖刀突撃;振り下ろし
荒真直斬り(命中),振り下ろし
真直逆胴返し(準備),妖刀
真直逆胴返し(攻撃),振り下ろし;なぎ払い;なぎ払い
真直逆胴返し(命中),振り下ろし;なぎ払い;なぎ払い
鉦叩(準備),妖刀
鉦叩(攻撃),なぎ払い;斬撃
鉦叩(命中),なぎ払い;斬撃
仏突き(準備),大剣
仏突き(攻撃),大剣突撃;刺突
仏突き(命中),刺突
胴斬り乱舞(準備),大剣
胴斬り乱舞(攻撃),なぎ払い;なぎ払い;回転斬撃;刺突
胴斬り乱舞(命中),なぎ払い;なぎ払い;Swing.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav;3;横大斬撃
天冥砕き(準備),大剣
天冥砕き(攻撃),斬撃;振り上げ;振り下ろし
天冥砕き(命中),斬撃;振り上げ;大斬撃
裏天冥土蜘蛛(準備),野太刀
裏天冥土蜘蛛(攻撃),振り上げ;振り下ろし;野太刀突撃;なぎ払い
裏天冥土蜘蛛(命中),振り上げ;振り下ろし;Swing.wav;2;なぎ払い
落ち葉(薙刀)(準備),-
落ち葉(薙刀)(攻撃),ナギナタ突撃;なぎ払い
落ち葉(薙刀)(命中),なぎ払い
兜割(薙刀),ナギナタ突撃
穿ち突き(準備),ナギナタ
穿ち突き(攻撃),ナギナタ突撃;2;刺突
穿ち突き(命中),横大斬撃
拝み手(準備),日本刀
拝み手(攻撃),日本刀突撃;なぎ払い
拝み手(命中),Swing.wav;2;なぎ払い
蛇目(打刀)(準備),日本刀
蛇目(打刀)(攻撃),日本刀突撃;振り上げ
蛇目(打刀)(命中),超アッパー Slash.wav
朧月(打刀)(準備),日本刀
朧月(打刀)(攻撃),円月殺法 白 -.wav;振り下ろし;なぎ払い;振り下ろし;振り下ろし;なぎ払い
朧月(打刀)(命中),振り下ろし;なぎ払い;振り下ろし;振り下ろし;なぎ払い
猪鹿蝶(準備),日本刀
