汎用
攻撃無効化(霧), バリア -.wav 霧

黒い天使
吹き矢, 吹き矢
スポーク投げ, ニードル
スポーク, 刺突
ホイール(攻撃), 車輪(自転車)
秘灸暗剣殺, 刺突 Drill.wav
ワイヤー(攻撃), ニードルレーザー 黒
ワイヤー(命中), ダメージ
後輪, 踏み潰し
大型拳銃, ピストル
念力, 音波
落雷, 落雷
円空暗剣殺(攻撃), 円月殺法 黒 Mist.wav;@戦闘アニメ_転移;透明化
円空暗剣殺(命中), @戦闘アニメ_転移;透明化;大刺突
電撃波, 大電撃
黒き十字架の怒り, 刺突
分身(無の境地), 緊急テレポート -.wav 無の境地
阻止(超能力), 反射 - 超能力
阻止(怒り), 反射 - 怒り
指剣, 刺突
指剣百壺殺, 乱突
百壺殺, 乱突
絶対空, 同時スーパータックル
発勁百壺殺(命中), 飛沫 青; 乱突
手刀, 打突
ハイキック, キック
飛び蹴り, 浴びせ蹴り
貫き手, 打突
頭蓋骨砕き, 打突
頭蓋骨砕き(とどめ), 死神 FightHit(3).wav
ブーメラン, ブーメラン
串刺し(攻撃), タックル
串刺し(命中), 刺突
Ｒ・バックドロップ, スーパーバックブリーカー
鉄拳乱打, 乱打
発勁(命中), 飛沫 青
投石, 投石
投げナイフ, 投げナイフ
ナイフ, ナイフ
飛龍十字剣, 投げナイフ 二刀流
目潰し, 煙 赤
水流死道波, 津波
水流霧幻陣, 煙 白
マシンガン, 機関砲
義手爆弾, ポテトマッシャー
ニードルウィップ, 鞭
手榴弾, 手榴弾
ルガー・Ｎ・Ｂ・44マグナム, ピストル
心臓握り潰し, 打撃突撃
ブレード, 斬撃
ロケット弾, ミサイル
トランプ, トランプ
トランプ跳弾, トランプ
クロスハット, シルクハット
トランプカッター, 斬撃
ネクタイブレード, エナジーカッター 青
水流逆噴烈波, ＭＡＰ津波
水流死道剣, 津波;トランプ(スペード)
霧幻陣竜波, 竜炎 青 発光
ジャブ, 打突
ストレート, 打突
バーニングパンチ(攻撃), オーラ上昇 赤; 打突
バーニングパンチ(命中), 炎
爆炎拳(攻撃), オーラ上昇 赤; 打突
爆炎拳(命中), 火柱
鉄パイプ, 鉄パイプ
ダイナマイト, ダイナマイト
ロザリオ, 刺突
自傷催眠, 音波
ローリングタックル, タックル
地獄の響き, 打突
噛み付き, 噛み付き
プロレス技, 立ち固め
オカリナ, ＭＡＰ音符
ダイレクトボイス, 音波
サイコキネシス, 音波
攻撃無効化(真空の壁), バリア Wind.wav 真空の壁
風斬剣, ソード
風斬剣流殺, 竜巻
風斬剣双流殺, 竜巻
逆毒殺気, ＭＡＰオーラ 赤

竜牙会
ワイヤー(攻撃), ニードルレーザー 黒
ワイヤー(命中), 斬撃
死斬魔糸地獄(攻撃), ニードルレーザー連射 黒
死斬魔糸地獄(命中), 斬撃乱舞
熊手(攻撃), クロー 二刀流
熊手(命中), 爪撃
格闘, 格闘
ブーメラン, ブーメラン
岩石投げ, 岩
毒蛇, 蛇
締め付け, 立ち固め
蛇郎丸, 蛇
酔拳, 爪撃
酔拳十文字殺(攻撃), 連斬撃
酔拳十文字殺(命中), 唐竹割り;なぎ払い
斬血刀, 青龍刀 二刀流
斬血烈風剣(準備), 青龍刀 二刀流
斬血烈風剣(攻撃), 円月殺法 赤
斬血烈風剣(命中), 連斬撃
妖拳筋呪縛, 打突
噛み付き, 噛み付き
円襲の陣, 猿
直雷の陣, 猿
猿楽死, 猿
青い火球, 炎投射 青
真紅の火球, 炎投射
幻夢火炎輪, 光柱
サーベル, 突剣
日本刀, 日本刀
トンファー, トンファー
罠, 隕石
Ｍ16ライフル, ライフル
毒霧, 煙 黒
爪, 爪撃
怪力, 格闘
毛針, ニードル連射
髪の毛縛り, 触手 黒
強力催眠, 音波
機銃, 機関砲
ミサイル, ミサイル
焼夷弾, 投下爆弾
拳銃, ピストル
アサルトライフル, ライフル
バズーカ砲, バズーカ
吸血コウモリ, 蝙蝠
西洋剣, ソード
間歇泉, 光噴出
毒針, ニードル
ショーテル, ショーテル
針地獄, ニードル連射
蔦, 触手 緑
水中銃, レーザーガン 黒
火炎地獄雨, 炎投射
回斬剣, モーニングスター
十文字回斬剣, モーニングスター 二刀流
回斬剣乱流,  モーニングスター 二刀流
毒蛾の群れ, 蜂
毒剣, ナイフ
予告殺(攻撃),１……;振り下ろし;2……;振り上げ;3……;なぎ払い;4……;斬撃;5……;振り下ろし;_
6……;なぎ払い;7……;振り上げ;8……;斬撃;9！;刺突
予告殺(命中),刺突

殺し屋
日本刀, 日本刀
吸血, 噛み付き
骸骨, 怨霊
棘, 刺突
硫酸, 放水銃
回転突撃, タックル
アロー, 矢
格闘, 格闘
仕込み剣, 仕込み刃
噛み付き, 噛み付き
催眠術, 音波
集団催眠, 音波
ブレード, エナジーカッター 黒
毒血, 粒子集中 赤
影写地面縛, 光噴出 黒
蛮刀, シミター
血気毒流殺, ＭＡＰ煙 赤
二転毒流雨, 同時粒子集中 赤
二転毒流剣(攻撃), 同時粒子集中 赤
二転毒流剣(命中), 唐竹割り
四転毒流泡(攻撃), 同時粒子集中 赤
四転毒流泡(命中), 泡球
四面毒殺気, 同時粒子集中 赤

白い天使
念写ロウ傀儡, 音波
サイコキネシス, 音波
西洋剣, ソード
念写ロウ呪殺, 音波
極限炎度, 火柱
念動剣, ソード
大剣, 巨大剣
ロウ焼弾, 火炎弾
ロウ人形, 人形
髪の毛針, ニードル連射
かみつき, 噛み付き
薔薇念動, バラ
鬼念薔薇地獄, 吸血バラ
鬼念食人殺, バラ
降霊術, 魔法陣 黒;怨念
石化の魔眼, 発光 黒
蛇, 多触手 緑
魔導蛇念縛(攻撃), 多触手 緑
魔導蛇念縛(命中), 立ち固め
三位一体夢幻像, 
泥流呪縛殺, 光噴出 黒
百面暗黒殺, 粒子集中 黒
天翔火炎竜, 竜炎 燃焼
火炎黒竜包囲殺, 竜炎 黒 燃焼
