
汎用
麻酔薬注射(準備), 注射器 青
麻酔薬注射(攻撃), 刺突
麻酔薬注射(命中), 注射器 青
アルコール着火(準備), 薬品 青
アルコール着火(攻撃), 振り上げ大炎斬撃 青 Splash.wav;5;ＭＡＰ炎
アルコール着火(命中), 炎
アルコール消毒(準備), 薬品 青
アルコール消毒(攻撃), -
アルコール消毒(発動), 回復魔法

ブラック・ジャック
格闘, 格闘
投げメス, 小柄
エレクトロニックダンス(準備), 小柄
エレクトロニックダンス(攻撃), 投擲武器 Weapon\EFFECT_Koduka01.bmp 速
エレクトロニックダンス(命中), 刺突;3;放電 Thunderbolt.wav
毒薬注射(準備), 注射器 紫
毒薬注射(攻撃), 刺突
毒薬注射(命中), 注射器 紫
毒薬注射(とどめ), 死神
超音波装置(準備), Computer.wav
超音波装置(攻撃), 音波
超音波装置(命中), -
超音波装置(とどめ), 死神
スリ, タックル
鍼治療(使用), 3;Stab.wav
手術(準備), 小柄
手術(使用), 3;Saber.wav
手術(使用), 3;Slash.wav
手術(使用), 3;Stab.wav
野外手術(準備), Autodoor(open).wav;連続描画 Common\EFFECT_BubbleSphere[01-01].bmp 12 1 1 相手ユニットＩＤ 保持;_
　　　　連続描画 Common\EFFECT_BubbleSphere[01-01].bmp 28 1 1 相手ユニットＩＤ 保持;_
　　　　連続描画 Common\EFFECT_BubbleSphere[01-01].bmp 40 7 1 相手ユニットＩＤ 保持;_
　　　　透明化 対象ユニットＩＤ 反映;連続描画 Common\EFFECT_BubbleSphere[01-01].bmp 40 7 1 相手ユニットＩＤ 保持
野外手術(使用), 3;Saber.wav
野外手術(使用), 3;Slash.wav
野外手術(使用), 3;Stab.wav
集団手術(準備), 小柄
集団手術(使用), 3;Slash(2).wav;7;Slash(3).wav;7;Slash(4).wav
集団手術(使用), 3;Swing.wav;5;Swing(2).wav;5;Swing(2).wav
奇跡の指先(準備), 小柄
奇跡の指先(使用), Flair.wav;5;Swing.wav;3;Swing.wav;3;Swing.wav;3;Scratch.wav
# 手術の効果音は適当。もっと良い案あればお願いします。
