
大神勇吾
クリティカルアッパー(攻撃), タックル
クリティカルアッパー(命中), 立ち固め 1;@戦闘アニメ_アッパー攻撃;アッパー
フリッカー, 乱打
ボクシング, 打突
シルバーウルフナックル(攻撃), 打突
シルバーウルフナックル(命中), 強打
パンチラッシュ, 乱打
パンチラッシュ, 連打;打突;打突
パンチラッシュ, 連打;打突;アッパー
パンチラッシュ, 打突;連打;連打
パンチラッシュ, 乱打;アッパー
パンチラッシュ, アッパー;アッパー;アッパー;アッパー;アッパー
鋭い爪, 爪撃
メテオスラッシュ(攻撃), バック転;振り上げ
メテオスラッシュ(命中), 爪撃
ブラッディロア(攻撃), タックル
ブラッディロア(命中), 噛み付き
スパイラルファング(攻撃), アッパー
スパイラルファング(命中), アッパー;@戦闘アニメ_飛びかかり攻撃;乱打;超打
炎のフリッカージャブ(攻撃), 打撃突撃
炎のフリッカージャブ(命中), スーパーパンチ レッド;スーパーパンチ レッド;スーパーパンチ レッド;スーパーパンチ レッド;スーパーパンチ レッド;スーパーパンチ レッド;@戦闘アニメ_火炎放射攻撃;超打
格闘, 格闘
銀狼拳(攻撃), 打突
銀狼拳(命中), 強打
エルボーストライク, 打撃突撃

大神勇吾(獣化)
キングオブブレイカー(攻撃), 瞬間変身 BLRO_OokamiYugoU.bmp;@BLRO_OokamiYugo.bmp;「行くぜ！」;タックル;「おぅらぁ！」;乱打;「おぅらぁ！」;乱打;「アッパァァァッ！」;アッパー
キングオブブレイカー(命中), 乱打;乱打;アッパー

大神勇吾(超獣化)
キングオブブレイカー(攻撃), タックル;乱打;乱打;アッパー
キングオブブレイカー(命中), 乱打;乱打;アッパー

野々村アリス
リリースラップ, 打突
ジョースライダー(攻撃), 打撃突撃
ジョースライダー(命中), キック
スイッチムーンサルト(攻撃), 反転上昇;急降下
スイッチムーンサルト(命中), 打撃
素早い連続攻撃, キック;キック;キック;キック
素早い連続攻撃, 連打;連打;キック
素早い連続攻撃, 打突;キック;キック;連打
素早い連続攻撃, 打突;打突
素早い連続攻撃, 打突;キック
素早い連続攻撃, 打突;打突;連打
素早い連続攻撃, キック;キック
素早い連続攻撃, 浴びせ蹴り;バック転;浴びせ蹴り
スパイラルキューブ(攻撃), ジャンプ
スパイラルキューブ(攻撃), 乱打
トリプルムーンサルト(攻撃), サマーソルト;サマーソルト;反転上昇;急降下
トリプルムーンサルト(命中), 打撃;打撃;強打
リフティングスターレイン(攻撃), ヘッドバッド
リフティングスターレイン(命中), 立ち固め 3;変形 Anime\Fire\EFFECT_FlameThrowerHit(blue)07.bmp 相手ユニットＩＤ Break.wav;@戦闘アニメ_サマーソルト攻撃;投げ飛ばし
五重サマセット(攻撃), 打撃突撃
五重サマセット(命中), 打撃;@戦闘アニメ_反転上昇攻撃;@戦闘アニメ_急降下攻撃;打撃;@戦闘アニメ_サマーソルト攻撃;@戦闘アニメ_サマーソルト攻撃;@戦闘アニメ_サマーソルト攻撃;乱打;@戦闘アニメ_反転上昇攻撃;@戦闘アニメ_急降下攻撃;強打

野々村アリス(獣化)
マーシーラビット(攻撃), タックル
