ＢＯＦ５
Ｄ－ダッシュ, Fire.wav
クリムゾンレイド(命中), 2;Fold.wav
クロスバイパー, 5;Whiz.wav
クロスバイパー(命中), 2;Sword.wav;5;Sword.Wav;3;Slash(3).wav
カブト割り(命中), 3;Swing.wav;slash.wav
剛剣技・十字剣(命中), 1;Swing.wav;3;slash.wav;3;slash.wav
絶命剣(命中), 10;Sword.wav
紫音絶命剣, 3;Saber.wav
紫音絶命剣(命中), 8;Slash.wav;5;Sword.wav
活殺剛翔剣, Whiz.wav
活殺剛翔剣(命中), 1;Swing.wav;Slash.wav
パダム, Fire.wav
レイガ, Bomb.wav
レイガ(命中), 2;Glass.wav
パダーマ, Fire.wav
レイギル, 3;Glass.wav;3;Glass.wav;3;Glass.wav
ババル, 2;Thunder.wav;2;Thunder.wav;2;Thunder.wav
パドラーム, 3;Explode(Nuclear).wav
グレイゴル, 10;Storm.wav;5;Glass.wav
バルハラー, 5;Thunder.wav;3;Explode(Far).wav
ラグバルハラー, 10;Charge.wav;2;Thunder.wav;5;Explode(Far).wav
メコム, 10;Wind(Low).wav
メコム(命中), 10;Shock(Echo).wav
光弾, 10;Cannoon.wav;3;FastGun.wav
蛇噛(命中), 1;Saber.wav;3;Fold.wav
穿(命中), 1;Saber.wav;1;Stab.wav
獅子砕(命中), 1;Saber.wav;1;Glass.wav
麒麟翔, Whiz.wav
ドラゴンキラー, 5;Fold.wav;1;swing.wav
ドラゴンキラー(命中), 3;Crash.wav
獣剣技・弐獣葬(命中), 1;Saber.wav;1;stab.wav;1;stab.wav
獣剣技・参獣葬(命中), 1;Saber.wav;1;stab.wav;1;stab.wav;3;Bazooka.wav
獣剣舞・伍獣葬, 10;Wind(Low).wav;5;Inori.wav
獣剣舞・伍獣葬(命中), stab.wav;1;stab.wav;1;stab.wav;1;stab.wav;1;stab.wav
ダイアボリカル, 3;Storm.wav;3;Storm.wav
ヴィールヒ(命中), 2;Swing.wav;crash.wav
ウラガーン(命中), 2;Swing.wav;crash.wav
タルナーダ(命中), 2;Swing.wav;5;crash.wav;5;crash.wav
Ｄ－ブレス, 10;Charge.wav;10;AntiShipMissile.wav
ダブルスクラッチ(命中), 1;Swing.wav;Slash.wav;Slash.wav
ガダブレダ, 3;Shock(Low).wav;3;Shock(Low).wav;3;Shock(Low).wav
ドリルプレッシャ, 5;Walk(Robot).wav;3;Bazooka.wav
ソーサー, Drill.wav
フォルカッション, 3;PowerDown.wav
レクタ, 3;Sharara.wav
ハンドレドギアス, MultipleRocketLauncher(Light).wav
ハンドレドギアス(命中), LaserGun.wav
秘孔突き(命中), 1;Swing.wav;3;Punch.wav
アブ！(命中), 3;Swing.wav;Bazooka.wav
ゴブルアッ！, 3;Bazooka.wav;5;Crash.wav
メタインパクト(命中), 2;Swing.wav;2;FightHit(1).wav;2;Fighthit(1).wav
フェイタルブロウ(命中), 5;Swing.wav;5;Shock(Low).wav
オンコット, クピトはオンコットをけしかけた。
神曲, 2;Chimes.wav;3;Explode(Far).wav
ブラックフリップ(命中), 1;Swing(2).wav;Stab.wav
ペンタストローク(命中), 3;swing.wav;3;punch.wav;2;punch.wav;2;combo.wav
ドラゴンブレス, 10;Charge.wav;10;AntiShipMissile.wav
