プリズムアーク
#
ブレイカーズ, 斬撃;飛沫
パワーブレード, 斬撃
スウィンギングクロス, 振り下ろし
ストリームレイド, 連斬撃;振り下ろし
アッパースパイク(攻撃), 超アッパー
アッパースパイク(命中), 振り上げ
セレブレーション(攻撃), 波動放射 白 遅
セレブレーション(命中), 斬撃
ジャッジメント(命中), 連斬撃;飛沫 黒
承伏せし冒涜の理(攻撃), @戦闘アニメ_転移 Whiz.wav
承伏せし冒涜の理(命中), 斬撃突撃;大爆発
戦神の寵愛(準備), オーラ上昇 青 対象ユニットＩＤ
戦神の寵愛(攻撃), 急降下
戦神の寵愛(命中), 唐竹割り
ナイツオブデストロイ(準備), オーラ上昇 青 対象ユニットＩＤ
ナイツオブデストロイ(攻撃), スーパータックル
ナイツオブデストロイ(命中), 横大斬撃;唐竹割り;大斬撃;唐竹割り;大斬撃 二刀流;「トドメっ……！」;@戦闘アニメ_急降下攻撃;3;超斬撃
アーラ・グラディウス(準備), 1;「うぉぉぉぉぉぉっ……アーラ・グラディウス！！」;フラッシュ glass.wav;羽 -.wav;ディレイ 1;『<I>我、主の命を受けし時、其の輝きを以って有翼の民を治む</I>』;神剣 Reload.wav
アーラ・グラディウス(攻撃), ディレイ 5;1;「その尊き想いこそが審判の剣！」;ディレイ 1 Charge(high).wav;粒子集中 緑 対象ユニットＩＤ -.wav;ディレイ 2;1;「真なる裁きその身に刻め！」;スーパータックル 緑 whiz.wav;ディレイ 2
アーラ・グラディウス(命中), @戦闘アニメ_スーパータックル攻撃 緑 Storm.wav;「オォォォォォォォッ！！」;超斬撃 緑
アーラ・グラディウス(解説), $(パイロット)はアーラ・グラディウスの真なる姿で攻撃した。
#
ルビーフラッシュ(攻撃), 斬撃突撃
ルビーフラッシュ(命中), なぎ払い
グロウラッシュ, 乱突
ミラージュラッシュ, 刺突突撃
パワーストック(準備), オーラ上昇 黄
パワーストック(攻撃), 斬撃突撃
パワーストック(命中), なぎ払い
サザンクロス(準備), 光噴出 白;エストック
サザンクロス(攻撃), ジャンプ;なぎ払い;気斬 白 速
サザンクロス(命中), 光振り下ろし 白 中;光なぎ払い 白 中;放電
レッドホットショット(準備), 光噴出 白;エストック Reload(2).wav
レッドホットショット(攻撃), @戦闘アニメ_転移 Whiz.wav;1;なぎ払い;振り上げ;なぎ払い;1;振り下ろし;なぎ払い;振り上げ;なぎ払い;振り下ろし;スーパータックル 赤
レッドホットショット(命中), 光回転斬撃 赤;光回転斬撃 赤;飛沫 赤
レッドホットショット(解説), $(パイロット)は大きく跳躍し無数の衝撃波を放った。
#
マジカルハンマー？, 大金槌
ひき逃げ(攻撃), Jet.wav
ひき逃げ(命中), ダメージ Crash.wav 相手ユニットＩＤ
ひき逃げ(解説), $(パイロット)はものすごい勢いで$(相手ユニット)へと突っ込んだ。
#
必中, 和弓
連射(準備), 和弓
連射(攻撃), 和弓;和弓
連射(命中), 矢連刺
夜叉(準備), 光噴出 赤;和弓
夜叉(攻撃), 粒子集中 赤 Charge(long).wav 対象ユニットＩＤ;粒子集中 赤 -.wav 対象ユニットＩＤ ;粒子集中 赤 -.wav 対象ユニットＩＤ;2;和弓 Warship.wav
夜叉(命中), 大爆発;連続爆発;連続爆発;大爆発
#
二刀流(攻撃), 斬撃 二刀流
二刀流(命中), 斬撃 二刀流
竜牙斬(攻撃), 斬撃 Saber.wav;実弾発射 "Anime\Fire\EFFECT_DragonFire_S(Green)01.bmp" 32 -.wav
竜牙斬(命中), 超打
月光斬(準備), 日本刀 二刀流 Reload(5).wav
月光斬(攻撃), 斬撃 二刀流
月光斬(命中), 光斬撃 白 二刀流 Slash(5).wav 中
双刃炎覇斬(準備), オーラ上昇 白;2;日本刀 二刀流 Reload(5).wav
双刃炎覇斬(攻撃), 斬撃 二刀流
双刃炎覇斬(命中), 炎斬撃 二刀流 Slash(4).wav;大爆発
爆爪閃裂撃(準備), オーラ上昇 白;2;日本刀 二刀流 Reload(5).wav
爆爪閃裂撃(攻撃), @戦闘アニメ_転移 Whiz.wav;斬撃 二刀流
爆爪閃裂撃(命中), 光噴出 赤 Inori.wav;超爆発
桜天華月、散華の太刀(準備), オーラ上昇 白;2;日本刀 二刀流 Reload(5).wav
桜天華月、散華の太刀(攻撃), 日本刀突撃 二刀流
桜天華月、散華の太刀(命中), スーパータックル乱舞 白 Slash.wav;1;桜吹雪 wind.wav;3;「桜天華月、散華の太刀っ！」;ディレイ 3;超斬撃 青
封魔幻神(準備), オーラ上昇 白;2;日本刀 二刀流 Reload(5).wav
封魔幻神(攻撃), 日本刀突撃 二刀流
