
# 購入し→取り出しに変更。
# コーラとツイストで改行位置が違うのは、ツイストウーマンの名前が長いからです。

ペプシマン
格闘,                         Swing.wav
格闘(命中),                   Breakoff.wav
ペプシダッシュ,               Whiz.wav
ペプシダッシュ(命中),         5;Explode.wav;3;Crash.wav;3;Crash.wav;3;Crash.wav;5;Whiz.wav;5;Explode.wav;3;Breakoff.wav;3;Cannon.wav
ペプシダッシュ(とどめ),       Interference.wav
ペプシコーラ,                 Interference.wav
ペプシツイスト,               Interference.wav
ペプシコーラ(解説)(対自分),   $(ユニット)は自販機からペプシコーラを取り出し、.一気に飲み干した。
ペプシコーラ(解説),           $(ユニット)は自販機からペプシコーラを取り出し、.$(相手ユニット)に飲ませた。
ペプシツイスト(解説)(対自分), $(ユニット)は.自販機からペプシツイストを取り出し、一気に飲み干した。
ペプシツイスト(解説),         $(ユニット)は.自販機からペプシツイストを取り出し、$(相手ユニット)に飲ませた。

#破壊(解説),                   $(ユニット)は、炭酸が全て抜けてしまった！


汎用
ペプシコーラ(アイテム),           Interference.wav
ペプシツイスト(アイテム),         Interference.wav
ダイエットペプシ,                 Interference.wav
ペプシネックス,                   Interference.wav
ペプシブルー,                     Interference.wav
ペプシエックス,                   Interference.wav
ペプシレッド,                     Interference.wav
ペプシカーニバル,                 Interference.wav
ペプシゴールド,                   Interference.wav
ペプシキューカンバー,             Interference.wav
ペプシブルーハワイ,               Interference.wav
ペプシホワイト,                   Interference.wav
ペプシコーラ(アイテム)(解説),     $(ユニット)はペプシコーラを飲んだ。
ペプシツイスト(アイテム)(解説),   $(ユニット)はペプシツイストを飲んだ。
ダイエットペプシ(解説),           $(ユニット)はダイエットペプシを飲んだ。
ペプシネックス(解説),             $(ユニット)はペプシネックスを飲んだ。
ペプシブルー(解説),               $(ユニット)はペプシブルーを飲んだ。
ペプシエックス(解説),             $(ユニット)はペプシエックスを飲んだ。
ペプシレッド(解説),               $(ユニット)はペプシレッドを飲んだ。
ペプシカーニバル(解説),           $(ユニット)はペプシカーニバルを飲んだ。
ペプシゴールド(解説),             $(ユニット)はペプシゴールドを飲んだ。
ペプシキューカンバー(解説),       $(ユニット)はペプシアイスキューカンバーを飲んだ。
ペプシブルーハワイ(解説),         $(ユニット)はペプシブルーハワイを飲んだ。
ペプシホワイト(解説),             $(ユニット)はペプシホワイトを飲んだ。

