# 解説 ###################################################################
ペルソナ使い
火炎撃(解説), $(パイロット)は$(武器)で攻撃をかけた。
狂焔乱舞(解説), $(パイロット)は$(武器)で攻撃をかけた。
ギガンフィスト(解説), $(パイロット)は$(武器)で攻撃をかけた。
ヒートカイザー(解説), $(パイロット)は$(武器)で攻撃をかけた。
ノヴァサイザー(解説), $(パイロット)は$(武器)で攻撃をかけた。
グランドクロス(解説), $(パイロット)は$(武器)で攻撃をかけた。
ドラゴンクロス(解説), $(パイロット)は$(武器)で攻撃をかけた。
まどろみの誘い(解説), $(パイロット)は$(武器)で攻撃をかけた。
マルチディメンション(解説), $(パイロット)は$(武器)で攻撃をかけた。
催眠波(解説), $(パイロット)は$(武器)で攻撃をかけた。
ダイヤモンドダスト(解説), $(パイロット)は$(武器)で攻撃をかけた。
クレセントミラー(解説), $(パイロット)は$(武器)で攻撃をかけた。
氷結刃(解説), $(パイロット)は$(武器)で攻撃をかけた。
闇の審判(解説), $(パイロット)は$(武器)で攻撃をかけた。
血のハネムーン(解説), $(パイロット)は$(武器)で攻撃をかけた。
魅惑のダンス(解説), $(パイロット)は$(武器)で攻撃をかけた。
フォーミーラバー(解説), $(パイロット)は$(武器)で攻撃をかけた。
はばたき(解説), $(パイロット)は$(武器)で攻撃をかけた。
クロスフォーチューン(解説), $(パイロット)は$(武器)で攻撃をかけた。
高天烈風弾(解説), $(パイロット)は$(武器)で攻撃をかけた。
天将雷炎陣(解説), $(パイロット)は$(武器)で攻撃をかけた。
誘惑のマズルカ(解説), $(パイロット)は$(武器)で攻撃をかけた。
夢見針(解説), $(パイロット)は$(武器)で攻撃をかけた。
ツインクルネビュラ(解説), $(パイロット)は$(武器)で攻撃をかけた。
ひっかき(解説), $(パイロット)は$(武器)で攻撃をかけた。
シングルショット(解説), $(パイロット)は$(武器)で攻撃をかけた。
トリプルダウン(解説), $(パイロット)は$(武器)で攻撃をかけた。
フレアショット(解説), $(パイロット)は$(武器)で攻撃をかけた。
ジャスティスショット(解説), $(パイロット)は$(武器)で攻撃をかけた。
九十九針(解説), $(パイロット)は$(武器)で攻撃をかけた。
マジックシール(解説), $(パイロット)は$(武器)で攻撃をかけた。
雷の洗礼(解説), $(パイロット)は$(武器)で攻撃をかけた。
ワイズマンスナップ(解説), $(パイロット)は$(武器)で攻撃をかけた。
ホーリーライト(解説), $(パイロット)は$(武器)で攻撃をかけた。
ソニックパンチ(解説), $(パイロット)は$(武器)で攻撃をかけた。
刹那五月雨撃(解説), $(パイロット)は$(武器)で攻撃をかけた。
ガーディアンハンマー(解説), $(パイロット)は$(武器)で攻撃をかけた。
光の裁き(解説), $(パイロット)は$(武器)で攻撃をかけた。
リリーズジェイル(解説), $(パイロット)は$(武器)で攻撃をかけた。
リフレッシュリング(解説), $(パイロット)は$(Nickname(相手ユニット))にリフレッシュリングを使った。
一文字斬り(解説), $(パイロット)は$(武器)で攻撃をかけた。
剛切断(解説), $(パイロット)は$(武器)で攻撃をかけた。
慈愛の祈り(解説), $(パイロット)は$(Nickname(相手ユニット))に慈愛の祈りを使った。
加護の舞(解説), $(パイロット)は$(Nickname(相手ユニット))に加護の舞を使った。
秘孔針(解説), $(パイロット)は$(武器)で攻撃をかけた。
邪毒針(解説), $(パイロット)は$(武器)で攻撃をかけた。
天誅殺(解説), $(パイロット)は$(武器)で攻撃をかけた。
暗黒狂焔乱舞(解説), $(パイロット)は$(武器)で攻撃をかけた。
マヒひっかき(解説), $(パイロット)は$(武器)で攻撃をかけた。
暗黒ヤング伝説(解説), $(パイロット)は$(武器)で攻撃をかけた。
さぶさぶドリル(解説), $(パイロット)は$(武器)で攻撃をかけた。
アンダードリル(解説), $(パイロット)は$(武器)で攻撃をかけた。
なんせドリル(解説), $(パイロット)は$(武器)で攻撃をかけた。
刻の車輪(解説), $(パイロット)は$(武器)で攻撃をかけた。
不滅の黒(解説), $(パイロット)は$(武器)で攻撃をかけた。
絶対零度(解説), $(パイロット)は$(武器)で攻撃をかけた。
光子砲(解説), $(パイロット)は$(武器)で攻撃をかけた。
ダークノヴァサイザー(解説), $(パイロット)は$(武器)で攻撃をかけた。
ダークディメンション(解説), $(パイロット)は$(武器)で攻撃をかけた。
エクリプスミラー(解説), $(パイロット)は$(武器)で攻撃をかけた。
血のディボース(解説), $(パイロット)は$(武器)で攻撃をかけた。
闇のフォーミーラバー(解説), $(パイロット)は$(武器)で攻撃をかけた。
テラーフォーチューン(解説), $(パイロット)は$(武器)で攻撃をかけた。
暗黒天将雷炎陣(解説), $(パイロット)は$(武器)で攻撃をかけた。
ダークネビュラ(解説), $(パイロット)は$(武器)で攻撃をかけた。
ヴァイスショット(解説), $(パイロット)は$(武器)で攻撃をかけた。
バスタードスナップ(解説), $(パイロット)は$(武器)で攻撃をかけた。
