
有里湊(前期)
グラディウス, 剣
突撃(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
突撃(攻撃), 瞬間変形 DDS-P3_OrpheusU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;タックル
ムド(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ムド(攻撃), 瞬間変形 DDS-P3_OrpheusU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 黒 Storm.wav 相手ユニットＩＤ
ペルソナチェンジ(前期)(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ペルソナチェンジ(前期)(攻撃), 魔法放射 白
ペルソナチェンジ(前期)(攻撃)(対弱点=火), 魔法放射 赤 BeamShot.wav
ペルソナチェンジ(前期)(攻撃)(対弱点=冷), 魔法放射 青
ペルソナチェンジ(前期)(攻撃)(対弱点=雷), 魔法放射 黄
ペルソナチェンジ(前期)(攻撃)(対弱点=風), 魔法放射 緑
ペルソナチェンジ(前期)(命中), ダメージ 白 Explode.wav

有里湊
アスカロン, 剣
ムド(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ムド(攻撃), 瞬間変形 DDS-P3_ThanatosU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 黒 Storm.wav 相手ユニットＩＤ
メギドラ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
メギドラ(攻撃), 瞬間変形 DDS-P3_ThanatosU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法放射 青
五月雨斬り(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
五月雨斬り(攻撃), 瞬間変形 DDS-P3_ThanatosU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;斬撃
死んでくれる？(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
死んでくれる？(攻撃), 瞬間変形 DDS-P3_ThanatosU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;光打ち下ろし 白 Whiz.wav
死んでくれる？(命中), 飛沫 赤 Slash(3).wav;飛沫 赤 Slash(3).wav;飛沫 赤 Slash(3).wav;飛沫 赤 Slash(3).wav
ペルソナチェンジ(中期)(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ペルソナチェンジ(中期)(攻撃), 魔法放射 白
ペルソナチェンジ(中期)(攻撃)(対弱点=火), 魔法放射 赤 BeamShot.wav
ペルソナチェンジ(中期)(攻撃)(対弱点=冷), 魔法放射 青
ペルソナチェンジ(中期)(攻撃)(対弱点=雷), 魔法放射 黄
ペルソナチェンジ(中期)(攻撃)(対弱点=風), 魔法放射 緑
ペルソナチェンジ(中期)(命中), ダメージ 白 Explode.wav

有里湊(後期)
ギムレット, 剣
ムド(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ムド(攻撃), 瞬間変形 DDS-P3_MessiahU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 黒 Storm.wav 相手ユニットＩＤ
メギドラ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
メギドラ(攻撃), 瞬間変形 DDS-P3_MessiahU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法放射 青
五月雨斬り(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
五月雨斬り(攻撃), 瞬間変形 DDS-P3_MessiahU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;斬撃
メギドラオン(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
メギドラオン(攻撃), 瞬間変形 DDS-P3_MessiahU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法放射 青
死んでくれる？(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
死んでくれる？(攻撃), 瞬間変形 DDS-P3_MessiahU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;光打ち下ろし 白 Whiz.wav
死んでくれる？(命中), 飛沫 赤 Slash(3).wav;飛沫 赤 Slash(3).wav;飛沫 赤 Slash(3).wav;飛沫 赤 Slash(3).wav
ペルソナチェンジ(後期)(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ペルソナチェンジ(後期)(攻撃), 魔法放射 白
ペルソナチェンジ(後期)(攻撃)(対弱点=火), 魔法放射 赤 BeamShot.wav
ペルソナチェンジ(後期)(攻撃)(対弱点=冷), 魔法放射 青
ペルソナチェンジ(後期)(攻撃)(対弱点=雷), 魔法放射 黄
ペルソナチェンジ(後期)(攻撃)(対弱点=風), 魔法放射 緑
ペルソナチェンジ(後期)(命中), ダメージ 白 Explode.wav


アイギス(ペルソナ３)(前期)
３連装アルビオレ, 機関砲
オルギアモード(発動), オーラ上昇 黄
電光石火(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
電光石火(攻撃), 瞬間変形 DDS-P3_PalladiumU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;タックル
デッドエンド(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
デッドエンド(攻撃), 瞬間変形 DDS-P3_PalladiumU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;振り下ろし
タルカジャ(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
タルカジャ(使用), 瞬間変形 DDS-P3_PalladiumU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
ラクカジャ(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ラクカジャ(使用), 瞬間変形 DDS-P3_PalladiumU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
スクカジャ(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
スクカジャ(使用), 瞬間変形 DDS-P3_PalladiumU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ

アイギス(ペルソナ３)
キスオブジアテナ, キャノン砲
オルギアモード(発動), オーラ上昇 黄
電光石火(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
電光石火(攻撃), 瞬間変形 DDS-P3_AthenaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;タックル
デッドエンド(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
デッドエンド(攻撃), 瞬間変形 DDS-P3_AthenaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;振り下ろし
アカシャアーツ(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
アカシャアーツ(攻撃), 瞬間変形 DDS-P3_AthenaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;なぎ払い;魔法放射 赤 大 Whiz.wav
マハタルカジャ(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マハタルカジャ(使用), 瞬間変形 DDS-P3_AthenaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
マハラクカジャ(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マハラクカジャ(使用), 瞬間変形 DDS-P3_AthenaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
マハスクカジャ(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マハスクカジャ(使用), 瞬間変形 DDS-P3_AthenaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ

アイギス(ペルソナ３フェス)
オルギラベウス, 機関砲
電光石火(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
電光石火(攻撃), 瞬間変形 DDS-P3_OrpheusU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;タックル
デッドエンド(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
デッドエンド(攻撃), 瞬間変形 DDS-P3_OrpheusU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;振り下ろし
アカシャアーツ(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
アカシャアーツ(攻撃), 瞬間変形 DDS-P3_OrpheusU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;なぎ払い;魔法放射 赤 大 Whiz.wav
マハタルカジャ(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マハタルカジャ(使用), 瞬間変形 DDS-P3_OrpheusU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
マハラクカジャ(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マハラクカジャ(使用), 瞬間変形 DDS-P3_OrpheusU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
マハスクカジャ(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マハスクカジャ(使用), 瞬間変形 DDS-P3_OrpheusU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ
ペルソナチェンジ(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ペルソナチェンジ(攻撃), 魔法放射 白
ペルソナチェンジ(攻撃)(対弱点=火), 魔法放射 赤 BeamShot.wav
ペルソナチェンジ(攻撃)(対弱点=冷), 魔法放射 青
ペルソナチェンジ(攻撃)(対弱点=雷), 魔法放射 黄
ペルソナチェンジ(攻撃)(対弱点=風), 魔法放射 緑
ペルソナチェンジ(命中), ダメージ 白 Explode.wav


岳羽ゆかり(前期)
ショートボウ, 弓矢
マハガル(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マハガル(攻撃), 瞬間変形 DDS-P3_IoU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法放射 緑 Wind.wav
ガルーラ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
