ポポロクロイス物語
攻撃無効化(マジカルロード), ビームコート BeamCoat.wav マジカルロード
変形(黄金の鍵), 発光 黄 Glass.wav
緊急テレポート(ごめんなさい！), 緊急テレポート FastGun.wav 逃走
######## 汎用 ########
体術(攻撃), 振る武器突撃 -.bmp
体術(命中), @戦闘アニメ_格闘攻撃;格闘
体術(命中), @戦闘アニメ_打突攻撃;打撃
体術(命中), @戦闘アニメ_格闘攻撃;連打
体術(命中), @戦闘アニメ_アッパー攻撃;アッパー
パンチ(攻撃), 振る武器突撃 -.bmp
パンチ(命中), @戦闘アニメ_格闘攻撃;格闘
パンチ(命中), @戦闘アニメ_打突攻撃;打撃
パンチ(命中), @戦闘アニメ_格闘攻撃;強打
パンチ(命中), @戦闘アニメ_アッパー攻撃;アッパー
キック(攻撃), 振る武器突撃 -.bmp
キック(命中), @戦闘アニメ_格闘攻撃;格闘
キック(命中), @戦闘アニメ_バックキック攻撃;強打
キック(命中), @戦闘アニメ_キック攻撃;連打
キック(命中), @戦闘アニメ_サマーソルト攻撃;アッパー
突進(攻撃), @戦闘アニメ_転移 Whiz.wav
突進(命中), 強打
体当たり, タックル
噛み付き, 噛み付き
######## ポポロ１味方 ########
竜の剣, 竜剣
風のやいば(攻撃), なぎ払い Saber.wav;シュートカッター 白 Whiz.wav
風のやいば(命中), 斬撃 Slash(4).wav
ファイヤーボール(準備), 粒子集中 赤 Hittyuu.wav
ファイヤーボール(攻撃), 気弾 赤 MicroMissile.wav
ファイヤーボール(命中), 炎 Fire.wav
ほのおの牙(準備), 粒子集中 赤 Hittyuu.wav
ほのおの牙(攻撃), 気弾 赤 MicroMissile.wav
ほのおの牙(命中), 炎 Fire.wav
いなずまおとし(準備), 放電
いなずまおとし(攻撃), 振り上げ;光打ち上げ 黄 LaserGun.wav
いなずまおとし(命中), 落雷
セイントアーク(準備), 粒子集中 黄 Hittyuu.wav
セイントアーク(攻撃), 振り上げ;光打ち上げ 黄 LaserGun.wav
セイントアーク(命中), 落雷
天のいかずち(準備), 竜剣
天のいかずち(攻撃), 竜剣突撃;斬撃
天のいかずち(命中), 雷斬撃 Slash.wav;放電 Thunder.wav
ドラゴンシュート(準備), 粒子集中 緑
ドラゴンシュート(攻撃), 斬撃;中ビーム 緑 Breath.wav
ドラゴンシュート(命中), 中ビーム 緑 Breath.wav
ドラゴンフレイム(準備), 粒子集中 赤
ドラゴンフレイム(攻撃), 魔法放射 赤 Breath.wav
ドラゴンフレイム(命中), 火柱 Explode(Long).wav
ドラゴンブレス(準備), 粒子集中 赤
ドラゴンブレス(攻撃), 魔法放射 赤 Breath.wav
ドラゴンブレス(命中), 火柱 Explode(Long).wav
ドラゴンファング(準備), 竜剣 Reload(4).wav;オーラ上昇 赤
ドラゴンファング(攻撃), 竜剣突撃;斬撃
ドラゴンファング(命中), 炎斬撃 Slash.wav;光噴出 赤 Roar.wav
サンダードラグーン(準備), 竜剣 Reload(4).wav;オーラ上昇 黄
サンダードラグーン(攻撃), 竜剣突撃
サンダードラグーン(命中), @戦闘アニメ_急降下攻撃;センタリング;雷斬撃 Slash.wav;大放電 Thunder.wav
神竜変化(準備), オーラ上昇 黄 Charge(long).wav
神竜変化(攻撃), 透明化 対象ユニットＩＤ;@戦闘アニメ_転移 Whiz.wav;MicroMissile.wav;ＭＡＰ炎 -.wav
神竜変化(命中), Crash.wav
ヒールウォーター, 回復魔法
竜水, 回復魔法
魔女の杖, 杖
マジカルロッド, 杖
ウィンドシュート(準備), 粒子集中 緑 Hittyuu.wav
ウィンドシュート(攻撃), シュートカッター 緑 Whiz.wav
ウィンドシュート(命中), 斬撃 Slash.wav
ウィンドハリケーン(準備), 粒子集中 緑 Hittyuu.wav
ウィンドハリケーン(攻撃), 竜巻
ウィンドハリケーン(命中), 強風 Slash.wav
ホーリーバースト(準備), 粒子集中 白 Hittyuu.wav
ホーリーバースト(攻撃), 光打ち下ろし Whiz.wav
ホーリーバースト(命中), 飛沫 白 Glass.wav
ホーリーブレイク(準備), 粒子集中 白 Hittyuu.wav
ホーリーブレイク(攻撃), 光打ち下ろし Whiz.wav
ホーリーブレイク(命中), 飛沫 白 Glass.wav
ヒールレイン, 回復魔法
ヒールトラスト, 回復魔法
命のしずく, 回復魔法
奇跡のしずく, 回復魔法
元気の光, 回復魔法
キュアライト, 回復魔法
スピードウインド(発動), 魔法集中 緑 Sharara.wav
アクティブブレイズ(発動), 魔法集中 緑 Sharara.wav
トビケラ(準備), 粒子集中 橙
トビケラ(攻撃), 透明化 対象ユニットＩＤ;@戦闘アニメ_転移 Whiz.wav;火炎放射
トビケラ(命中), 火炎放射
トビケラ(解説), $(パイロット)はトビケラに姿を変え、激しい炎を吐いた！
パンサー(準備), 粒子集中 黒
パンサー(攻撃), 透明化 対象ユニットＩＤ;@戦闘アニメ_転移 Whiz.wav;格闘 Roar.wav
パンサー(命中), 爪撃 連続
パンサー(解説), $(パイロット)はパンサーに姿を変え、鋭い爪で引き裂いた！
ファイアーバード(準備), 粒子集中 赤
ファイアーバード(攻撃), 透明化 対象ユニットＩＤ;@戦闘アニメ_転移 Whiz.wav;スーパータックル 赤
ファイアーバード(命中), スーパータックル 赤;炎
ファイアーバード(解説), $(パイロット)はファイアーバードに姿を変え、炎を纏って突撃した！
エンジェル, 回復魔法
ドルフィン, 回復魔法
ナイトソード, ソード
エクスカリバー, ソード
大地割り(準備), センタリング 対象ユニットＩＤ;粒子集中 橙
大地割り(攻撃), 振り下ろし Shock(Low).wav;;地表衝撃波 橙 Earthquake.wa
大地割り(命中), センタリング 相手ユニットＩＤv;ダメージ 橙 Crash.wav
アースバインド(準備), センタリング 対象ユニットＩＤ;粒子集中 橙
アースバインド(攻撃), 振り下ろし Shock(Low).wav;地表衝撃波 橙 Earthquake.wav
アースバインド(命中), センタリング 相手ユニットＩＤ;ダメージ 橙 Crash.wav
ジャンプ斬り(準備), ソード Reload(4).wav
ジャンプ斬り(攻撃), ソード突撃
ジャンプ斬り(命中), @戦闘アニメ_急降下攻撃;センタリング;唐竹割り Crash.wav
ジャンピングスラッシュ(準備), ソード Reload(4).wav
ジャンピングスラッシュ(攻撃), ソード突撃
ジャンピングスラッシュ(命中), @戦闘アニメ_急降下攻撃;センタリング;唐竹割り Slash.wav;3;なぎ払い Slash.wav;斬撃
ダッシュ斬り(準備), ソード
ダッシュ斬り(攻撃), 透明化 対象ユニットＩＤ;@戦闘アニメ_転移 Whiz.wav
ダッシュ斬り(命中), アッパー;連斬撃
マッハ斬り(準備), ソード
マッハ斬り(攻撃), 透明化 対象ユニットＩＤ;@戦闘アニメ_転移 Whiz.wav
マッハ斬り(命中), アッパー;連斬撃;超斬撃
