
マジカルポップン
ごろごろクラッシュ(攻撃), 回転;ＭＡＰ移動タックル 水色
ごろごろクラッシュ(命中), ダメージ
フック(攻撃), 実弾発射 Bullet\EFFECT_STG_Bullet(Yellow)01.bmp 8 BeamShot.wav 有線
フック(命中), 打撃
ソード, 斬撃
レーザー, 小ビーム 水色 チャージなし
マジカルボンバー(攻撃), ＭＡＰフラッシュ 黄 Charge.wav;ＭＡＰ爆発
マジカルボンバー(命中), 爆発
マジカルフォース, 大ビーム 水色 LaserGun.wav
マジカルブリザード(攻撃), 大拡散ビーム 白 Glass(3).wav チャージなし
マジカルブリザード(命中), 拡散ビーム 白 Inori.wav
マジカルファイヤー(攻撃), 実弾乱射 Fire\EFFECT_Fire(Red)01.bmp 32 AntiShipMissile.wav 発光
マジカルファイヤー(命中), 炎
光弾の魔法(攻撃), ２連光弾 水色 Inori.wav
光弾の魔法(命中), ２連光弾 水色
爆発の魔法(攻撃), 重力弾;ＭＡＰ爆発
爆発の魔法(命中), 爆発
シールド防御(外殻), 外殻防御 白
拡散レーザー, 拡散ビーム 水色
電撃, ２連ショックビーム
ホーミング火球(攻撃), 旋回光弾 橙
ホーミング火球(命中), 旋回光弾 橙

