アトリエ
木の杖, Swing.wav
木の杖(命中), Punch.wav
白銀の杖, Swing.wav
白銀の杖(命中), Punch.wav
グラセン鋼の杖, Swing.wav
グラセン鋼の杖(命中), Punch.wav
星と月の杖, Swing.wav
星と月の杖(命中), Punch.wav
陽と風の杖, Swing.wav
陽と風の杖(命中), Punch.wav
はたき, Swing.wav
はたき(命中), Punch.wav
高級はたき, Swing.wav
高級はたき(命中), Punch.wav
ファルカタ, Swing.wav
ファルカタ(命中), Punch.wav
エペ, Swing.wav
エペ(命中), Slash.wav
エストック, Swing.wav
エストック(命中), Slash.wav
カツバルゲル, Swing.wav
カツバルゲル(命中), Slash.wav
聖騎士のつるぎ, Swing.wav
聖騎士のつるぎ(命中), Slash.wav
リヒト・ヘルツ, Swing.wav
リヒト・ヘルツ(命中), Slash.wav
グレイヴ, Swing.wav
グレイヴ(命中), Punch.wav
ハルベルト, Swing.wav
ハルベルト(命中), Slash.wav
コルセルカ, Swing.wav
コルセルカ(命中), Slash.wav
ドライツァク, Swing.wav
ドライツァク(命中), Slash.wav
うに, Bow.wav
フラム, Bow.wav
フラム(命中), Explode(Small).wav
クラフト, Bow.wav
クラフト(命中), Explode(Small).wav
メテオール, Bomb.wav
メテオール(命中), Explode(Small).wav
ガイストボーラ, Whiz.wav
ブルートボーラ, Whiz.wav
フォートフラム, Bow.wav
フォートフラム(命中), Explode(Small).wav
魔法トンカチ, Swing.wav
津波の石, Storm.wav
メガクラフト, Bow.wav
メガクラフト(命中), Explode(Nuclear).wav
精霊の光球, Beam.wav
神々の雷, LaserGun.wav
メガフラム, Bow.wav
メガフラム(命中), Explode(Nuclear).wav
ギガフラム, Bow.wav
ギガフラム(命中), Explode(Nuclear).wav
テラフラム, Bow.wav
テラフラム(命中), Explode(Nuclear).wav
影縫い針, Bow.wav
疾風の竹笛, Whiz.wav
星と月のソナタ, Beam.wav
乱れうち, Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
乱れうち(命中), Punch(4).wav
突撃(命中), Crash.wav
南国うに, Bow.wav
かまいたち, Saber.wav;1;Saber.wav;1;Saber.wav
アインツェルカンプ, Swing.wav;1;Swing.wav
アインツェルカンプ(命中), Slash.wav
連続攻撃, Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
連続攻撃(命中), Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
陽と風のロンド, Beam.wav
シュラオプシュトック, Beam.wav
ロードブリッツ, Beam.wav
シュベートストライク, Storm.wav
シュベートストライク(命中), Shock(Low).wav
魅惑の剣舞, Saber.wav;1;Saber.wav;1;Saber.wav
アインツェルカンプ(命中), Slash.wav
ザンクトゥアリウム, Sharara.wav
リーゲル(チャージ), Charge(long).wav
リーゲル(チャージ), Swing.wav;1;Swing.wav;1;Swing.wav
リーゲル(チャージ), Slash.wav;1;Slash.wav;1;Slash.wav
震撃, GunPod.wav
キバ(命中), Slash.wav
眠りの息吹, Whiz.wav
死の息吹, Whiz.wav
光球, Beam.wav
体当たり(命中), Punch.wav
大津波, Storm.wav
