鬼畜戦士ランス
手加減攻撃, タックル
ロングソード, ソード
魔剣カオス, 斬撃武器 Anime\EFFECT_RANCE_Chaos.bmp
ランスアタック(準備), ソード
ランスアタック(攻撃), 振り下ろし;地表衝撃波
ランスアタック(命中), 大斬撃
ランスアタック(魔剣)(準備), 振る武器 Anime\EFFECT_RANCE_Chaos.bmp
ランスアタック(魔剣)(攻撃), 振り下ろし;地表衝撃波
ランスアタック(魔剣)(命中), 大斬撃
鬼畜アタック(準備), ソード;粒子集中 赤
鬼畜アタック(攻撃), スーパーダイブ 赤
鬼畜アタック(命中), 超爆発
鬼畜アタック(魔剣)(準備), 振る武器 Anime\EFFECT_RANCE_Chaos.bmp;粒子集中 赤
鬼畜アタック(魔剣)(攻撃), スーパーダイブ 赤
鬼畜アタック(魔剣)(命中), 超爆発

ランス
######炎系魔法
炎の矢(準備), 魔法集中 赤 小
炎の矢(攻撃), 光投射 赤 Bow.wav
炎の矢(命中), 炎 赤
火爆破(準備), 魔法集中 赤 中
火爆破(攻撃), 魔法放射 赤 中 相手ユニットＩＤ
火爆破(命中), 火柱 Explode(Far).wav
業火炎破(準備), 魔法集中 赤 大
業火炎破(攻撃), 火炎放射 赤
業火炎破(命中), 火炎放射 赤;炎
ファイヤーレーザー(準備), 魔法集中 赤 大
ファイヤーレーザー(攻撃), ２連小ビーム 赤;２連小ビーム 赤
ファイヤーレーザー(命中), ２連小ビーム 赤;２連小ビーム 赤;炎
ファイヤーレーザー改(準備), 魔法集中 赤 大;フェイスアップ
ファイヤーレーザー改(攻撃), ＭＡＰビーム 赤;ＭＡＰビーム 赤
ファイヤーレーザー改(命中), 交差ビーム 赤 赤 LaserGun.wav;炎
タワーオブファイヤ(準備), 魔法集中 赤 大
タワーオブファイヤ(攻撃), 大ビーム 赤 Bazooka.wav
タワーオブファイヤ(命中), 大ビーム 赤;炎;超爆発
######氷系魔法
氷の矢(準備), 魔法集中 青 小
氷の矢(攻撃), 光投射 青 Bow.wav
氷の矢(命中), 凍結
白冷激(準備), 魔法集中 青 中
白冷激(攻撃), 魔法放射 青 中 相手ユニットＩＤ
白冷激(命中), 氷柱
氷雪吹雪(準備), 魔法集中 青 中
氷雪吹雪(攻撃), 吹雪
氷雪吹雪(命中), 吹雪
スノーレーザー(準備), 魔法集中 青 大
スノーレーザー(攻撃), ２連小ビーム 青;２連小ビーム 青
スノーレーザー(命中), ２連小ビーム 青;２連小ビーム 青;凍結
スノーレーザー改(準備), 魔法集中 青 大
スノーレーザー改(攻撃), ＭＡＰビーム 青;ＭＡＰビーム 青
スノーレーザー改(命中), 交差ビーム 青 青 LaserGun.wav;凍結
クールゴーデス(準備), 魔法集中 青 大;フェイスアップ
クールゴーデス(攻撃), 大ビーム 青 Bazooka.wav
クールゴーデス(命中), 大ビーム 青;氷柱
######雷系魔法
雷の矢(準備), 魔法集中 黄 小
雷の矢(攻撃), 光投射 黄 Bow.wav
雷の矢(命中), 放電
雷撃(準備), 魔法集中 黄 中
雷撃(攻撃), 破壊光線 Thunder.wav
雷撃(命中), 落雷
電磁結界(準備), 魔法集中 黄 中
電磁結界(攻撃), 大電撃
電磁結界(命中), 大電撃
ライトニングレーザー(準備), 魔法集中 黄 大
ライトニングレーザー(攻撃), ２連小ビーム 黄;２連小ビーム 黄
ライトニングレーザー(命中), ２連小ビーム 黄;２連小ビーム 黄;爆雷
######光系魔法
ライト(準備), 魔法集中 白 小
ライト(攻撃), 光投射 白
ライト(命中), 飛沫 白
光の矢(準備), 魔法集中 白 小
光の矢(攻撃), 光投射 白
光の矢(命中), 飛沫 白
エンジェルカッター(準備), 魔法集中 白 小
エンジェルカッター(攻撃), 気斬 白
エンジェルカッター(命中), 斬撃
ホワイトレーザー(準備), 魔法集中 白 大
ホワイトレーザー(攻撃), ２連小ビーム 白;２連小ビーム 白
ホワイトレーザー(命中), ２連小ビーム 白;２連小ビーム 白
白色破壊光線(準備), 魔法集中 白
白色破壊光線(攻撃), ＭＡＰビーム 白
白色破壊光線(命中), 大ビーム 白
######闇系魔法
闇の矢(準備), 魔法集中 黒 小
闇の矢(攻撃), 光投射 黒 Bow.wav
闇の矢(命中), 飛沫 黒
ダークネスレーザー(準備), 魔法集中 黒 大
ダークネスレーザー(攻撃), ２連小ビーム 黒;２連小ビーム 黒
ダークネスレーザー(命中), ２連小ビーム 黒;２連小ビーム 黒
黒色破壊光線(準備), 魔法集中 黒 大
黒色破壊光線(攻撃), ＭＡＰビーム 黒
黒色破壊光線(命中), 大ビーム 黒 大
メッサーシュミット(準備), 魔法集中 黒 中
メッサーシュミット(攻撃), 光投射 黒
メッサーシュミット(命中), 火柱
ビスマルク(準備), 魔法集中 黒 大
ビスマルク(攻撃), 地表衝撃波 黒
ビスマルク(命中), 光投射 黒 Slash.wav
ティーゲル(準備), 魔法集中 黒 小
ティーゲル(攻撃), 気斬 黒
ティーゲル(命中), 爆発
ティーゲル２(準備), 魔法集中 黒 中
ティーゲル２(攻撃), 気斬 黒
ティーゲル２(命中), 大爆発
スーパーティーゲル(準備), 魔法集中 黒 中
スーパーティーゲル(攻撃), 波動放射 黒
スーパーティーゲル(命中), 大爆発 Explode(Far).wav
####
ヒーリング(使用), 魔法放射 白 Whiz.wav
ヒーリング(発動), 回復魔法
回復の雨(使用), 魔法放射 白 Whiz.wav
回復の雨(発動), 回復魔法泡
####
魔法使いの杖, 杖
####
ギガボウ, アーチェリーボウ
びりびり弓, アーチェリーボウ
びりびり弓(命中), 落雷
