ランス
ランスアタック(命中), Crash.wav
鬼畜アタック(命中), Explode(Far).wav
手裏剣, Bow.wav
手裏剣(命中), -.wav
火丼の術, Fire.wav
ヒーリング, Whiz.wav
業火炎破, Fire.wav
火爆破, Explode(Nuclear).wav
ファイヤーレーザー(準備), Fire.wav
ファイヤーレーザー, LaserGun.wav
白冷激, AntiAirMissile.wav
氷雪吹雪, MultipleRocketLauncher(Light).wav
雷撃, Thunder.wav
ライトニングレーザー, 2;Thunder.wav;Thunder.wav
白色破壊光線(準備), BeamSaber.wav
白色破壊光線, Beam.wav
チューリップ１号, Bazooka.wav
バイロード(命中), Slash.wav
疾風丸, Bow.wav
疾風丸(命中), Stab.wav
疾風点破(準備), Glass.wav;1;White.bmp 480 480;Clear
疾風点破, Beam.wav
疾風点破(命中), Inori.wav
攻撃無効化, BeamCoat.wav
武舞乱舞(準備), AntiShipMissile.wav
武舞乱舞, Storm.wav
武舞乱舞(命中), FastGun.wav
バイ・ラ・ウェイ, MultipleRocketLauncher(Light).wav
バイ・ラ・ウェイ(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
