アトリエ
木の杖, Swing.wav
木の杖(命中), Punch.wav
聖騎士のつるぎ, Swing.wav
聖騎士のつるぎ(命中), Slash.wav
うに, Bow.wav
フラム, Bow.wav
フラム(命中), Explode(Small).wav
レヘルン, Bow.wav
レヘルン(命中), Glass.wav
ラングレヘルン, Bow.wav
ラングレヘルン(命中), Glass.wav
大地のラプソディー, GunPod.wav
ミステルレーベン, Beam.wav
聖なる加護, Sharara.wav
神の息吹, Sharara.wav
テオ投げ, Bow.wav
ヴェルナー投げ, Bow.wav
投げる, Bow.wav
うに乱発, Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
炎の一閃, Storm.wav
紅蓮の一閃, Storm.wav
ヴィルベルヴィント, Saber.wav;1;Saber.wav;1;Saber.wav
シュツルムヴィント, Saber.wav;1;Saber.wav;1;Saber.wav
アインツェルカンプ, Swing.wav;1;Swing.wav
アインツェルカンプ(命中), Slash.wav
デュエル, Sword.wav;1;Sword.wav
果物ナイフ, Bow.wav
デュラン, Sword.wav
投げナイフ, Bow.wav
シュタイフブリーゼ, Beam.wav
ネーベルディック, Beam.wav
光と闇のコンツェルト, Beam.wav
かみつき(命中), Slash.wav
連続かみつき, Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
連続かみつき(命中), Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
体当たり(命中), Punch.wav
むちゃくちゃ投げる, Bow.wav;1;Bow.wav;1;Bow.wav
連撃, Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
連撃(命中), Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
クエイク, GunPod.wav
ぷにアタック(命中), Punch.wav
ぷにレイン, Bomb.wav;1;Bomb.wav;1;Bomb.wav;1;Bomb.wav
黒の波動, Whiz.wav
二連突き, Swing.wav;1;Swing.wav
二連突き(命中), Stab.wav;1;Stab.wav
