
ボクサー
ジャブ, 連打
ストレート(攻撃), 打突
ストレート(命中), 強打
ワンツー(攻撃), 打突
ワンツー(命中), 打撃;@戦闘アニメ_打撃突撃攻撃;強打
ブーメラン・フック(準備), -
ブーメラン・フック(攻撃), なぎ払い
ブーメラン・フック(命中), 強打 Shock(Low).wav
ダブル・ブーメラン(準備), -
ダブル・ブーメラン(攻撃), なぎ払い;なぎ払い
ダブル・ブーメラン(命中), 強打 Shock(Low).wav
ブーメラン・スクエアー(準備), -
ブーメラン・スクエアー(攻撃), なぎ払い AntiAirMissile.wav
ブーメラン・スクエアー(命中), 強風 Crash.wav
ブーメラン・テリオス(準備), Charge.wav
ブーメラン・テリオス(攻撃), なぎ払い AntiAirMissile.wav
ブーメラン・テリオス(命中), Explode(Far).wav;<B><BIG>ＦＩＲＥ<B></BIG>;超打 -.wav
ウイニング・ザ・レインボー(準備), Charge(high).wav
ウイニング・ザ・レインボー(攻撃), アッパー Crash.wav
ウイニング・ザ・レインボー(命中), 光柱 WarShip.wav
レフトアッパー, アッパー
ギャラクティカ・マグナム(準備), Charge.wav
ギャラクティカ・マグナム(攻撃), スーパーパンチ 赤 Bazooka.wav
ギャラクティカ・マグナム(命中), Explode.wav;<B><BIG>ＢＡＫＯＯＯＯＯＯＭ<B></BIG>;大爆発 -.wav
ギャラクティカ・ファントム(準備), Charge(Long).wav
ギャラクティカ・ファントム(攻撃), スーパーパンチ 青 Explode(Far).wav
ギャラクティカ・ファントム(命中), 大爆発 -.wav
分身(神技的ディフェンス), 分身 - 神技的ディフェンス
ローリング・サンダー(攻撃), Thunder.wav
ローリング・サンダー(命中), 連打 Bazooka.wav
Ｓ・Ｒ・Ｔ(攻撃), Thunder.wav
Ｓ・Ｒ・Ｔ(命中), 打撃 Bazooka.wav;打撃 Bazooka.wav;打撃 Bazooka.wav;打撃 Bazooka.wav;打撃 Bazooka.wav
円月拳(攻撃), @戦闘アニメ_円月殺法攻撃
円月拳(命中), 唐竹割り Explode.wav
ケンカボクシング, 連打;連打
Ｓ・Ｔ・Ｄ(攻撃), 急降下
Ｓ・Ｔ・Ｄ(命中), 連打
ハリケーン・ボルト(攻撃), 急降下
ハリケーン・ボルト(命中), 急降下 Crash.wav
スパイラル・タイフーン(攻撃), 急降下 Storm.wav
スパイラル・タイフーン(命中), 急降下
ライトアッパー, アッパー
ジェット・アッパー(攻撃), アッパー Jet.wav
ジェット・アッパー(命中), Crash.wav;<B><BIG>ＪＥＴ<B></BIG>;落下 -.wav
ジェット・ラベンダー(攻撃), アッパー Glass.wav
ジェット・ラベンダー(命中), Explode.wav;<B><BIG>ＪＥＴ<B></BIG>;落下 -.wav;バラ吹雪
フック(攻撃), なぎ払い
フック(命中), 強打
アッパー, アッパー
メガトンパンチ(攻撃), 斬撃
メガトンパンチ(命中), 強打
カウンター(攻撃), 振る武器突撃 -.bmp
カウンター(命中), 強打
松ヤニ(攻撃), 振り上げ
松ヤニ(命中), 打撃
ピボットブロー(攻撃), 振り上げ;振り下ろし
ピボットブロー(命中), 強打
ブラック・スクリュー(攻撃), なぎ払い
ブラック・スクリュー(命中), 強打 Shock(Low).wav
パンチ, 打突
催眠術(攻撃), 音波 Whiz.wav
催眠術(命中), -
影道拳術, 打突
朱雀七色陣(攻撃), Whiz.wav
朱雀七色陣(命中), 乱打
蛇と亀(攻撃), １ＷＡＹ射出
蛇と亀(命中), 打撃;打撃
ダイヤモンド・ナックル(攻撃), 打突
ダイヤモンド・ナックル(命中), 超打 Crash.wav
攻撃無効化(影道・双腕の守陣), ビームコート - 影道・双腕の守陣
トマホーク(準備), -
トマホーク(攻撃), バック転
トマホーク(命中), 振り下ろし Shock(Low).wav
影道・龍極破(攻撃), 振る武器突撃 -.bmp Hittyuu.wav
影道・龍極破(命中), 振る武器突撃 -.bmp
影道・鳳閣拳(攻撃), 打突 Glass.wav
影道・鳳閣拳(命中), 打撃;1;Inori.wav;1;Black.bmp 480 480;1;Clear
影道・雷神拳(攻撃), アッパー Thunder.wav
影道・雷神拳(命中), 落下 Crash.wav
影道・冥皇拳(準備), 7;Charge.wav
影道・冥皇拳(攻撃), -
影道・冥皇拳(命中), @戦闘アニメ_ＭＡＰダークネス攻撃 Interference.wav
コーザ・ノストラ(攻撃), アッパー Inori.wav
コーザ・ノストラ(命中), 落下 Shock(Low).wav
カマイタチ(攻撃), 斬撃
カマイタチ(命中), 小ビーム 白 Saber.wav ランダム方向
デビル・プロポーズ(攻撃), スーパーパンチ 赤 Sharara.wav
デビル・プロポーズ(命中), スーパーパンチ 赤 Crash.wav
ロイヤル・デモン・シード(攻撃), スーパータックル 赤 Charge(high).wav
ロイヤル・デモン・シード(命中), 粒子噴射 赤 Sharara.wav;超打 Explode.wav
落体の法則(命中), 急降下
Ｓ・Ｃ・Ｃ(命中), 打撃 Bazooka.wav;打撃 Bazooka.wav;打撃 Bazooka.wav;打撃 Bazooka.wav;打撃 Bazooka.wav
完全弾性衝突の法則(命中), @戦闘アニメ_バック転攻撃;@戦闘アニメ_アッパー攻撃;アッパー
加速度回転の応用(命中), 強風 対象ユニットＩＤ;強打
レフトストレート(攻撃), 打突
レフトストレート(命中), 超打
スコルピオン・クラッシュ(攻撃), アッパー Bazooka.wav
スコルピオン・クラッシュ(命中), Crash.wav;<B><BIG>ＣＲＡＳＨ<B></BIG>;落下 -.wav
トロイア・クライシス(攻撃), アッパー AntiAirMissile.wav
トロイア・クライシス(命中), 落下 Crash.wav
分身(逃げ水), 分身 - 逃げ水
デッド・シンフォニー(攻撃), 振る武器突撃 -.bmp
デッド・シンフォニー(命中), 刺突 Shock(Low).wav
ラッシュ, 連打;連打
ハートブレイク・キャノン(攻撃), スーパーパンチ 赤 Bazooka.wav
ハートブレイク・キャノン(命中), 超打 Explode.wav
超能力(攻撃), 音波 Whiz.wav
超能力(命中), 強打
ゴッド・ディメンション(攻撃), Charge.wav
ゴッド・ディメンション(命中), 落下 Explode.wav
ショッキング・ファイヤー(攻撃), アッパー Fire.wav
ショッキング・ファイヤー(命中), 落下 Crash.wav
フィニッシュ・ブロー(攻撃), 発光 白 対象ユニットＩＤ BeamCoat.wav
フィニッシュ・ブロー(命中), 強打
グリーク・インフェルノ, 超打
ムーンライト・ヘブン(攻撃), スーパーパンチ 黄 Charge(2).wav
ムーンライト・ヘブン(命中), スーパーパンチ 黄 Shock(Low).wav
トルネイド・アロー(攻撃), 拡散ビーム 白 MicroMissile.wav
トルネイド・アロー(命中), 拡散ビーム 白
グランド・クロス(攻撃), なぎ払い;振り下ろし
グランド・クロス(命中), @戦闘アニメ_決め文字とどめ ＋ 赤 Explode.wav
ブラデッド・メデゥーサ(攻撃), アッパー AntiAirMissile.wav
ブラデッド・メデゥーサ(命中), 飛沫 赤 Inori.wav
スペクトル・エコー(攻撃), なぎ払い
