



リンダキューブ
リスニードル, 連突
花火ショット(攻撃), キャノン砲 4
花火ショット(命中), 連続爆発 4
体当りアタック, タックル
火炎ブレス, 火炎放射
猟犬, 狼
体毛ミサイル, ＭＡＰビーム 白 MultipleRocketLauncher(Light).wav
疾風カッター(攻撃), 回転発射 Hit\EFFECT_SwingHit01.bmp 48
疾風カッター(命中), 振り下ろし Saber.wav
捨て身アタック, スーパーパンチ 白
絶対零度ブレス, 吹雪
踏み付けプレス, 踏み潰し
尻尾アタック(攻撃), なぎ払い
尻尾アタック(命中), 強打 Crash.wav
竜巻ウイング(攻撃), 竜巻
竜巻ウイング(命中), 強打 Crash.wav
流血ファイト, 連打
土のヤバサ, ＭＡＰビーム 赤 LaserGun.wav
風のツィア, 巨大ビーム 青
泡のハラバ, 泡 赤
金のアダマ, 回復魔法泡
コブラツイスト, 立ち固め
ウサギナイフ, ナイフ
吸血アタック, 噛み付き
吹雪ストーム, 吹雪
毒針ダンス, ニードル連射
大鎌アーム, 振り下ろし
丸呑みアタック(攻撃), スーパーパンチ 赤
丸呑みアタック(命中), 噛み付き
超振動ブラスト, 音波
電撃ハッグ(攻撃), スーパータックル 黄
電撃ハッグ(命中), 球電
落雷ハンマー(準備), -
落雷ハンマー(攻撃), 振り下ろし
落雷ハンマー(命中), 落雷
必殺ニードル(攻撃), スーパータックル 白
必殺ニードル(命中), 大刺突
月のヤバサ, ＭＡＰ光球
炎のツィア(使用), @戦闘アニメ_ＭＡＰ発光攻撃 赤 Sharara.wav
炎のツィア(発動), オーラ上昇 赤
水のハラバ(使用), @戦闘アニメ_ＭＡＰ発光攻撃 青 Sharara.wav
水のハラバ(発動), オーラ上昇 青
光のアダマ(使用), @戦闘アニメ_ＭＡＰ発光攻撃 黄 Sharara.wav
光のアダマ(発動), 回復魔法
催眠術, 音波 LaserGun.wav
サーベル, サーベル
ＤＣナイフ, ナイフ
格闘, 格闘
ハンドビーム, 小ビーム 青
ハンターグラブ, 棍棒
突撃チャージ, 棍棒突撃
胃液, 液体噴射 黄
噛み付き, 噛み付き
鉄拳パンチ(攻撃), スーパーパンチ 白
鉄拳パンチ(命中), 強打 Crash.wav
マゼンタの粘着液, 液体噴射 桃
寄生虫の群れ, 多触手
緑色の液体, 液体噴射 緑




