リーフキャラ
ジャンプ, 2;Stairs(Run).wav;Swing.wav
おたま, Swing.wav
おたま(命中), Tub.wav
ハイキック, Swing.wav
ハイキック(命中), BreakOff.wav
疾風空中四段蹴り, 1;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
疾風空中四段蹴り(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;Punch.wav
カウンター, Swing.wav
カウンター(命中), Shock(low).wav
疾風コンボ, Saber.wav
疾風コンボ(命中), 6;Combo.wav;Crash.wav
光弾, BeamShot.wav
追尾弾, Beam.wav
リングショット, 1;Beam.wav;1;Beam.wav;Beam.wav
突撃, Saber.wav
突撃(命中), Crash.wav
浮遊霊, Wind.wav
浮遊霊(命中), Stab.wav
氷の雨, 1;Glass.wav;1;Glass.wav;Glass.wav
黒い炎, Fire.wav
魔王召喚, 12;Wind.wav;Glass.wav
魔王召喚(命中), Explode(Far).wav
サモン・セバスチャン, Explode(Nuclear).wav
蒼の波動, 1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav
翠の閃光, 1;Beam.wav;Beam.wav
紅の光弾, FastGun.wav
チャージショット(準備), Charge.wav
チャージショット, WarShip.wav
レーザー(準備), Charge(long).wav
レーザー, LaserGun.wav
掌底, Swing.wav
掌底(命中), Punch.wav
膝蹴り(命中), Punch.wav
稲妻四連突き, 1;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
稲妻四連突き(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;Punch.wav
雷光廻し蹴り, 2;Swing.wav;Sword.wav
雷光廻し蹴り(命中), 4;Thunder.wav;Explode.wav
ドライブシュート, 1;Swing.wav;Punch.wav
ドライブシュート(命中), Crash.wav
タイガーショット, 1;Swing.wav;Punch.wav
タイガーシュート(命中), Crash.wav
志保ちゃん’ＳＥＹＥ, Flair.wav;1;White.bmp 480 480;Clear
イヤなウワサ(クリティカル), PowerDown.wav
跳び蹴り, Swing.wav
跳び蹴り(命中), Crash.wav
喝！, Explode(Nuclear).wav
オールドナックル(命中), Punch.wav
カイザーナックル(命中), 1;Punch.wav;Punch.wav
マッスルドライバー, 4;Swing.wav;Punch.wav
マッスルドライバー(命中), 1;Shock(low).wav;Explode(Far).wav
新聞配達, Swing.wav
新聞配達(命中), Crash.wav
不幸な予知(命中), Crash.wav
不幸な予知(命中), Explode(Far).wav
不幸な予知(命中), Tub.wav
不幸な予知(命中), Splash.wav
サイコキネシス, Whiz.wav
サイコキネシス(命中), Crash.wav
パワーの暴走(準備), Flair.wav;1;White.bmp 480 480;Clear
パワーの暴走, Explode(Far).wav
瞬獄殺(命中), White.bmp 480 480;10;Combo.wav;Clear
主役の意地(命中), Explode(Nuclear).wav
真・主役の意地(命中), Explode(Nuclear).wav
炎のツッコミ(命中), Crash.wav
上段回し蹴り, Swing.wav
上段回し蹴り(命中), Explode.wav
背負い投げ, 3;Swing.wav;Punch.wav
背負い投げ(命中), Crash.wav
炎の空中三段蹴り(準備), Fire.wav
炎の空中三段蹴り, 1;Swing.wav;1;Swing.wav;Swing.wav
炎の空中三段蹴り(命中), 1;Shock(low).wav;1;Shock(low).wav;Shock(low).wav
崩拳, Flair.wav;1;White.bmp 480 480;Clear
崩拳(命中), Explode(Nuclear).wav
突き飛ばし(命中), Crash.wav
破魔矢, Bow.wav
破魔矢(命中), Stab.wav
モップ, Swing.wav
モップ(命中), Punch.wav
電気ビリビリ, Thunder.wav
アクアシャワー, Splash.wav
スタンガン, Thunder.wav
警備用データ(準備), Search.wav
警備用データ, Thunder.wav
警察用データ(準備), Search.wav
警察用データ, Swing.wav
警察用データ(命中), Crash.wav
目からビーム, LaserGun.wav
格闘技データ(準備), Search.wav
格闘技データ, Saber.wav
格闘技データ(命中), Combo.wav
軍事用データ(準備), Search.wav
軍事用データ, 3;MachineCannon.wav;2;MultipleRocketLauncher.wav;2;Bazooka.wav;4;GunPod.wav;MicroMissile.wav
矢島ドリブル, Stairs(Run).wav
矢島シュート, Swing.wav
矢島ダンク, Swing.wav
矢島ダンク(命中), Crash.wav
精神電波, Whiz.wav
毒電波, Beam.wav
破壊電波, LaserGun.wav
電波の圧縮, Storm.wav
破壊爆弾(準備), 4;Search.wav;Flair.wav;1;White.bmp 480 480;Clear
破壊爆弾, Explode(Nuclear).wav
破壊爆弾(ＭＡＰ)(準備), 4;Search.wav;Flair.wav;1;White.bmp 480 480;Clear
破壊爆弾(ＭＡＰ), Explode(Nuclear).wav
コンビネーション, -.wav
コンビネーション(命中), 2;Punch.wav;1;Punch.wav;BreakOff.wav
火の玉スパイク, 1;Swing.wav;AntiAirMissile.wav
火の玉スパイク(命中), Crash.wav
Ｈ・Ｄ・Ｆ・Ｓ, 1;Swing.wav;AntiAirMissile.wav
Ｈ・Ｄ・Ｆ・Ｓ(命中), 1;Shock(low).wav;Crash.wav
平手(命中), Slap.wav
消火器, Swing.wav
消火器(命中), Explode(Far).wav
鬼の拳, Swing.wav
鬼の拳(命中), Shock(low).wav
粉砕(命中), 4;Punch(3).wav;1;BreakOff.wav;1;BreakOff.wav;3;Clash.wav;Explode.wav
必殺, 2;Stairs(Run).wav;4;BeamSaber.wav;Swing.wav
必殺(命中), 2;Explode(nuclear).wav;1;Explode(Nuclear).wav;Explode(Nuclear).wav
鬼の爪, Swing.wav
鬼の爪(命中), Slash.wav
前世の記憶, Whiz.wav
前世の記憶(命中), 2;Glass.wav;2;Explode.wav;Crash.wav
一筋の閃き(準備), Flair.wav;1;White.bmp 480 480;Clear
一筋の閃き, Swing.wav
一筋の閃き(命中), 1;Shock(low).wav;Glass.wav
獣の咆哮, Explode(Far).wav
獣の咆哮(クリティカル), Slap.wav
真の鬼(命中), Combo.wav
飛翔, 2;Stairs(Run).wav;Swing.wav
飛翔(命中), 1;Shock(low).wav;Slash.wav
切り裂き, 2;Stairs(Run).wav;Stab.wav
切り裂き(命中), 3;Slash.wav;Clash.wav
ヨークにお願い, 6;LaserGun.wav;1;Explode.wav;1;Explode.wav;1;Explode.wav;1;Explode.wav;Explode(Nuclear).wav
ヨークにお願い(命中), Clash.wav
ちゃぶ台返し, Crash.wav
爆弾, Swing.wav
ヨークに命令, 6;LaserGun.wav;1;Explode.wav;1;Explode.wav;1;Explode.wav;1;Explode.wav;Explode(Nuclear).wav
ヨークに命令(命中), Clash.wav
虐殺(命中), 6;Combo.wav;Explode(Far).wav
魅了の瞳, -.wav
魅了の瞳(命中), -.wav
魅了の瞳(クリティカル), Sharara.wav
闇の口づけ, Whiz.wav
闇の口づけ(命中), Stab.wav
影の刃, Swing.wav
影の刃(命中), Slash.wav
闇の波動, Whiz.wav
魔界の炎, Fire.wav
魔物の槍, Swing.wav
