ＬＵＮＡＲ
閃光斬, Whiz.wav
閃光斬(命中), Slash.wav
爆裂陣(準備), Reload.wav
爆裂陣, Explode(Small).wav
剣の舞(命中), Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
黒竜の嘆き(準備), Whiz.wav
黒竜の嘆き, MicroMissile.wav
黒竜の嘆き(クリティカル), Interference.wav
赤竜の怒り(準備), Whiz.wav
赤竜の怒り, Warship.wav;2;Warship.wav;2;Warship.wav;2;Warship.wav
赤竜の怒り(命中), Explode(Nuclear).wav
眠りの歌声, Sharara.wav
眠りの歌声(クリティカル), PiyoPiyo.wav
フライパン(命中), Crash.wav
スパークボール, Whiz.wav
スパークボール(クリティカル), Search.wav
スリープ, Whiz.wav
スリープ(クリティカル), PiyoPiyo.wav
コンフュージョン, Whiz.wav
コンフュージョン(クリティカル), PiyoPiyo.wav
エンクローズ, Whiz.wav
エンクローズ(クリティカル), PiyoPiyo.wav
シュートストーン, Whiz.wav
シュートストーン(クリティカル), Slash(4).wav
水流の杖(命中), BreakOff.wav
水流, Splash.wav
ライオット, Thunder.wav
サンダーレイン(準備), Hittyuu.wav
サンダーレイン, 2;Thunder.wav;Thunder.wav
サンダーレイン(命中), Explode.wav
シュペルグローム, 2;Thunder.wav;Thunder.wav
シュペルグローム(命中), Explode.wav
サンダーボルト, 1;Thunder.wav;Thunder.wav;Thunder.wav
サンダーボルト(命中), Explode.wav 
退魔の祈り, Sharara.wav
フレイル(命中), BreakOff.wav
裁きの祈り(準備), Hittyuu.wav
裁きの祈り, Hittyuu.wav
マインドスタッフ(命中), BreakOff.wav
フレイムサークル, Bazooka.wav
フレイムサークル(命中), Fire.wav
フリーズブロウ(命中), Slash(4).wav
コールドストーム, 3;Whiz.wav;3;Whiz.wav;Whiz.wav
コールドストーム(命中), 3;Stab.wav;3;Stab.wav;Stab.wav
ブリザード, Storm.wav
ファイアブラスト, Warship.wav;1;Warship.wav;1;Warship.wav
ファイアブラスト(命中), Fire.wav
インフェルノ, Fire.wav;Fire.wav;Fire.wav
インフェルノ(命中), Explode(Nuclear).wav
短剣, 1;Bow.wav;1;Bow.wav;Bow.wav
短剣(命中), 1;Stab.wav;1;Stab.wav;Stab.wav
ソニックライザー, Cannon.wav
パワースイーブ(命中), Slash.wav
シャインソード(準備), Hittyuu.wav
シャインソード, Swing.wav
ラッシュウィンド, Storm.wav
フラッシュアロー, 1;Bow.wav
フラッシュアロー(命中), Explode(Small).wav
スリング, 1;Bow.wav
スリング(命中), BreakOff.wav 
疾風の杖(命中), BreakOff.wav
ロッククラッシュ, 2;Bazooka.wav;Bazooka.wav;Bazooka.wav;Bazooka.wav
ロッククラッシュ(命中), Punch(2).wav;Punch(2).wav;Punch(2).wav;Punch(2).wav
ラウドコールネス, Storm.wav
ラウドコールネス(命中), Glass.wav
エクスプロード, 2;Cannon.wav
エクスプロード(命中), Fire.wav
なぎ払い(命中), BreakOff.wav
テレポート, Bow.wav
魔力の刃, BeamSaber.wav
魔力の刃(命中), Saber.wav
フェイトストーム, MicroMissile.wav
フェイトストーム(命中), Beam.wav
サイフォンソウル, MicroMissile.wav
ワームクラッシュ, Bow.wav
ワームクラッシュ(命中), BreakOff.wav
ヘルウェーブ, Beam.wav
心の迷宮, EvilEye.wav
ソニックブーム, Beam.wav
オーラショット, Cannon.wav
オーラショット(命中), Explode(Small).wav
カオスウェーブ(準備), Charge.wav 
カオスウェーブ, Thunder.wav
カオスウェーブ(命中), Explode.wav
フレイムバインド(命中), Splash.wav
呪い, Sharara.wav
呪い(クリティカル), PiyoPiyo.wav
ランサー, -.wav
ランサー(命中), BreakOff.wav
ランサーシュート, 2;Swing.wav;2;Swing.wav;Swing.wav
ランサーシュート(命中), BreakOff.wav
クロスブリッツ(準備), Charge.wav
クロスブリッツ, Shock(Low).wav
クロスブリッツ(命中), Crash.wav
アークフレア(命中), Explode(Far).wav
フレアストライク, BeamShot.wav
フレアストライク(命中), Bazooka.wav

