
ＬＵＮＡＲ
爆気斬, Explode.wav
クロスブーメラン, 2;Whiz.wav;Whiz.wav
クロスブーメラン(命中), 1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
ワールウインド, Storm.wav
ワールウインド(命中), Combo.wav
トルネード, Storm.wav
トルネード(命中), 1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
旋風斬, 2;Swing.wav;2;Swing.wav;Swing.wav
旋風斬(命中), 1;Saber.wav;1;Saber.wav;Slash.wav
舞空斬(命中), 1;Saber.wav;1;Stab.wav;Saber.wav;Slash.wav
烈空斬, Bazooka.wav
烈空斬(命中), Crash.wav
飛翔天舞斬(命中), 4;Crash.wav;4;Crash.wav;Crash.wav
スパークショット, 2;UnitOn.wav;2;UnitOn.wav;UnitOn.wav
スパークショット(命中), 2;Explode(Small).wav;2;Explode(Small).wav;Explode(Small).wav
スパークキャノン(命中), Thunder.wav
ライトニングボム(命中), Thunder.wav
サテライトボム(命中), GunPod.wav
プラズマレイン, 2;LaserGun.wav;LaserGun.wav
プラズマレイン(命中), Explode.wav
ホーミングキャノン, MicroMissile.wav
ホーミングキャノン(命中), Explode.wav
デジョンクラスター, Search.wav
デジョンクラスター(命中), Glass.wav
アトミックバーン(命中), Explode(Nuclear).wav
怒りのダイス(命中), Thunder.wav
運命のダイス(命中), BeamCoat.wav
光輝の祈り(命中), Sharara.wav
情熱のベーゼ, UnitOn.wav
情熱のベーゼ(クリティカル), PiyoPiyo.wav
夢見の舞い, Bubble.wav
夢見の舞い(クリティカル), PiyoPiyo.wav
扇, Bow.wav
扇(命中), Punch.wav
青竜拳(命中), Punch(3).wav
青竜拳(クリティカル), Combo.wav
胡蝶の舞い, BeamSaber.wav
胡蝶の舞い(クリティカル), Search.wav
女王蜂の舞い, BeamSaber.wav
女王蜂の舞い(クリティカル), Search.wav
流星脚, Bow.wav
流星脚(命中), Crash.wav
闘神乱舞(命中), Combo.wav
竜神掌(命中), Bazooka.wav
青竜烈波(命中), Explode.wav
真・青竜烈波拳(命中), Explode(Nuclear).wav
ディスペルマジック(クリティカル), Inori.wav
メガクローズ(クリティカル), PiyoPiyo.wav
ノヴァフレイム, Whiz.wav
ノヴァフレイム(命中), Fire.wav
ノヴァプロージョン, MicroMissile.wav
ノヴァプロージョン(命中), Explode.wav
アイスクレッシェント, 3;Whiz.wav;3;Whiz.wav;Whiz.wav
アイスクレッシェント(命中), 3;Stab.wav;3;Stab.wav;Stab.wav
コールドサークル, Splash.wav
コールドサークル(命中), Bazooka.wav
ラウドコールネス, Storm.wav
ラウドコールネス(命中), Glass.wav
インフェルノ, Breath.wav
インフェルノ(命中), Explode(Nuclear).wav
カタストロフ(命中), 3;Crash.wav;6;Breath.wav;4;FastGun.wav;Explode(Nuclear).wav
ストーンバレット, Bow.wav
ストーンバレット(命中), Punch.wav
ランドクラッシュ, Whiz.wav
ランドクラッシュ(命中), Bazooka.wav
ランドブレイク(命中), Bazooka.wav
光輪弾, Beam.wav
光輪弾(命中), Slash.wav
連武撃(命中), 1;Saber.wav;1;Stab.wav;Saber.wav;Slash.wav
光波斬, Beam.wav
光波斬(命中), Crash.wav
聖光断(命中), BeamCoat.wav

