ＬＵＰＩＮ３
ルパン流窃盗術(攻撃), 飛びかかり
ルパン流窃盗術(命中), -
ルパントラップ, ＭＡＰ煙
格闘(ルパン３世), 格闘
格闘(ルパン３世), アッパー
格闘(ルパン３世), キック
格闘(次元大介), 格闘
格闘(次元大介), アッパー
格闘(次元大介), 足固め
格闘(峰不二子), 格闘
格闘(峰不二子), キック
格闘(峰不二子)(攻撃), なぎ払い
格闘(峰不二子)(命中), ダメージ
格闘(銭形平一), 格闘
格闘(銭形平一), キック
格闘(銭形平一), タックル
格闘, 格闘
ワルサーＰ３８, ピストル
麻酔弾(ワルサーＰ３８), ピストル
Ｍ１９コンバットマグナム, リボルバー
早撃ち０.３秒(準備), -
早撃ち０.３秒(攻撃), なぎ払い;リボルバー
早撃ち０.３秒(命中), 銃弾
匕首, 小柄
示刀流手刀(攻撃), 振り下ろし
示刀流手刀(命中), 打撃 Punch.wav
乱れ斬り, 長ドス突撃
斬鉄剣, 長ドス
飛翼斬り, 長ドス突撃
秘剣・稲妻斬り(攻撃), 長ドス突撃
秘剣・稲妻斬り(命中), 斬撃乱舞
秘剣・稲妻斬り(とどめ), 縦分割;横分割
斬る！(攻撃), 長ドス突撃
斬る！(命中), Black.bmp 480 480;2;包囲ビーム 白 Slash(4).wav
斬る！(とどめ), 横分割
無念夢想, フラッシュ
色仕掛け, @戦闘アニメ_ＳＰ魅惑 対象ユニットＩＤ
小型ナイフ, 投剣
ブローニングM1910, ピストル
シグＰ２３０, サブマシンガン
ロープ付き手錠(攻撃), フックロープ;手錠
ロープ付き手錠(クリティカル), 振る武器 EFFECT_Cuffs01.bmp
投げ手錠, 手錠
コルトガバメント, ピストル EFFECT_RWG_COLT_GOVERNMENT.bmp
ベレッタ１９３４, ピストル
火炎放射器(ルパン三世), 火炎放射
投げ飛ばす, 投げ飛ばし
投擲, 岩
武器砕き, アッパー
十手, 十手
４４口径コルトパイソン, ピストル EFFECT_RWG_COLT_PYTHON.bmp
ダムダム弾(コルトパイソン), ピストル EFFECT_RWG_COLT_PYTHON.bmp
ダムダム弾(コルトパイソン)(命中), 大爆発
ワルサーＰ３８(シルバー・メタリック), ピストル
#汎用で銀の銃ができたら差し替え予定
コルト・エグゼクティブ, リボルバー
シモノフ対戦車ライフル, 対戦車ライフル
竹光, 竹刀
流星, 長ドス
ルガー・スーパーブラックホーク, リボルバー
液体燃料(攻撃), フラスコ
液体燃料(命中), 火柱 対象ユニットＩＤ
ストナー６３重機関銃, 大型ガトリング
レッドアイ・ガンランチャー, グレネードランチャー
ダムダム弾, リボルバー
ダムダム弾(命中), 小爆発
接着弾, リボルバー
接着弾(命中), Weapon\EFFECT_SuperCannon01.bmp
水銀弾, リボルバー
水銀弾(とどめ), ユニット変色 黒
ダイヤ弾, リボルバー
ダイヤ弾(とどめ), 貫通穴
最大のトリック(攻撃), 7;Reload(5).wav;実弾発射 Bullet\EFFECT_GroundCutter(White)01.bmp 22 Hide.wav 発光 残像
最大のトリック(命中), 超爆発


