ＬＵＰＩＮ３
ワルサーＰ３８<初弾>, gun.wav
ワルサーＰ３８, gun.wav
コブラツイスト, falldown.wav
コブラツイスト(命中), breakoff.wav
Ｍ１９コンバットマグナム, rifle.wav
早撃ち０.３秒, saber.wav;3;rifle.wav
匕首, saber.wav
匕首(命中), stab.wav
乱れ斬り, slash.wav;1;stab.wav;1;slash.wav
秘剣・稲妻斬り, storm.wav
秘剣・稲妻斬り(命中), thunder.wav
斬る, sword.wav
斬る(命中), slash.wav
色仕掛け, beamshot.wav
色仕掛け(命中), piyopiyo.wav
小型ナイフ, saber.wav
小型ナイフ(命中), stab.wav
ブローニングM1910, gun.wav
指用小型手錠, door(open).wav
指用小型手錠(命中), snap.wav
投げ手錠, door(open).wav
投げ手錠(命中), snap(e).wav
コルトガバメント, gun.wav
４４口径コルトパイソン, rifle.wav
シルバー・メタリック, gun.wav
コルト・エグゼクティブ, rifle.wav
竹光, saber.wav
竹光(命中), cannon.wav
流星, saber.wav
流星(命中), slash.wav
ルガー・スーパーブラックホーク, rifle.wav
液体燃料, 5;Swing.wav;5;fire.wav
ストナー６３重機関銃, FastGun.wav
レッドアイ・ガンランチャー, Missile.wav
レッドアイ・ガンランチャー(命中), Explode(Far).wav
ダムダム弾, Rifle.wav
接着弾, Rifle.wav
接着弾(命中), 1;Crash.wav;2;splash.wav
水銀弾, Rifle.wav
水銀弾(命中), 1;Crash.wav;2;splash.wav
ダイヤ弾, Rifle.wav








