
ロトの紋章
メラ(準備), Fire.wav
メラ, Bazooka.wav
メラ(命中), Explode(Small).wav
メラミ(準備), Fire.wav
メラミ, Bazooka.wav
メラミ(命中), Explode(Small).wav
メラゾーマ(準備), MultipleRocketLauncher.wav
メラゾーマ, Warship.wav
メラゾーマ(命中), Explode(Far).wav
バギ, 3;Saber.wav;Saber.wav
バギマ, Storm.wav
バギマ(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav
バギクロス, 3;Saber.wav;3;Saber.wav;Storm.wav
バギクロス(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
ギラ, Beam.wav
ベギラマ, AntiAirMissile.wav
ベギラゴン(準備), AntiShipMissile.wav
ベギラゴン, MicroMissile.wav
ヒャド(準備), Sword.wav
ヒャド, Bow.wav
ヒャド(命中), 2;Stab.wav
ヒャド(クリティカル), Glass.wav
ヒャダルコ(準備), 1;Sword.wav;1;Sword.wav;Sword.wav
ヒャダルコ, MultipleRocketLauncher(Light).wav
ヒャダルコ(クリティカル), Glass.wav
ヒャダイン(準備), Wind.wav
ヒャダイン, Storm.wav
ヒャダイン(命中), Sword.wav
ヒャダイン(命中), Glass.wav
ヒャダイン(命中), Saber.wav
マヒャド(準備), Wind.wav
マヒャド, 2;Storm.wav;2;Storm.wav;Storm.wav
マヒャド(命中), 2;Glass.wav;2;Glass.wav;Glass.wav
イオ(準備), BeamShot.wav
イオ, Explode.wav
イオラ(準備), 1;BeamShot.wav;BeamShot.wav
イオラ, Explode(Far).wav
イオナズン(準備), Charge.wav
イオナズン, Explode(Nuclear).wav
ライデイン(準備), Charge.wav
ライデイン, Thunder.wav
ギガデイン(準備), Charge(long).wav
ギガデイン, 3;Thunder.wav;3;Thunder.wav;Thunder.wav
ギガデイン(命中), Explode(Far).wav
ザキ, Search.wav
ザキ(クリティカル), Inori.wav;1;Black.bmp 480 480;Clear
ザラキ, Search.wav
ザラキ(クリティカル), Inori.wav;1;Black.bmp 480 480;Clear
バシルーラ, Search.wav
バシルーラ(命中), Bomb.wav
ニフラム, BeamShot.wav
ニフラム(クリティカル), Inori.wav;1;White.bmp 480 480;Clear
凍える吹雪, 2;Storm.wav;2;Storm.wav;Storm.wav
激しい炎(準備), Fire.wav
激しい炎, AntiAirMissile.wav
ホイミ, Sharara.wav;1;White.bmp 480 480;Clear
ベホイミ, Sharara.wav;1;White.bmp 480 480;Clear
ベホマ, Sharara.wav;1;White.bmp 480 480;Clear
ベホマラー, Sharara.wav;1;White.bmp 480 480;Clear;Sharara.wav
ベホマズン, 10;Charge(long).wav;Sharara.wav;1;White.bmp 480 480;Clear
マホトーン, BeamShot.wav
マホトーン(クリティカル), BreakOff.wav
ラリホー, BeamShot.wav
ラリホー(クリティカル), Bubble.wav
眩惑の光, BeamShot.wav
眩惑の光(クリティカル), Applause.wav;1;White.bmp 480 480
聖なる竜, 3;BeamCoat.wav;Beam.wav
聖なる竜(命中), Crash.wav
ダブルギガデイン(２・１)(準備), Charge(long).wav
ダブルギガデイン(２・１), 3;Thunder.wav;3;Thunder.wav;Thunder.wav
ダブルギガデイン(２・１)(命中), Explode(Far).wav
ダブルギガデイン(２・３)(準備), Charge(long).wav
ダブルギガデイン(２・３), 3;Thunder.wav;3;Thunder.wav;Thunder.wav
ダブルギガデイン(２・３)(命中), Explode(Far).wav
トリプルギガデイン(準備), Charge(long).wav
トリプルギガデイン, 3;Thunder.wav;3;Thunder.wav;Thunder.wav
トリプルギガデイン(命中), Explode(Far).wav
ミナデイン(準備), Charge(long).wav
ミナデイン, 3;Thunder.wav;3;Thunder.wav;3;Thunder.wav;Swing.wav
ミナデイン(命中), Explode(Far).wav
はやぶさの剣, 3;Swing.wav;Swing.wav
はやぶさの剣(命中), 4;Stab.wav;Stab.wav
震空呀真一文字, 4;Swing.wav;Whiz.wav
震空呀真一文字(命中), Slash.wav
剣王震空呀, 3;Swing.wav;5;Swing.wav;3;Whiz.wav;Whiz.wav
剣王震空呀(命中), 4;Stab.wav;Stab.wav
剣王旋風呀, 4;Swing.wav;Storm.wav
剣王旋風呀(命中), Slash.wav
剣王雷刃呀, 4;Swing.wav;Whiz.wav
剣王雷刃呀(命中), Slash.wav
剣王爆斬剣, 4;Swing.wav;Engine.wav
剣王爆斬剣(命中), Drill.wav
捷星魔光弾, Cannon.wav
捷星魔光弾(命中), Explode(Small).wav
波動拳, 4;Charge.wav;Swing.wav
波動拳(命中), Punch.wav
竜星斬魔刀, 5;Bow.wav;Swing.wav
竜星斬魔刀(命中), Slash.wav
狼星魄撃掌(準備), Charge.wav
狼星魄撃掌, Swing.wav
狼星魄撃掌(命中), Crash.wav
狼星魄撃掌(とどめ), 6;BeamCoat.wav;6;BeamCoat.wav;6;BeamCoat.wav;Glass.wav
啾星殲光弾(準備), Charge.wav
啾星殲光弾, Beam.wav
啾星殲光弾(命中), Crash.wav
螺旋掌破(準備), Charge.wav
螺旋掌破, Storm.wav
螺旋掌破(命中), 4;Storm.wav;4;Storm.wav;Storm.wav
マヒアロス, 3;Whiz.wav;3;Whiz.wav;3;Whiz.wav;3;Whiz.wav;Whiz.wav
マヒアロス(命中), 3;Whiz.wav;Glass.wav
イオナロス(命中), 3;Storm.wav;Explode(small).wav
イオラゴン(命中), Explode(Far).wav
メゾラゴン(命中), Fire.wav
マダンテ, 5;Charge.wav;Jet.wav
マダンテ(命中), Explode(Nuclear).wav
トライアングルアタック(命中), Explode(Far).wav
しんくう, AntiShipMissile.wav
しんくう(命中), Hide.wav
ひょうが, Sword.wav
ひょうが(命中), 4;Sword.wav;Grass.wav
収束魔力, Beam.wav
魔力の咆哮(準備), Charge.wav
魔力の咆哮, Bazooka.wav
魔力の咆哮(命中), Explode.wav
たつまき, Storm.wav
りゅうせい, 10;Shore.wav;Gunpod.wav
たいよう, 8;BeamSaber.wav;Fire.wav
魔人の血, 4;Saber.wav;Inori.wav
魔人の血(命中), Search.wav
エビルデイン(準備), Charge.wav
エビルデイン, Thunder.wav
幻術, Search.wav
亡者の群れ, 4;MultipleRocketLauncher.wav;MultipleRocketLauncher.wav
亡者の群れ(命中), MultipleRocketLauncher.wav
念術, 5;BeamSaber.wav;Swing.wav
光葬魔雲, 6;Drill.wav;Bazooka.wav
灼熱の炎(準備), Fire.wav
灼熱の炎, MicroMissile.wav
竜王の顎, Storm.wav
竜王の顎(命中), 3;Crash.wav;3;Crash.wav;Crash.wav
ハーケン, 3;Swing.wav;3;Swing.wav;3;Swing.wav;Swing.wav
羽ばたき, 3;Swing.wav;3;Swing.wav;3;Swing.wav;Swing.wav
羽ばたき(命中), Storm.wav
地割れ, 3;Explode(Small).wav;Crash.wav
圧縮火球(準備), Charge.wav
シールド防御(ブルーメタルの盾), Sword.wav
シールド防御(ロトの盾), Sword.wav
反射(マホカンタ), BeamCoat.wav
反射(バイバーハ), 3;Sword.wav;3;Sword.wav;BeamCoat.wav
阻止(マホステ), Charge.wav
霞の小太刀, Swing.wav
霞の小太刀(命中), 3;Sword.wav;Slash.wav
メガンテ, 
瘻瘡潰燼波, Cannon.wav
瘻瘡潰燼波(命中), Explode(Small).wav
瘻瘡邪骸拳, 4;Charge.wav;Swing.wav
瘻瘡邪骸拳(命中), Punch.wav
フェザースラッシュ, MachineCannon.wav
フェザースラッシュ(命中), 4;Stab.wav;4;Stab.wav;4;Stab.wav;Stab.wav
マジックアロー(準備), Charge.wav
マジックスピア(準備), Charge.wav
獣魔百裂断, MachineCannon.wav
獣魔百裂断(命中), 4;Slash.wav;4;Slash.wav;4;Slash.wav;Slash.wav
灼煌猛撃衝, 5;Hide.wav;Swing.wav
灼煌猛撃衝(命中), Explode.wav
熱線, Hide.wav
熱線(命中), Fire.wav
熱線放射(命中), Hide.wav
熱線放射(命中), AntiAirMissile.wav

