
# １、一部調べられないので保留。ウソついてるのもあります。
# ２、流星剣系が微妙。

ロマンシングサガ
隼斬り, Saber.wav
隼斬り(命中), Slash.wav
隼斬り(ＬＨソード), Saber.wav
隼斬り(ＬＨソード)(命中), Slash.wav
鎌いたち, 1;Saber.wav;1;Saber.wav;Saber.wav
鎌いたち(命中), 1;Slash.wav;1;Slash.wav;Slash.wav
流星剣, MultipleRocketLauncher.wav
竜破剣, Drill.wav
竜破剣(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;Slash.wav
一文字斬り, Whiz.wav
一文字斬り(命中), Slash.wav
炸裂剣(命中), Slash.wav
彗星剣, MultipleRocketLauncher.wav
光明剣(準備), BeamSaber.wav
光明剣, Beam.wav
光明剣(命中), Explode.wav
王者の剣, Flair.wav
王者の剣(命中), Crash.wav
王者の剣(クリティカル), Sword.wav
不動剣(準備), Fire.wav
不動剣, AntiAirMissile.wav
不動剣(命中), 2;Sword.wav;Slash.wav
ボーンクラッシュ(命中), 1;Punch.wav
ボーンクラッシュ(クリティカル), BreakOff.wav
二段斬り(命中), 2;Slash.wav;Slash.wav
撫で斬り(命中), 1;Shock(low).wav;Slash.wav
三段斬り(命中), 2;Slash.wav;2;Slash.wav;Slash.wav
地擦り残月(命中), Slash.wav
地走り(命中), Slash.wav
燕返し(命中), 2;Swing.wav;Slash.wav
冷たい風, Storm.wav
冷たい風(命中), -
冷たい風(クリティカル), Flair.wav
冬の嵐, Storm.wav
冬の嵐(命中), Glass.wav
冷凍剣(準備), Wind.wav
冷凍剣, AntiAirMissile.wav
冷凍剣(命中), 2;Slash.wav;Glass.wav
邪剣波, MultipleRocketLauncher.wav
撃剣波, MultipleRocketLauncher.wav
レイピア(命中), Stab.wav
エストック(命中), Stab.wav
ヴェルニーレイピア(命中), Stab.wav
大地の剣(命中), Stab.wav
睡魔剣, Sharara.wav
睡魔剣(命中), -
睡魔剣(クリティカル), PowerDown.wav
円舞剣, 1;Swing.wav;1;Swing.wav;Swing.wav
円舞剣(命中), Slash.wav
幻夢剣(命中), 1;Stab.wav;Sharara.wav
乱れ突き(命中), 1;Stab.wav;5;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
三星衝(命中), 1;Stab.wav;1;Stab.wav;Slash.wav
透明剣, Hittyuu.wav
麻痺突き(命中), 1;Stab.wav
麻痺突き(クリティカル), BeamSaber.wav
石化剣(命中), 1;Stab.wav
石化剣(クリティカル), Inori.wav
大震剣, Bazooka.wav
大震剣(命中), GunPod.wav
ウコムの鉾(命中), Stab.wav
足払い(命中), 1;Punch.wav
足払い(クリティカル), FallDown.wav
二段突き(命中), 3;Stab.wav;Stab.wav
風車, 1;Swing.wav;1;Swing.wav;Swing.wav
風車(命中), 1;Swing.wav;Stab.wav
一文字突き, Whiz.wav
一文字突き(命中), Stab.wav
串刺し, Swing.wav
串刺し(命中), Stab.wav
雷撃衝(準備), BeamSaber.wav
雷撃衝, Inori.wav
雷撃衝(命中), MicroMissile.wav
稲妻(準備), BeamSaber.wav
稲妻, Thunder.wav
稲妻(命中), MicroMissile.wav
影縫い, 1;Bow.wav;1;Bow.wav;1;Bow.wav;Bow.wav
影縫い(クリティカル), Sword.wav
二本射ち, 3;Bow.wav;Bow.wav
二本射ち(命中), 3;Stab.wav;Stab.wav
皆死ね矢, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;Bow.wav
皆死ね矢(命中), -
皆死ね矢(クリティカル), Sword.wav
貫きの矢, Bow.wav
必殺の矢, Bow.wav
乱れ射ち, 1;Bow.wav;5;Bow.wav;1;Bow.wav;1;Bow.wav;5;Bow.wav;1;Bow.wav;1;Bow.wav
乱れ射ち(命中), 1;Stab.wav;5;Stab.wav;1;Stab.wav;1;Stab.wav;5;Stab.wav;1;Stab.wav;1;Stab.wav
夢想弓(準備), Hittyuu.wav
夢想弓, Bow.wav
夢想弓(命中), Stab.wav
トマホーク, Swing.wav
トマホーク(命中), Slash.wav
円月斬, 1;Swing.wav;1;Swing.wav;Swing.wav
円月斬(命中), 1;Slash.wav;1;Slash.wav;Slash.wav
狂乱斬,	Stairs(Run).wav
狂乱斬(命中), 1;Swing.wav;1;Slash.wav;1;Swing.wav;1;Slash.wav;1;Swing.wav;Slash.wav
十文字斬, 1;Swing.wav;Swing.wav
十文字斬(命中), 1;Slash.wav;Slash.wav;Shock(low).wav
全滅斬(命中), Slash.wav
撃魔斬(命中), Sword.wav
大文字斬(命中), Slash.wav
唐竹割り(命中), Slash.wav
真空斬(命中), Slash.wav
飛翔脳天撃(準備), Charge.wav
飛翔脳天撃, Jet.wav
飛翔脳天撃(命中), 1;Swing.wav;WarShip.wav
メイス(命中), Punch.wav
アンバーの槌(命中), Punch.wav
スタンニングブロウ(命中), Punch.wav
スタンニングブロウ(クリティカル), BreakOff.wav
ダブルヒット(命中), 3;Punch.wav;Punch.wav
トリプルヒット(命中), 2;Punch.wav;2;Punch.wav;Shock(low).wav
円舞麻痺撃(命中), Punch.wav
スカルクラッシュ, Cannon.wav
スカルクラッシュ(命中), Crash.wav
飛翔乱舞, Jet.wav
飛翔乱舞(命中), 3;Punch.wav;1;Punch.wav;3;Punch.wav;10;FastGun.wav;Crash.wav
叩き潰す(準備), Charge.wav
叩き潰す, Cannon.wav
叩き潰す(命中), 1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;Crash.wav
飛び蹴り, Whiz.wav
飛び蹴り(命中), Punch.wav
旋風脚, Whiz.wav
旋風脚(命中), 1;Punch.wav;1;Punch.wav;Punch.wav
延髄斬り(命中), Punch.wav
三角蹴り, 3;Whiz.wav;Whiz.wav
三角蹴り(命中), Punch.wav
毒牙(命中), 2;Stab.wav
毒牙(クリティカル), Bubble.wav
麻痺牙(命中), Stab.wav
麻痺牙(クリティカル), BeamSaber.wav
くちばし(命中), Stab.wav
石化くちばし(命中), 2;Stab.wav
石化くちばし(クリティカル), Inori.wav
毒霧, AntiShipMissile.wav
毒霧(クリティカル), Bubble.wav
炎の牙(命中), 1;Stab.wav;Fire.wav
炎, Cannon.wav
炎(命中), Fire.wav
しがみつき(クリティカル), BreakOff.wav
ワンツーパンチ(命中), 3;Punch.wav;Punch.wav
クロスカウンター(命中), Punch.wav
ソニックブーム, 1;Saber.wav;1;Saber.wav;Saber.wav
ソニックブーム(命中), Combo.wav
ローリングサンダー(準備), Whiz.wav
ローリングサンダー, FastGun.wav
ローリングサンダー(命中), Combo.wav
ダブルアタック(命中), 2;Shock(low).wav;Shock(low).wav
スターファイア, Beam.wav
スターファイア(命中), Fire.wav
スターライトウェブ, Beam.wav
スターライトウェブ(命中), 3;BeamCoat.wav;3;BeamCoat.wav;BeamCoat.wav
スターソード(準備), BeamSaber.wav
スターソード, Swing.wav
スターソード(命中), Slash.wav
スロウ, BeamShot.wav
スロウ(命中), -
スロウ(クリティカル), PiyoPiyo.wav
エナジーボルト, LaserGun.wav
エナジーボルト(命中), Explode.wav
エナジーストーム(準備), Charge.wav
エナジーストーム, LaserGun.wav
エナジーストーム(命中), Explode(Far).wav
ダイヤモンドスピア(準備), Charge.wav
ダイヤモンドスピア, Bow.wav
ダイヤモンドスピア(命中), Stab.wav
ダイヤモンドウェポン, Sharara.wav
ダイヤモンドアーマー, Sharara.wav
ストーンスタチュー, Fold.wav
ストーンスタチュー(命中), -
ストーンスタチュー(クリティカル), Inori.wav
癒しの水, Sharara.wav
レインコール, Shower.wav
ウォーターガン, BeamShot.wav
ウォーターガン(命中), Splash.wav
渦潮(準備), Shore.wav
渦潮, Inference.wav
ヘルファイア(命中), Fire.wav
ファイアボール, Bazooka.wav
ファイアボール(命中), Explode.wav
セルフバーニング, Fire.wav
セルフバーニング(命中), 3;Slap.wav;Explode.wav
ファイアウォール, Breath.wav
ファイアウォール(命中), 1;Explode.wav;1;Explode.wav;Explode.wav
火の鳥(準備), Fire.wav
火の鳥, Jet.wav
火の鳥(命中), 5;Explode(Far).wav;Dolphin.wav
焼き尽くす(準備), Fire.wav
焼き尽くす, Snap.wav
焼き尽くす(命中), MicroMissile.wav
アイスジャベリン(準備), Wind.wav
アイスジャベリン, 1;Bow.wav;1;Bow.wav;Bow.wav
アイスジャベリン(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav
ライトニング, Thunder.wav
ライトニング(命中), Inori.wav
ブラッドフローズ, Hittyuu.wav
ブラッドフローズ(命中), Glass.wav
吹雪(準備), Wind.wav
吹雪, Storm.wav
吹雪(命中), 1;Glass.wav;1;Glass.wav;1;Glass.wav;1;Glass.wav;Glass.wav
火幻術, EvilEye.wav
火幻術(命中), Fire.wav
幻霧術, EvilEye.wav
幻霧術(命中), -
幻霧術(クリティカル), Hide.wav
幻影魅力術, EvilEve.wav
幻影魅力術(命中), -
幻影魅力術(クリティカル), Sharara.wav
雷幻術, Thunder.wav
雷幻術(命中), MicroMissile.wav
破邪法,	-
生気翔撃法, -
影縛り, BeamShot.wav
影縛り(クリティカル), Sword.wav
ブラックファイア(命中), Fire.wav
ダークウォール, Search.wav
ブラックスフィア, BeamSaber.wav
ブラックスフィア(命中), -
ブラックスフィア(クリティカル), Inori.wav
ダークウェブ, Search.wav
ポイズンガス, AntiShipMissile.wav
ポイズンガス(命中), -
ポイズンガス(クリティカル), Bubble.wav
アゴニイ, BeamCoat.wav
イーブルスピリット, -
ライフドレイン, BeamShot.wav
ライフドレイン(命中), Fold.wav
アニメート, Fold.wav
デスハンド, -
ドレイン, BeamShot.wav
ドレイン(命中), Fold.wav
攻撃無効化(セルフバーニング), 3;Slap.wav;Explode.wav
攻撃無効化(ウインドバリア), AntiShipMissile.wav
聖杯, Sharara.wav
回復の水, Sharara.wav
毒消しの水, Sharara.wav
力の水, Sharara.wav
奇跡の水, Sharara.wav
ファイナルストライク, Charge(long).wav
ファイナルストライク(命中), Explode(Nuclear).wav
スペルエンハンス, Sharara.wav
ウェポンブレス,	Sharara.wav


