################################ 解説 ################################

ロマサガ２モンスター
当て身技(風車)(解説), $(ユニット)は風車で$(相手武器)を弾いて反撃した。
当て身技(カウンター)(解説), $(ユニット)は$(相手武器)を受け流してパンチで反撃した。
ファイアーボール(解説), $(ユニット)はファイアーボールの術法で攻撃をかけた。
阻止(セルフバーニング)(解説), $(ユニット)はセルフバーニングの術法で$(相手武器)を防いだ。
フレイムウィップ(解説), $(ユニット)はフレイムウィップの術法で攻撃をかけた。
生命の水(解説), $(ユニット)は生命の水の術法を使った。
ウインドカッター(解説), $(ユニット)はウインドカッターの術法で攻撃をかけた。
体力吸収(解説), $(ユニット)は体力吸収の術法で攻撃をかけた。
足がらめ(解説), $(ユニット)は足がらめの術法で攻撃をかけた。
ストーンシャワー(解説), $(ユニット)はストーンシャワーの術法で攻撃をかけた。
アースヒール(解説), $(ユニット)はアースヒールの術法を使った。
ライトボール(解説), $(ユニット)はライトボールの術法で攻撃をかけた。
ペイン(解説), $(ユニット)はペインの術法で攻撃をかけた。
ホラー(解説), $(ユニット)はホラーの術法で攻撃をかけた。
デッドリードライブ(解説), $(ユニット)はデッドリードライブの術法で攻撃をかけた。
熱風(解説), $(ユニット)は熱風の術法で攻撃をかけた。
召雷(解説), $(ユニット)は召雷の術法で攻撃をかけた。
サイクロンスクィーズ(解説), $(ユニット)はサイクロンスクィーズの術法で攻撃をかけた。
ファイアストーム(解説), $(ユニット)はファイアストームの術法で攻撃をかけた。
太陽風(解説), $(ユニット)は太陽風の術法で攻撃をかけた。
ダイアモンドダスト(解説), $(ユニット)はダイアモンドダストの術法で攻撃をかけた。
ヘルファイア(解説), $(ユニット)はヘルファイアの術法で攻撃をかけた。
ポイゾナスブロウ(解説), $(ユニット)はポイゾナスブロウの術法で攻撃をかけた。
イルストーム(解説), $(ユニット)はイルストームの術法で攻撃をかけた。
サンドストーム(解説), $(ユニット)はサンドストームの術法で攻撃をかけた。
ダークスフィア(解説), $(ユニット)はダークスフィアの術法で攻撃をかけた。
ゴーストライト(解説), $(ユニット)はゴーストライトの術法で攻撃をかけた。

################################ ＳＥ ################################

ロマサガ２モンスター
メイス(命中), 2;Swing.wav;Punch.wav
タンブラーロッド(命中), 2;Swing.wav;Punch.wav
スカルロッド(命中), 2;Swing.wav;Punch.wav
ソウルセイバー(命中), 2;Swing.wav;Stab.wav
ウインクキラー, 6;Swing.wav;Bow.wav
ウインクキラー(命中), Glass.wav
剛弓, 6;Swing.wav;Bow.wav
エルダーボウ, 6;Swing.wav;Bow.wav
エルダーボウ(命中), Stab.wav
爪<遠隔>, Whiz.wav
爪<遠隔>(命中), Slash.wav
牙<遠隔>, Whiz.wav
牙<遠隔>(命中), Stab.wav
ハサミ(命中), 2;Swing.wav;Punch.wav
スコップ(命中), 2;Swing.wav;Punch.wav
ボウガン殴り(命中), 2;Swing.wav;Punch.wav
空圧波, 8;BeamSaber.wav;Swing.wav
なぎ払い(命中), 2;Swing.wav;Saber.wav
落月破斬, 2;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
落月破斬(命中), Saber.wav
落月破斬(格闘), 2;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
落月破斬(格闘)(命中), Saber.wav
カマイタチ, Swing.wav
カマイタチ(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav;Saber.wav
スウォーム, BeamSaber.wav
スウォーム(命中), 1;Stab.wav;1;Stab.wav;Stab.wav
つむじ風, 3;Swing.wav;Storm.wav
つむじ風(命中), 0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;_
		0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;Slash.wav
つむじ風(格闘), 3;Swing.wav;Storm.wav
つむじ風(格闘)(命中), 0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;_
			0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;Slash.wav
音速剣, 2;Swing.wav;Jet.wav
音速剣(命中), Saber.wav
音速剣(格闘), 2;Swing.wav;Jet.wav
音速剣(格闘)(命中), Saber.wav
二段斬り, 2;Swing.wav;Swing.wav
二段斬り(命中), 2;Saber.wav;Saber.wav
二段斬り(格闘), 2;Swing.wav;Swing.wav
二段斬り(格闘)(命中), 2;Saber.wav;Saber.wav
十文字斬り, 2;Swing.wav;Swing.wav
十文字斬り(命中), 2;Saber.wav;Saber.wav
短冊斬り, 2;Swing.wav;Swing.wav
短冊斬り(格闘), 2;Swing.wav;Swing.wav
稲妻斬り(命中), 2;Swing.wav;Thunder.wav
サクション, 5;Whiz.wav;Charge.wav
サクション(命中), 4;BeamShot.wav;BeamShot.wav
咬竜剣, 8;Fire.wav;Storm.wav
咬竜剣(命中), 8;Storm.wav;Crash.wav
二段斬り, 2;Swing.wav;Swing.wav
