# ロマンシングサ・ガ２ モンスター
# 装備武器
長剣,                     1000,  1,  1,  +15,   -,   -,   -, AAAA,   +0, 武
ゴブリンソード,           1000,  1,  1,  +15,   -,   -,   -, AAAA,   +0, 武
鋼鉄の剣,                 1000,  1,  1,  +15,   -,   -,   -, AAAA,   +0, 武
ワームスレイヤー,         1000,  1,  1,  +15,   -,   -,   -, AAAA,   +0, 武
ハルモニアの剣,           1000,  1,  1,  +15,   -,   -,   -, AAAA,   +0, 武
三日月刀,                 1000,  1,  1,  +15,   -,   -,   -, AAAA,   +0, 武
スペクターソード,         1000,  1,  1,  +15,   -,   -,   -, AAAA,   +0, 武
スプラッシャー,           1000,  1,  1,  +15,   -,   -,   -, AAAA,   +0, 武
黒曜石の剣,               1000,  1,  1,  +15,   -,   -,   -, AAAA,   +0, 武
幻獣剣,                   1000,  1,  1,  +15,   -,   -,   -, AAAA,   +0, 武
ヴォーパルソード,         1100,  1,  1,  +10,   -,   -,   -, AAAA,   +5, 武
戦斧,                     1100,  1,  1,  +10,   -,   -,   -, AAAA,   +5, 武
メイス,                   1000,  1,  1,  +15,   -,   -,   -, AAAA,   +0, 条突 <!武属性使用不能状態>
タンブラーロッド,          800,  1,  1,  +15,   -,   -,   -, AAAA,   +0, 条突 <!武属性使用不能状態>
スリッジハンマー,         1000,  1,  1,  +15,   -,   -,   -, AAAA,   +0, 条突 <!武属性使用不能状態>
スカルロッド,              800,  1,  1,  +15,   -,   -,   -, AAAA,   +0, 条突 <!武属性使用不能状態>
棍棒,                     1000,  1,  1,  +15,   -,   -,   -, AAAA,   +0, 条突 <!武属性使用不能状態>
ロングスピア,             1000,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 武
トライデント,             1000,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 武
ハルベルト,               1200,  1,  1,  +15,   -,   -,   -, AAAA,   +5, 武
ソウルセイバー,           1000,  1,  1,  +30,   -,   -,   -, AAAA,   +0, 武
時計の針,                 1000,  1,  4,   +0,  20,   -,   -, AABA,   +0, 実格
ウインクキラー,           1000,  1,  4,   +0,  20,   -,   -, AABA,   +0, 実格
剛弓,                     1000,  1,  4,   +0,  20,   -,   -, AABA,   +0, 実格
エルダーボウ,             1000,  1,  4,   +0,  20,   -,   -, AABA,   +0, 実格
大鎌,                     1100,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 武
パンチ,                   1000,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 突
パンチ<遠隔>,             1000,  1,  4,  +20,   -,   -,   -, AAAA,   +0, 実追
接触,                      900,  1,  1,  +25,   -,   -,   -, AAAA,  -10, 突
爪,                       1000,  1,  1,  +25,   -,   -,   -, AAAA,   +0, 突
爪<遠隔>,                 1000,  1,  4,  +25,   -,   -,   -, AAAA,   +0, 実追
牙,                       1000,  1,  1,  +20,   -,   -,   -, AAAA,  +10, 突
牙<遠隔>,                 1000,  1,  4,  +20,   -,   -,   -, AAAA,  +10, 実追
ハサミ,                   1000,  1,  1,  +20,   -,   -,   -, AAAA,  +10, 突
前脚,                     1100,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 突
スコップ,                 1200,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 突 <!武属性使用不能状態>
ボウガン殴り,             1900,  1,  1,  +10,   -,   -,   -, AAAA,   +0, 突後 <!武属性使用不能状態>
### 剣技
なぎ払い,                  700,  1,  1,   +5,   -,   -,   -, AAAA,  +20, 武Ｓ
二段斬り,                 1200,  1,  1,  +10,   -,  15,   -, AAAA,   +5, 武連L2
二段斬り(格闘),           1200,  1,  1,  +10,   -,  15,   -, AAAA,   +5, 突連L2
短冊斬り,                 1300,  1,  1,   +0,   -,  20, 100, AAAA,   +0, 武連L6
短冊斬り(格闘),           1300,  1,  1,   +0,   -,  20, 100, AAAA,   +0, 突連L6
みじん斬り,               1500,  1,  1,  -40,   -,  40, 105, AAAA,   +0, 武攻
空圧波,                    300,  1,  1,  -20,   -,  20,   -, AAAA,  +30, 武衰L2
十文字斬り,               1400,  1,  1,  +15,   -,  30, 105, AAAA,  +10, 武攻聖
つむじ風,                 1100,  1,  3,  +15,   -,  10,   -, AABA,   +5, 条風格 <!武属性使用不能状態>
つむじ風(格闘),           1100,  1,  3,  +15,   -,  10,   -, AABA,   +5, 風格
音速剣,                   1300,  2,  3,  -10,   -,  20, 100, AAAA,   +5, 条格 <!武属性使用不能状態>
音速剣(格闘),             1300,  2,  3,  -10,   -,  20, 100, AAAA,   +5, 格
真空斬り,                 1600,  2,  2,   +5,   -,  50, 100, AAAA,   -5, 風格Ｐ <!武属性使用不能状態>
落月破斬,                 1100,  1,  2,  -20,   1,   -,   -, AABA,   +0, 条実格永Ｐ <!武属性使用不能状態>
落月破斬(格闘),           1100,  1,  2,  -20,   -,  10,   -, AABA,   +0, 実格Ｐ
咬竜剣,                   1400,  2,  4,  -10,   1,   -,   -, AAAA,   +0, 条実追竜 <!武属性使用不能状態>
サクション,               1300,  3,  4,  -10,   -,  30, 100, AABA,  -10, 魔吸攻
スウォーム,               1100,  1,  4,   -5,   1,   -, 100, AACA,   +5, 実追Ｍ拡
カマイタチ,               1000,  2,  2,   +0,   -,  30, 100, AAAA,   +0, 実格Ｍ扇L4ＡL2
稲妻斬り,                 1300,  1,  1,  +10,   -,  15,   -, AAAA,   +5, 武攻雷Ｓ

### 大剣技
みね打ち,                  500,  1,  1,  +20,   -,   -,   -, AAAA,  +20, 条突Ｓ <!武属性使用不能状態>
巻き打ち,                 1200,  1,  1,  +20,   -,  10,   -, AAAA,   +0, 武
強撃,                     1400,  1,  1,  -20,   -,  15,   -, AAAA,  +10, 武
水鳥剣,                   1300,  1,  2,   +5,   -,  15,   -, AAAA,   +0, 武格Ｐ
無無剣,                   1500,  1,  1,  -10,   -,  30, 105, AAAA,  +10, 武
流し斬り,                 1400,  1,  1,  +10,   -,  30, 105, AAAA,  +10, 武低攻
清流剣,                   1500,  1,  1,  +10,   -,  50, 110, AAAA,  +15, 武

### 斧技
アクスボンバー,           1300,  1,  1,   +0,   -,  15,   -, AAAA,   +0, 武
トマホーク,               1100,  1,  2,  -10,   -,  10,   -, AACA,   +0, 実格Ｐ
大木断,                   1400,  1,  1,   -5,   -,  20,   -, AAAA,  -10, 武植
ブレードロール,           1500,  1,  2,  -10,   -,  35, 100, AAAA,  -10, 武格攻Ｐ

### 棍棒技
返し突き,                 1000,  1,  1,  +25,   -,   -,   -, AAAA,  -10, 条突攻 <!武属性使用不能状態>
脳天割り,                 1100,  1,  1,   +5,   -,  10,   -, AAAA,  +10, 条突眠 <!武属性使用不能状態>
骨砕き,                   1200,  1,  1,   +0,   -,  10,   -, AAAA,  +10, 突剋武L2剋突L2 <!武属性使用不能状態>
