
ロマサガ３
ブロードソード, 青銅剣
三日月刀, シミター
カムシーン, シミター
ブラッディソード, 呪剣
長剣, 剣
大剣, 大剣
マスカレイド, 振る武器 _GetWPBN(聖大剣)
マスカレイド(小剣), エストック
東方不敗, 野太刀
ツヴァイハンダー, 大剣
氷の剣, 振る武器 _GetWPBN(氷剣)
手斧, トマホーク
バイキングアクス, バイキングアクス
魔王の斧, 鉄の斧
バトルハンマー, ハンマー
ツイスター, ハンマー
生命の杖, 杖
エストック, エストック
フルーレ, レイピア
シルバーフルーレ, レイピア
レイピア, レイピア
ロングスピア, スピア
アーメントゥーム, スピア
狩人の弓, 弓矢
長弓, 弓矢
梓弓, 和弓
タックル, タックル
キック, キック
ハサミ, 甲殻鋏 赤
拳法, 打突
パンチ, 打突
### 剣技
なぎ払い, なぎ払い
亜空間斬り(攻撃), 斬撃 BeamSaber.wav
亜空間斬り(命中), ダメージ EvilEye.wav
かすみ二段(攻撃), 音再生 Swing.wav;斬撃
かすみ二段(命中), 斬撃
失礼剣, 斬撃
十文字斬り, なぎ払い;斬撃
飛水断ち(攻撃), なぎ払い
飛水断ち(命中), 魔法放射 白 小 Slash.wav
バックスタッブ(攻撃), 透明化;重力弾
バックスタッブ(命中), 超斬撃 赤 Slash.wav
五月雨斬り, 斬撃;なぎ払い;振り上げ
疾風剣(攻撃), スーパータックル 緑
疾風剣(命中), 斬撃突撃
残像剣(攻撃), 分身斬撃
残像剣(命中), 斬撃
剣閃(攻撃), 気斬 白 AntiAirMissile.wav
剣閃(命中), 気斬 白 Saber.wav
龍尾返し(攻撃), 斬撃;振り上げ
龍尾返し(命中), ダブル大斬撃
分身剣, 分身斬撃
黄龍剣(攻撃), スーパーダイブ 黄
黄龍剣(命中), スーパーダイブ 黄 Slash.wav;魔法放射 黄 赤 Explode(Far).wav
デミルーン(攻撃), 振る武器突撃 -.bmp
デミルーン(命中), 刺突;振り上げ
デミルーンエコー(攻撃), 気斬 青
デミルーンエコー(命中), 気斬 青 Saber.wav
スターバースト(準備), 粒子集中 黄
スターバースト(攻撃), 斬撃
スターバースト(命中), ビームサーベル 黄
スターストリーム(攻撃), ショックビーム 水色 Charge.wav
スターストリーム(命中), ショックビーム 水色 Explode.wav
### 大剣技
みね打ち(攻撃), 斬撃
みね打ち(命中), 打突
巻き打ち(攻撃), 斬撃
巻き打ち(命中), 大斬撃
払い抜け(攻撃), 振る武器突撃 -.bmp
払い抜け(命中), なぎ払い
地走り(攻撃), 地表衝撃波 黄
地走り(命中), オーラ上昇 緑 MultipleRocketLauncher.wav
切り落とし(攻撃), 振り下ろし Sword.wav
切り落とし(命中), 唐竹割り Saber.wav
スマッシュ(攻撃), 振り下ろし
スマッシュ(命中), 強打
逆風の太刀(攻撃), 振る武器突撃 -.bmp
逆風の太刀(命中), 大斬撃;斬撃突撃
地擦り残月(攻撃), 振る武器突撃 -.bmp Saber.wav
地擦り残月(命中), 決め画像 Common\EFFECT_Moon01.bmp Slash.wav
ブルクラッシュ(攻撃), 振り下ろし
ブルクラッシュ(命中), 超打 Explode.wav
乱れ雪月花(攻撃), 吹雪 Wind.wav
乱れ雪月花(命中), 横大斬撃 白 Saber.wav;決め画像 Common\EFFECT_Moon01.bmp Slash.wav;桜吹雪 Sword.wav
ムーランルージュ(攻撃), 中心回転武器 Weapon\EFFECT_SaintGreatSword(T)01.bmp
ムーランルージュ(命中), 回転ビームサーベル 赤
霧氷剣(攻撃), ＭＡＰフラッシュ 白 Storm.wav
霧氷剣(命中), 横大斬撃 白
### 斧技
トマホーク, トマホーク投擲
スカルクラッシュ(準備), -
スカルクラッシュ(攻撃), 斬撃
スカルクラッシュ(命中), 強打;放電
大木断(攻撃), なぎ払い
大木断(命中), 横大斬撃 Punch.wav
メガホーク(準備), トマホーク
メガホーク(攻撃), トマホーク投擲;トマホーク投擲;トマホーク投擲
メガホーク(命中), 連斬撃
ヨーヨー(攻撃), トマホーク投擲
ヨーヨー(命中), 斬撃乱舞
ハイパーハンマー(攻撃), タックル
ハイパーハンマー(命中), 強打
アクセルターン(攻撃), 振る武器突撃 -.bmp
