
### 剣技 ##########

なぎ払い,                700, 1, 1, +10,  -,   -,   -, AAAA, +10, 武Ｓ
亜空間斬り,             1100, 1, 4, +10,  -,  10,   -, AAAA, -10, 格
かすみ二段,             1200, 1, 1, +25,  -,   5,   -, AAAA,  +5, 武
失礼剣,                 1200, 1, 1,  +0,  -,  10,   -, AAAA,  +5, 接
十文字斬り,             1400, 1, 1, +20,  -,  10,   -, AAAA,  +0, 武聖
飛水断ち,               1400, 1, 1,  +5,  -,  10,   -, AAAA, +10, 武
バックスタッブ,         1400, 1, 1, -15,  -,  10,   -, AAAA, +10, 武攻痛L2Ｑ
五月雨斬り,             1500, 1, 1,  +0,  -,  25,   -, AAAA, +10, 武先
疾風剣,                 1600, 1, 1, +20,  -,  20,   -, AAAA,  +0, 武
残像剣,                 1600, 1, 2, +20,  -,  20, 130, AAAA,  -5, 武格Ｐ
剣閃,                   1600, 1, 3, -10,  -,  25,   -, AACA,  +0, 格
龍尾返し,               1800, 1, 1,  +0,  -,  35,   -, AAAA, +15, 武連L2
分身剣,                 1900, 1, 1,  +0,  -,  30, 130, AAAA,  +0, 武連L6
黄龍剣,                 2200, 1, 1, +10,  -,  60, 120, AAAA, +20, 武

デミルーン,             1500, 1, 1, -15,  -,  10, 100, AAAA, +20, 武
デミルーンエコー,       1700, 1, 3, -10,  -,  25, 100, AABA, +10, 格

スターバースト,         1600, 1, 1, -20,  -,  25,   -, AAAA, +10, 武
スターストリーム,       1600, 1, 4, -10,  -,  40, 110, AACA, -15, 格冷雷ＡL2

### 大剣技 ########

みね打ち,                800, 1, 1, +20,  -,   -,   -, AAAA, +10, 突Ｓ
巻き打ち,               1300, 1, 1, +20,  -,   5,   -, AAAA,  +0, 武
払い抜け,               1400, 1, 1,  +5,  -,  10,   -, AAAA, +10, 武
地走り,                 1500, 1, 3, -10,  -,  15,   -, -AB-, -10, 格
切り落とし,             1600, 1, 1,  +5,  -,  20,   -, AAAA,  +5, 武反
スマッシュ,             1800, 1, 1, -15,  -,  40,   -, AAAA,  +0, 武
逆風の太刀,             1900, 1, 1, +15,  -,  40, 110, AAAA,  +0, 武
地擦り残月,             2100, 1, 1,  -5,  -,  55, 125, AAAA, +10, 武
ブルクラッシュ,         2200, 1, 1, -25,  -,  75, 120, AAAA,  +0, 武
乱れ雪月花,             2500, 1, 1, +10,  -,  70, 130, AAAA, +10, 武

ムーランルージュ,       1600, 1, 1, +20,  -,  20,   -, AAAA, +15, 武

霧氷剣,                 1700, 1, 2, +10,  -,  85, 120, AA-A, +10, 格武冷Ｍ全

### 斧技 ##########

トマホーク,              900, 1, 2, -10,  -,   5,   -, AACA,  +0, 実格
大木断,                 1300, 1, 1,  -5,  -,   5,   -, AAAA, -10, 武
スカルクラッシュ,       1300, 1, 1, +15,  -,  10,   -, AAAA, +10, 武低攻
メガホーク,             1300, 1, 3, -10,  -,  20,   -, AACA,  +0, 実格
ヨーヨー,               1500, 1, 2, -25,  -,  10, 115, AACA, +10, 実格連L6Ｐ
ハイパーハンマー,       1600, 1, 1, -10,  -,  25,   -, AAAA,  +0, 突Ｓ
アクセルターン,         1700, 1, 1,  +5,  -,  25,   -, AAAA, +10, 武
ブレードロール,         1700, 1, 2, -10,  -,  35,   -, AAAA, -10, 武格Ｐ
スカイドライブ,         1800, 1, 3, +10,  -,  35, 120, AACA, +15, 実格
次元断,                 1900, 1, 2, -15,  -,  40, 120, AAAA,  +0, 格殺
マキ割ダイナミック,     2000, 1, 1, -20,  -,  45, 100, AAAA,  +0, 武
デッドリースピン,       2100, 1, 1,  +0,  -,  65, 120, AAAA, +10, 武

ジンギスカン,           1400, 1, 1, +15,  -,  10,   -, AAAA,  +0, 武

オービットボーラ,       1800, 1, 1,  +5,  -,  40, 110, AAAA,  +0, 武複
ファイナルストライク,   2200, 1, 3, +15,  1,  40, 130, AAAA,  +0, 格尽気L2

### 棍棒技 ########

脳天割り,                700, 1, 1,  +5,  -,   -,   -, AAAA,  +0, 突Ｓ
エアロビート,            900, 1, 3, -10,  -,   5,   -, AACA,  +0, 格
回転撃,                 1000, 1, 1, +30,  -,   -,   -, AAAA,  +0, 突
ハードヒット,           1200, 1, 1,  -5,  -,   -,   -, AAAA,  +5, 突
ジャストミート,         1200, 1, 1, +10,  -,   -,   -, AAAA,  +5, 突反
骨砕き,                 1400, 1, 1,  +0,  -,  10,   -, AAAA,  +0, 突
活殺重力破,             1600, 1, 1, -10,  -,  25, 105, AAAA, +20, 突低運
大震撃,                 1600, 1, 3, -10,  -,  30,   -, -AC-,  +0, 格
削岩撃,                 1700, 1, 1,  +0,  -,  30, 110, AAAA, +10, 突
かめごうら割り,         1700, 1, 1,  +0,  -,  40, 110, AAAA, +30, 突低防
グランドスラム,         1800, 2, 3, -15,  -,  60, 125, -AC-,  +0, 格ＣＭ投L1

パワーヒール,                回復Lv2, 1,  -,  10,   -, -

### 小剣技 ########

フェイント,                0, 1, 2, +10,  -,   -,   -, AAAA, +15, 不Ｐ
インプリズン,              0, 1, 1, +20,  -,  10,   -, AAAA,  +5, 突痺L1
マインドステア,            0, 1, 1, +20,  -,  15,   -, AAAA,  +5, 突乱
アクセルスナイパー,     1400, 1, 1, +20,  -,  10,   -, AAAA, +20, 武
スネークショット,       1400, 1, 2,  +0,  -,  15,   -, AAAA, +10, 格Ｐ
ライトニングピアス,     1500, 1, 1, +20,  -,  15, 100, AAAA, +10, 武雷
ファイアクラッカー,     1500, 1, 2, +15,  -,  20,   -, AAAA, +10, 武格Ｐ
サザンクロス,           1700, 1, 1, +15,  -,  25, 110, AAAA,  +0, 武聖
ファイナルレター,       1800, 1, 1, +20,  -,  50, 120, AAAA, +20, 武痛L3
スクリュードライバー,   1900, 1, 1, -10,  -,  40, 120, AAAA, +10, 武

ウェアバスター,         1200, 1, 1,  +0,  -,   5,   -, AAAA, +10, 武獣

蛇剣,                   1300, 1, 3, -10,  -,  20,   -, AAAA,  +0, 格
居合い抜き,             1500, 1, 1, +20,  1,   -, 100, AAAA, +10, 武共L10
