
ロディ＝ラグナイト
###通常###
サバイバルナイフ, ナイフ
###アーム###
ハンディキャノン, バズーカ _GetWPBN(フリントロック銃) 32
プリズムレーザー(準備), ショットガン
プリズムレーザー(攻撃), ビームショットガン 赤 _GetWPBN(ショットガン) 40 LaserGun.wav
プリズムレーザー(攻撃), ビームショットガン 青 _GetWPBN(ショットガン) 40 LaserGun.wav
プリズムレーザー(攻撃), ビームショットガン 黄 _GetWPBN(ショットガン) 40 LaserGun.wav
プリズムレーザー(攻撃), ビームショットガン 緑 _GetWPBN(ショットガン) 40 LaserGun.wav
プリズムレーザー(攻撃), ビームショットガン 桃 _GetWPBN(ショットガン) 40 LaserGun.wav
プリズムレーザー(攻撃), ビームショットガン 紫 _GetWPBN(ショットガン) 40 LaserGun.wav
プリズムレーザー(攻撃), ビームショットガン 白 _GetWPBN(ショットガン) 40 LaserGun.wav
プリズムレーザー(命中), 連続爆発
ＡＢＭランチャー(準備), ミサイルランチャー
ＡＢＭランチャー(攻撃), 手持ち発射 _GetWPBN(ミサイルランチャー) 32 対象ユニットＩＤ _GetWPBN(小型ミサイル連射) 32 MultipleRocketLauncher.wav
ＡＢＭランチャー(命中), 連続爆発 6
ツインデバイス(攻撃), ２ＷＡＹ射出
ツインデバイス(命中), 点打 青 Explode(Small).wav;点打 青 Explode(Small).wav
ツインデバイス(クリティカル), @戦闘アニメ_点乱打命中 青 Explode(Small).wav
ナパームフレア(準備), バズーカ
ナパームフレア(攻撃), 打ち下ろし手持ち発射 _GetWPBN(バズーカ) 40 _GetWPBN(大キャノン砲) 32 Cannon.wav
ナパームフレア(命中), オーラ 赤 Explode(Far).wav;連続爆発
バニシングレイ, バスタービームライフル 白
ワイルドバンチ(攻撃), スーパータックル 赤
ワイルドバンチ(命中), スーパータックル 赤 Crash.wav
アークスマッシャー(準備), ビームランチャー(２)
アークスマッシャー(攻撃), 打ち下ろし手持ち発射 _GetWPBN(ビームランチャー) 40 _GetWPBN(ＳＴＧ弾３(青)) 32 Whiz.wav
アークスマッシャー(命中), オーラ 青 Explode(Far).wav;連続大爆発

ザック＝ヴァン＝ブレイス
###通常###
ノーザンブレード, 斬撃武器 _GetWPBN(日本刀(２)) 32
###早撃ち###
サイコクラック(準備), 発光 黄
サイコクラック(攻撃), 斬撃
サイコクラック(命中), 斬撃;光噴出 水色
ソニックバスター(攻撃), 斬撃;実弾発射 _GetWPBN(波動放射(黄)) 48 速 Whiz.wav
ソニックバスター(命中), ダメージ 黄 Slash.wav
メテオドライブ(準備), 発光 黄
メテオドライブ(攻撃), @戦闘アニメ_粒子集中準備 赤;ディレイ 5;急降下
メテオドライブ(命中), 急降下 赤
トリックスター(準備), 発光 黄
トリックスター(攻撃), 斬撃
