
ＷＡ
サバイバルナイフ(命中), 1;Swing.wav;Slash.wav
プリズムレーザー, LaserGun.wav
ハンディキャノン, Cannon.wav
ハンディキャノン(命中), Explode.wav
ツインデバイス, 1;Saber.wav;4;Saber.wav;1;Saber.wav;1;Saber.wav
ツインデバイス(命中), 3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav
ツインデバイス(クリティカル), 3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;_
　　　　　　　　　　　　　　　3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;_
　　　　　　　　　　　　　　　3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;_
　　　　　　　　　　　　　　　3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;_
　　　　　　　　　　　　　　　3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav
ナパームフレア, 8;Bazooka.wav;Fire.wav
ＡＢＭランチャー, MultipleRocketLauncher.wav
ＡＢＭランチャー(命中), Explode.wav
バニシングレイ, Beam.wav
バニシングレイ(命中), Explode.wav
ワイルドバンチ, 10;Drill.wav;Saber.wav
ワイルドバンチ(命中), Slash.wav
アークスマッシャー, 15;Warship.wav;Shock(Low).wav
シャドウバインド, Whiz.wav
シャドウバインド(命中), Whip.wav
ソウルブレイカー(命中), Crash.wav
ソニックバスター, Saber.wav
ソニックバスター(命中), Slash.wav
ノーザンブレード(命中), 1;Swing.wav;Slash.wav
サイコクラック(命中), 1;Swing.wav;Slash.wav
ブレードギルティ, 10;Saber.wav;Explode.wav
スラッシュレイヴ(命中), 1;Swing.wav;5;Slash.wav;5;Slash.wav
スラッシュレイヴ(クリティカル), 5;Slash.wav;5;Slash.wav;5;Slash.wav;5;Slash.wav;5;Slash.wav;5;Slash.wav;5;Slash.wav;5;Slash.wav
メテオドライブ(命中), 1;Swing.wav;Slash.wav
インフィニティノヴァ, Whiz.wav
インフィニティノヴァ(命中), Explode.wav
マグナムファング(命中), 1;Swing.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav
エースインザフォール(命中), 1;Swing.wav;Slash.wav
アクセラレイター, Flair.wav
メイジスタッフ(命中), 1;Swing.wav;Punch.wav
#プリズン(クリティカル), Glass.wav
フリーズ, Whiz.wav
#フリーズ(クリティカル), Glass.wav
ヴォルテック, Storm.wav
スパーク, Thunder.wav
フレイム, Fire.wav
ブレイク, 6;FastGun.wav;Explode.wav
レインボウ, Beam.wav
セイント, Beam.wav
格闘(命中), Punch.wav
