
ＷＡＭ
閃拳列破鉄火拳(命中), Combo.wav
１６ｔ, Crash.wav
禁じられた遊び(命中), Uniton.wav
やるせないニャ～, Cat.wav
ヒュプノタイザー, Whiz.wav
メランコリックレイ, Beam.wav
パラライズガス, AntiShipMissile.wav
アスフィクシエイション, AntiShipMissile.wav
スティンククラウド, AntiShipMissile.wav
グラスブロウワー, LaserGun.wav
ダイレクトヴォイス, LaserGun.wav
リフリジレイト(命中), Glass.wav
プレッシャー(命中), Bubble.wav
アクア(命中), Bubble.wav
レイヴン, Swing.wav
レイヴン(命中), Stab.wav
ねこじゃらし(命中), Saber.wav
スカイツイスター(命中), Saber.wav
フレイム, Whiz.wav
フレイム(命中), Fire.wav
ブレイク(命中), 1;BreakOff.wav;1;BreakOff.wav;BreakOff.wav
アークティックランス, Beam.wav
アークティックランス(命中), Glass.wav
カロリックスフィア, Cannon.wav
カロリックスフィア(命中), Fire.wav
コキュートス, 8;Wind.wav;Sword.wav
コキュートス(命中), Glass.wav
ヴォルカノントラップ, 3;Cannon.wav;Explode(Far).wav
ヴォルカノントラップ(命中), Fire.wav
ウィンドエッジ(命中), Saber.wav
ストームブレード(命中), 1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
カレントスパーク(命中), Thunder.wav
タイダルウェイブ, Splash.wav
メイルシュトローム, Splash.wav
カロリックノヴァ, Cannon.wav
カロリックノヴァ(命中), Fire.wav
プラネットダスト(命中), Shock(Low).wav
クラックトレマー(命中), BreakOff.wav
ロックゲイザー(命中), Shock(Low).wav
スクリーミングマッド(命中), Fold.wav
ファントムハザード(命中), Fold.wav
バブルプリンセス, Bubble.wav
発禁呪文！？, AntiAirMissile.wav
無修正呪文！？, Charge(Long).wav
（＠□＠）ゞ, LaserGun.wav
体力泥棒, Beamshot.wav
体力泥棒(命中), Beamshot.wav
アルカンシエル, Interference.wav
アルカンシエル(命中), Inori.wav
アゴニーアフェクト(命中), Drill.wav
ブフォオオオオオ！, AntiAirMissile.wav
大々災害大々混乱, AntiAirMissile.wav
インパクトボマー, Explode.wav
木っ端微塵(命中), 2;Swing.wav;Crash.wav
アイシクルエンド, Storm.wav
アイシクルエンド(命中), Glass.wav
レイジハンマー, 4;Charge.wav;Thunder.wav
ブラックノヴァ, Explode.wav
オーラボンバー, Explode.wav
ヴォルカニックボム, Breath.wav
ヴォルカニックボム(命中), Fire.wav
The7thMoon, 4;BeamSaber.wav;AntiAirMissile.wav
The7thMoon(命中), Shock(Low).wav
一兆℃, 4;Charge.wav;Breath.wav
一兆℃(命中), Breath.wav
セラフィムゴート, Sharara.wav
ギィ・マキシマム, 5;Hittyuu.wav;Shower.wav
ゴールデンハンマー(命中), 2;Swing.wav;Uniton.wav
ラッキーシュート, LaserGun.wav
ソニックスクラッチ(命中), 2;Swing.wav;Saber.wav
エイミング(命中), Saber.wav
コズミックレイ, LaserGun.wav
ブランザチップ(命中), 2;Swing.wav;1;BreakOff.wav;1;BreakOff.wav;BreakOff.wav
アローフラッシュ, Beam.wav
エネルギーボール, Whiz.wav
エネルギーボール(命中), Punch.wav
シュートアイテム, 2;Whiz.wav;2;Whiz.wav;Whiz.wav
シュートアイテム(命中), Punch.wav
マグナライズ, 4;BeamSaber.wav;Bow.wav
マグナライズ(命中), Saber.wav
アイスビーム, Beam.wav
モレキュラーブレイク, Interference.wav
メテオスウォーム, 1;Bomb.wav;1;Bomb.wav;Bomb.wav
メテオスウォーム(命中), Explode(Far).wav
オペレーションメテオ, Explode(Far).wav
オペレーションメテオ(命中), Explode.wav
マグネトロンボム, Shock(Low).wav
プラネットブレイカー, 4;Shock(Low).wav;1;Shock(Low).wav;1;Shock(Low).wav;Shock(Low).wav
ソルデリーター, LaserGun.wav
アウゴエイデス, LaserGun.wav
アサルトタイド, SeaShore.wav
アサルトタイド(命中), Splush.wav
アイスコフィン, Storm.wav
アイスコフィン(命中), Glass.wav
ヴェイパーブラスト, 4;Charge.wav;Explode(Far).wav
ヴェイパーブラスト(命中), Fire.wav
テラファウスト, Explode(Far).wav
テラファウスト(命中), Explode.wav
ファンタズムハート, 4;Charge.wav;Explode(Far).wav
ファンタズムハート(命中), Explode.wav
アイスビーム(クリティカル), Glass.wav
ギィ・マキシマム(クリティカル), Inori.wav
セラフィムゴート(クリティカル), Inori.wav
ムーブキャンセラー(クリティカル), BreakOff.wav
アルカナ１３(クリティカル), Inori.wav
大々災害大々混乱(クリティカル), PiyoPiyo.wav
バブルプリンセス(クリティカル), PiyoPiyo.wav
ブフォオオオオオ！(クリティカル), Bubble.wav
人体実験(クリティカル), PiyoPiyo.wav
リフリジレイト(クリティカル), 1;Glass.wav;1;Glass.wav;Glass.wav
カピラリアレイ(クリティカル), Bubble.wav
スティンククラウド(クリティカル), Bubble.wav
地殻汚染(クリティカル), Bubble.wav
メランコリックレイ(クリティカル), PiyoPiyo.wav
ペトロタッチ(クリティカル), Inori.wav
スリープ(クリティカル), Bubble.wav
ヒュプノタイザー(クリティカル), Bubble.wav
ディセラレイト(クリティカル), BreakOff.wav
禁じられた遊び(クリティカル), Bubble.wav
トキシックブレス(クリティカル), Bubble.wav
やるせないニャ～(クリティカル), PiyoPiyo.wav
魔力封印(クリティカル), PowerDown.wav
危険物質６６６(クリティカル), Inori.wav
エジェクト(クリティカル), BeamShot.wav
毒電波(クリティカル), Bubble.wav
スランバーフォッグ(クリティカル), Bubble.wav
ダイレクトヴォイス(クリティカル), 5;Flair.wav;Flair.wav
パラライズガス(クリティカル), Bubble.wav
ひかりごけ(クリティカル), 5;Flair.wav;Flair.wav
グラスブロウワー(クリティカル), Glass.wav
グレートブースター, Drill.wav
クリティカルヒール, Sharara.wav
フルリペア, Sharara.wav
セイクリッドブラッド, Sharara.wav
ライブホーン, Sharara.wav

