
ＷＡ２
フォトスフィア, 10;Cannon.wav;Glass.wav
スローナイフ, Swing.wav
スローナイフ(命中), Stab.wav
マルチブラスト, 10;Rifle.wav;FastGun.wav
マルチブラスト(命中), Explode.wav
銃剣(命中), 1;Swing.wav;Stab.wav
ショットウェポン, Rifle.wav
ブラスターギルティー, 10;Rifle.wav;Shock(Low).wav
ショックスライダー, 4;Rifle.wav;Whiz.wav
ショックスライダー(命中), Explode.wav
ボルトファニング(命中), 1;Swing.wav;10;Slash.wav;5;Rifle.wav;Explode.wav
デッドオアアライブ, Rifle.wav
デッドオアアライブ(命中), 1;Swing.wav;5;Slash.wav;Crash.wav
ファントムファング, Missile.wav
ファントムファング(命中), Explode.wav
ライジングノヴァ(命中), 10;Slash.wav;5;Rifle.wav;Explode.wav
アクセラレイター, Flair.wav
格闘(命中), Punch.wav
ナイトフェンサー, -.wav
ナイトフェンサー(命中), 1;Swing.wav;Slash.wav
魔剣ルシエド, -.wav
魔剣ルシエド(命中), 1;Swing.wav;1;Slash.wav;Slash.wav
ガンブレイズ, Cannon.wav
ガンブレイズ(命中), Explode.wav
バニシングバスター, 8;Charge.wav;Beam.wav
バニシングバスター(命中), Explode(Far).wav
ファイナルバースト, 10;Charge(long).wav;AntiAirMissile.wav
ファイナルバースト(命中), Explode(Nuclear).wav
アガートラーム(命中), 1;Swing.wav;Slash.wav
アークインパルス, Beam.wav
アークインパルス(命中), Explode.wav
クラッカーレイブ, 8;Swing.wav;Explode.wav
パルスクラスター, 8;Swing.wav;Explode.wav
マイトグローブ(命中), Punch.wav
リボルバーキャノン, Cannon.wav
リボルバーキャノン(命中), Explode.wav
マルドゥークゲイズ, AntiAirMissile.wav
マルドゥークゲイズ(命中), Explode.wav
ＥＺミサイルマイト, 10;Bazooka.wav;Shock(Low).wav
スカッドランチャー, Cannon.wav
スカッドランチャー(命中), Explode.wav
ＡＢＭプレデター, MultipleRocketLauncher.wav
ＡＢＭプレデター(命中), Explode.wav
リニアレールキャノン, 5;Thunder.wav;Beam.wav
リニアレールキャノン(命中), Explode.wav
パラソル(命中), 1;Swing.wav;Punch.wav
フリーズ, Whiz.wav
#フリーズ(クリティカル), Glass.wav
アクア, Bubble.wav
ヴォルテック, Storm.wav
スパーク, Thunder.wav
フレイム, 3;Whiz.wav;3;Whiz.wav;Whiz.wav
ブレイク, 3;Swing.wav;3;Swing.wav;Swing.wav
ブレイク(命中), 3;Explode.wav;3;Explode.wav;Explode.wav
ハイ・フリーズ, Whiz.wav
#ハイ・フリーズ(クリティカル), Glass.wav
ハイ・アクア, Splash.wav
ハイ・ヴォルテック, Storm.wav
ハイ・スパーク, 8;Thunder.wav;Explode.wav
ハイ・フレイム, Fire.wav
ハイ・ブレイク, Bazooka.wav
アカシックリライター, Explode(Far).wav
スタッフ(命中), 1;Swing.wav;Punch.wav
ガーディアンロア, Whiz.wav
ジャッジメントディ, Hide.wav
ブレイブランサー, 5;Charge.wav;Explode.wav
コンバイン, Explode(Far).wav
ハイコンバイン, Explode(Nuclear).wav
ショートソード(命中), 1;Swing.wav;Slash.wav
ワイヤーナックル, Missile.wav
ワイヤーナックル(命中), Slash.wav
レフトアームエッジ, 2;Swing.wav;Swing.wav
レフトアームエッジ(命中), 1;Swing.wav;Slash.wav
パイクスラスター, Saber.wav
パイクスラスター(命中), Stab.wav
メテオドライブ(命中), 1;Swing.wav;5;Slash.wav;Shock(Low).wav
スパイラルエッジ(命中), 1;Swing.wav;3;Slash.wav;Slash.wav
