
ＷＡ３
キック(命中), Punch.wav
プリックリィピアＥＺ, Gun.wav
バントライン９３Ｒ, Gun.wav
二挺拳銃, 1;Gun.wav;Gun.wav
ガトリング, 1;Gun.wav;1;Gun.wav;1;Gun.wav;1;Gun.wav;1;Gun.wav;1;Gun.wav;1;Gun.wav;1;Gun.wav;1;Gun.wav;Gun.wav
リボルバーグリップ(命中), Punch.wav
アガートラームＢ／Ｖ２, MachineCannon.wav
アクセラレイター, 3;Flair.wav;MachineCannon.wav
銃床(命中), 1;Swing.wav;Punch.wav
ガングニールＨＡＧ３５, 4;Reload.wav;Rifle.wav
パンチ(命中), Punch.wav
コヨーテＭ１７Ｆ俺式改, Cannon.wav
アルカナ, Whiz.wav
フォトスフィア, 10;Cannon.wav;Glass.wav
アンカー, Bow.wav
アンカー(命中), Crash.wav
主砲, Warship.wav
ドラゴニックアタック(命中), Crash.wav
生体ミサイル, MultipleRocketLauncher.wav
ミサイルマイト, MultipleRocketLauncher.wav
ドラゴニックガンブラスター, 8;Chrage.wav;5;Thunder.wav;Beam.wav
撹乱弾, Gun.wav
#撹乱弾(クリティカル), Hide.wav
リボルバー, Gun.wav
バンテージレイジＭＭ, Gun.wav
ＡＷ－ＲＳＴＮ８７, 4;Reload.wav;MachineGun.wav
カラミティジェーン(命中), 3;Gun.wav;5;Gun.wav;5;Punch.wav;5;Cannon.wav;4;Reload.wav;6;MachineGun.wav;5;Warship.wav;Explode(Far).wav
ファフニールホーン, 8;Chrage.wav;LaserGun.wav
ステッキ(命中), 1;Swing.wav;Punch.wav
発禁呪文！？, Explode.wav
極大魔法, Explode(Far).wav
イレイザー, Whiz.wav
#イレイザー(クリティカル), Hide.wav
パイクスラスター(命中), 1;Swing.wav;2;Punch.wav;2;Punch.wav;Punch.wav
ファランクス(命中), 1;Swing.wav;1;Punch.wav;3;Punch.wav;1;Punch.wav;1;Punch.wav;Crash.wav
ビートイングラム(命中), 1;Swing.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;Crash.wav
煙幕, Swing.wav
煙幕(クリティカル), Hide.wav
自家製発破, 5;Swing.wav;Explode.wav
ワイルドバンチ, 5;Swing.wav;5;Saber.wav;5;Fire.wav;Explode(Far).wav
ブラックフェンリル(命中), 1;Swing.wav;Slash.wav
サイコクラック(命中), 1;Swing.wav;Slash.wav
メテオドライブ(命中), 1;Swing.wav;Slash.wav
ひっかき(命中), 1;Swing.wav;Slash.wav
ブリザードブレス, 5;Whiz.wav;Glass.wav
ベイキングブレス, Fire.wav
ヘレティックスタッブ(命中), 1;Swing.wav;Stab.wav
スナイパーシャークＸＲ(命中), Combo.wav
マルチブラスト, 10;Rifle.wav;FastGun.wav
マルチブラスト(命中), Explode.wav
ライジングノヴァ(命中), 10;Slash.wav;5;Rifle.wav;Explode.wav
トリニティ(命中), -.wav
アヴェンジャートリニティ(命中), 3;Crash.wav;3;Crash.wav;3;Crash.wav;3;Crash.wav;Explode(Far).wav
魔槍グラムザンバー(命中), 1;Swing.wav;Slash.wav
プロトンビーム, Beam.wav
ネガティブレインボウ, 1;Beam.wav;1;Beam.wav;Beam.wav
極大ネガティブレインボウ, 8;Charge.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;Beam.wav
苦無(命中), 1;Swing.wav;Slash.wav
飛苦無, 1;Swing.wav;Swing.wav
飛苦無(命中), 1;Stab.wav;Stab.wav
ヒップアタック(命中), Punch.wav
ギリウスＴＨ１２／２３, Gun.wav
エリミネイトスキャナー, LaserGun.wav
ルールオブヴェンジェンス, LaserGun.wav
カオスディメンション, LaserGun.wav
ディスオーダー, LaserGun.wav
#ディスオーダー(クリティカル), Hide.wav
アニヒレイター, LaserGun.wav
ヴェノムストライク, LaserGun.wav
#ヴェノムストライク(クリティカル), Hide.wav
アイアンフィスト(命中), Punch.wav
バリアナックル(命中), Crash.wav
バリアストーム, LaserGun.wav
スプレッドバリア, LaserGun.wav
バリアフラッド, 5;Crash.wav;Explode(Far).wav
ウィザードリィブランド(命中), 1;Swing.wav;Slash.wav
サイズウィーゼル(命中), 1;Swing.wav;Slash.wav
#サイズウィーゼル(クリティカル), Whip.wav
ブラスティザッパー, 3;Saber.wav;Whiz.wav
デスブリンガー(命中), 1;Swing.wav;Slash.wav
ホルダ・アヴェスタ, Explode.wav
グラムザンバー・ネメシス(命中), 1;Swing.wav;Slash.wav
ジークインパルス, 5;Thunder.wav;Explode.wav
ドラグナーホーン, 5;Thunder.wav;LaserGun.wav
ダークマター, Beam.wav
ナイトメア, Whiz.wav
ナイトメア(命中), 5;Hide.wav;Crash.wav
カウントカウンター, LaserGun.wav
トランキーライザー, LaserGun.wav
#トランキーライザー(クリティカル), Whip.wav
