
汎用
回避(解説)(対双截銃騎(当て身)), $(相手ユニット)はガウンの銃撃を回避したが、攻撃行動の機会を失ったッ！

ＷＡ４
緊急テレポート(絶対の彼方)(解説), ヒューゴは時間を圧縮し、攻撃範囲から離脱したッ！
当て身技(闇に囁く声)(解説), エニルは$(相手ユニット)の虚像を纏っているッ！:.$(相手武器)で$(相手ユニット)の虚像が砕かれたッ！:.そのダメージは$(相手ユニット)自身へと返るッ！
自動反撃(エネルギー過剰)(解説), 過剰なエネルギーが炎となって.アウグストの体から噴出するッ！
当て身技(双截銃騎(当て身))(解説), 立ちはだかるガウンは、その行動を許さないッ！
双截銃騎(当て身)(命中)(解説), ガウンは銃撃で$(相手ユニット)の攻撃行動を阻止したッ！
当て身技(鉄壁の構え)(解説), 鉄壁の構えがあらゆる物理攻撃を無効化するッ！:.ファルメルはブリンクショットで反撃を仕掛けたッ！
当て身技(衝壁の構え)(解説), 衝壁の構えがあらゆる魔力攻撃を無効化するッ！:.サプライズドハートで反撃を仕掛けたッ！
当て身技(無明の構え)(解説), 無明の構えがあらゆる攻撃を無効化するッ！:.ファルメルはファイネストアーツで必殺の反撃を仕掛けたッ！
