#ヴァリアブルジオ・アニメーションデータ#

#現時点のアニメーションで再現不能な技は、代用か指定なしになってます。
#(格ゲー系は、特にアニメーションでは限界な部分が多いようです)

#なお、パイロットダイアログにエフェクトが積まれている物は指定なしです。


##一部微修正：８月５日
#１、誤作動アニメーションを修正。一部、追加。

ＶＧ選手
韋駄天足(攻撃), タックル
韋駄天足(命中), 強打
蒼龍撃(攻撃), アッパー
蒼龍撃(命中), アッパー
気吼弾(攻撃), 気弾
気吼弾(命中), 爆発
気吼連弾(攻撃), 気弾;気弾;気弾
気吼連弾(命中), 連続爆発
疾風韋駄天足(攻撃), タックル
疾風韋駄天足(命中), 強打
究極気吼弾(攻撃), 大ビーム 白
究極気吼弾(命中), 大ビーム 白 ;乱打
真・蒼龍撃(攻撃), アッパー
真・蒼龍撃(命中), アッパー
鬼龍韋駄天撃(攻撃), 気弾
鬼龍韋駄天撃(命中), 爆発;タックル; タックル; タックル;アッパー Combo.wav
ポコポコ乱れ打ち(攻撃), タックル
ポコポコ乱れ打ち(命中), 連打
超気吼弾(攻撃), 気弾
超気吼弾(命中), 連続爆発
空旋脚(攻撃), タックル
空旋脚(命中), 連打
スーパー蒼龍撃(攻撃), アッパー
スーパー蒼龍撃(命中), アッパー
ハイパー空旋脚(攻撃), タックル
ハイパー空旋脚(命中), 連打
ライトニングクラッシュ(攻撃), 大ビーム イエロー
ライトニングクラッシュ(命中), 大ビーム イエロー
地這足槍(攻撃), タックル
地這足槍(命中), 強打
紫閃剣(準備), -
紫閃剣(攻撃), 矢
紫閃剣(命中), 矢
飯綱落とし(攻撃), -
飯綱落とし(命中), 投げ飛ばし
飛燕撃(攻撃), スーパータックル ホワイト
飛燕撃(命中), 強打
魎爆(攻撃), 小ビーム
魎爆(命中), 爆発
紫閃裂破(攻撃), 矢連射
紫閃裂破(命中), 矢連射
裂空飛燕撃(攻撃), スーパータックル ホワイト
裂空飛燕撃(命中), スーパータックル ホワイト
真・空牙斬(攻撃), 急降下
真・空牙斬(命中), 急降下
大車輪投げ(攻撃), タックル
大車輪投げ(命中), 投げ飛ばし
真空唐竹割り(攻撃), 振り上げ;急降下
真空唐竹割り(命中), 唐竹割り
火焔斬(攻撃), アッパー
火焔斬(命中), アッパー;炎
翔炎脚(攻撃), 振り下ろし
翔炎脚(命中), 強打;炎
裏式真空唐竹割り(攻撃), 振り上げ;急降下
裏式真空唐竹割り(命中), 唐竹割り
昇龍火焔斬(攻撃), アッパー
昇龍火焔斬(命中), 連打;炎
獄炎踵(攻撃), 振り下ろし
獄炎踵(命中), 強打;炎
必殺旭神拳(攻撃), スーパータックル レッド
必殺旭神拳(命中), -
ギロチンスロー(攻撃), タックル
ギロチンスロー(命中), ブレーンバスター
バーニンローズ(攻撃), 気弾 レッド
バーニンローズ(命中), 爆発
ローズスティンガー(攻撃), スーパータックル レッド
ローズスティンガー(命中), スーパータックル レッド
ハリケーンローズ(攻撃), アッパー
ハリケーンローズ(命中), アッパー
ブラッディローズ(攻撃), 気弾 レッド
ブラッディローズ(命中), 爆発
カオスハリケーン(攻撃), アッパー
カオスハリケーン(命中), アッパー
デススティンガー(攻撃), スーパータックル レッド
デススティンガー(命中), スーパータックル レッド
グリフォンネイル(攻撃), スーパータックル レッド
グリフォンネイル(命中), 超打;スクリュードライバー
蹴撃(攻撃), キック
蹴撃(命中), キック
裂尖蹴(攻撃), なぎ払い;気弾
裂尖蹴(命中), 強打
螺旋蹴り(攻撃), スピンアタック
螺旋蹴り(命中), スピンアタック
竜連腿(攻撃), タックル
竜連腿(命中), 連打
燕剣斧, タックル
燕剣斧(命中), 強打
