
ダークストーカー
デビルストライク, 打突
バットスピン, スーパーキック
カオスフレア(攻撃), キャノン砲
カオスフレア(命中), 炎 赤
ネガティブストーン(命中), スクリューバックドライバー
ダークサイドマスター(攻撃), ２ＷＡＹ射出
ダークサイドマスター(命中), 炎 赤
デモンクレイドル(攻撃), アッパー
デモンクレイドル(命中), 斬撃乱舞
デモンビリオン, ベアリング
ミッドナイトブリス(攻撃), バラ吹雪 Storm.wav
ミッドナイトブリス(命中), 吸収 赤
ミッドナイトプレジャー(攻撃), -
ミッドナイトプレジャー(命中), 噛み付き;噛み付き;噛み付き;連打;吸収 赤
ミリオンフリッカー(攻撃), 白兵乱撃
ミリオンフリッカー(命中), 乱打
クライムレイザー, アッパー
ワイルドサーキュラー, 地獄車
ビーストキャノン, スーパータックル 白
ドラゴンキャノン, 火炎放射 赤
モーメントスライス(命中), 3;刺突;アッパー Slash.wav
モーメントスライス(とどめ), 縦分割
ミラージュボディ, 分身 BeamSaber.wav ミラージュボディ
メガフォーリッド, ヘッドバット
ギガバーン, アッパー
ジャイロクラッシュ(攻撃), 打突
ジャイロクラッシュ(命中), 打撃;放電
メガステイク(攻撃), 打突
メガステイク(命中), 打撃;放電
メガショック(命中), 立ち固め;放電
グラビトンナックル(攻撃), デフォルト
グラビトンナックル(命中), 投げ飛ばし
メガスパイク(準備), -
メガスパイク(命中), アッパー;投げ飛ばし
サンダーブレイク, 怪光線
グレートゲルデンハイム, ジャイアントスイング
ゲルデンハイム３(命中), 放電;放電;放電
スカルパニッシュ(命中), 踏み潰し Stab.wav
デスハリケーン(攻撃), 風 対象ユニットＩＤ Thunder.wav
デスハリケーン(命中), 斬撃
デスフレーズ(準備), ギター
デスフレーズ(攻撃), 音波
デスフレーズ(命中), 打撃
ヘルダンク(命中), 投げ飛ばし
イービルスクリーム(攻撃), 刺突
イービルスクリーム(命中), 刺突;斬り上げ
デスボルテージ(攻撃), 強風 対象ユニットＩＤ Thunder.wav
デスボルテージ(命中), 放電
ヘルチェインソー, チェーンソー
スカルスティング, チェーンソー
アルティミットソー, チェーンソー
アルティミットエンド, チェーンソー
アルティミットリベンジ, チェーンソー
変形(ザベル＝ザロック=>ザベル＝ザロック(ＤＦ)), 落雷
スプラッシュリビドー, 乱突
シェルキック(攻撃), キック
シェルキック(命中), 乱打
ソウルフィスト, 光球
ベクタードレイン, バックドライバー
シャドウブレイド(攻撃), アッパー
シャドウブレイド(命中), アッパー Slash.wav
フィニッシングシャワー(攻撃), 連気弾 FastGun.wav
フィニッシングシャワー(命中), 連続爆発;連続爆発;連続爆発
バルキリーターン(攻撃), スーパーパンチ 黒
バルキリーターン(命中), 乱打
クリプティックニードル(攻撃), 刺突 Swing.wav
クリプティックニードル(命中), 乱突
ダークネスイリュージョン, 分身斬撃
アストラルヴィジョン, 分身 BeamSaber.wav アストラルヴィジョン
粛正, 打突
天誅, キック
ミイラドロップ, 立ち固め
戒めの墓碑, 踏み潰し
咎めの穴(命中), 落下
奈落の穴(命中), 落下
ファラオマジック(攻撃), -
ファラオマジック(命中), 炎 赤;放電;凍結 Glass.wav;強打
ファラオサルベーション(攻撃), -
ファラオサルベーション(命中), 炎 赤;連打;放電;凍結 Glass.wav;強打
ファラオデコレーション(攻撃), -
ファラオデコレーション(命中), 火柱;落下;球電;発光 緑;雪だるま;六芒星;超爆発
従者の掟, キック
従者の誓い, キック
従者の崇め, キック
トイタッチ, 爪撃
キャットスパイク(準備), -
キャットスパイク(攻撃), 斬撃
キャットスパイク(命中), 打突
ローリングスクラッチ(攻撃), タックル
ローリングスクラッチ(命中), 斬撃乱舞
サンドスプラッシュ(攻撃), 振り上げ
サンドスプラッシュ(命中), 飛沫 黄 BreakOff.wav
ローリングバックラー(攻撃), タックル
ローリングバックラー(命中), アッパー
ヘルキャット(命中), 斬撃乱舞
デルタキック, スーパーキック
プリーズヘルプミー(命中), 乱打
ダンシングフラッシュ(攻撃), タックル
ダンシングフラッシュ(命中), 乱打;アッパー Slash.wav
絡め魂(攻撃), 炎投射 青 Whiz.wav
絡め魂(命中), 炎 青 Wind.wav
辻疾風(攻撃), スーパーパンチ 赤
辻疾風(命中), スーパーパンチ 赤 Slash.wav
鬼炎斬(攻撃), 振り上げ
鬼炎斬(命中), アッパー Slash.wav
とが首さらし(攻撃), 振り下ろし
とが首さらし(命中), 唐竹割り
閻魔石(準備), -
閻魔石(攻撃), デフォルト
閻魔石(命中), 投げ飛ばし;乱打
連ね斬り(攻撃), 分身斬撃
