超越人類
ジャンプ, 1;Cannon.wav;Whiz.wav
グランドパンチ(命中), Punch.wav
フレイムパンチ(命中), Punch.wav
ストームパンチ(命中), Punch.wav
バーニングパンチ(命中), Punch.wav
シャイニングパンチ(命中), Punch.wav
ライダーキック, Jet.wav
ライダーキック(命中), Shock(Low).wav
ライダーシュート, Jet.wav
ライダーシュート(命中), 2;Shock(Low).wav;Shock(Low).wav
ファイヤーストームアタック(準備), 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;Sword.wav
ファイヤーストームアタック, Storm.wav
ファイヤーストームアタック(命中), 2;Swing.wav;Sword.wav
フレイムセイバー(命中), 2;Swing.wav;Saber.wav
ストームハルバード(命中), 2;Swing.wav;3;Saber.wav;2;Swing.wav;Saber.wav
セイバースラッシュ(準備), 10;Charge(high).wav
セイバースラッシュ, BeamCoat.wav
セイバースラッシュ(命中), 2;Swing.wav;Sword.wav
ハルバードスピン(準備), 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;Storm.wav
ハルバードスピン, Whiz.wav
ハルバードスピン(命中), 1;Swing.wav;Sword.wav
シャイニングカリバー(シングル)(命中), 2;Swing.wav;Shock(Low).wav
バーニングライダーパンチ(準備), Fire.wav
バーニングライダーパンチ, Breath.wav
バーニングライダーパンチ(命中), 2;Swing.wav;Explode(Far).wav
バーニングボンバー(準備), 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;BeamCoat.wav
バーニングボンバー, Stairs(Run).wav
バーニングボンバー(命中), 2;Swing.wav;Warship.wav
シャイニングカリバー(ツイン)(命中), 2;Swing.wav;3;Shock(Low).wav;1;Swing.wav;Shock(Low).wav
シャイニングライダーキック, Jet.wav
シャイニングライダーキック(命中), Crash.wav
シャイニングクラッシュ(準備), 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;BeamCoat.wav
シャイニングクラッシュ, Stairs(Run).wav
シャイニングクラッシュ(命中), 2;Swing.wav;3;Shock(Low).wav;2;Swing.wav;5;Shock(Low).wav;1;Swing.wav;Warship.wav
トルネイダーチャージ, 10;Bike.wav
トルネイダーチャージ(命中), Crash.wav
ドラゴンブレス(準備), Jet.wav
ドラゴンブレス(命中), Shock(Low).wav
ギルスホーン, Interference.wav
デモンズファングクラッシャー, Saber.wav
デモンズファングクラッシャー(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;Stab.wav
ギルスクロウ(命中), 2;Slash.wav;Slash.wav
ギルスクロウ(命中), 2;Slash.wav;Punch.wav
ギルスクロウ(命中), 2;Punch.wav;Slash.wav
ギルスクロウ(クリティカル), 7;BreakOff.wav;5;Swing.wav;Shock(Low).wav
ギルスフィーラー(準備), 5;Fold.wav
ギルスフィーラー(命中), 3;Whip.wav;Whip.wav
ギルスフィーラー(クリティカル), 1;Whip.wav;1;Whip.wav;1;Whip.wav;Whip.wav
ギルスヒールクロウ, 1;Cannon.wav;Whiz.wav
ギルスヒールクロウ(命中), 2;Punch.wav;Whiz.wav
デモンズクロー(準備), Engine.wav
デモンズクロー(命中), Saber.wav
エクシードヒールクロウ, 1;Cannon.wav;Whiz.wav
エクシードヒールクロウ(命中), 2;Punch.wav;Whiz.wav
Ｗエクシードヒールクロウ, 1;Cannon.wav;Whiz.wav
Ｗエクシードヒールクロウ(命中), 2;Punch.wav;Whiz.wav
ギルススティンガー, Whiz.wav
ギルススティンガー(命中), 1;Whip.wav;1;Whip.wav;1;Whip.wav;Whip.wav
ギルススティンガー(クリティカル), Hide.wav
バイオクロウ(命中), 2;Swing.wav;Slash.wav
アナザーパンチ(命中), Punch.wav
アサルトキック, FlyBy.wav
アサルトキック(命中), Crash.wav
ホッパードチャージ, 10;Bike.wav
ホッパードチャージ(命中), Crash.wav
変形(仮面ライダーアギト・マシントルネイダー), Engine.wav
変形(仮面ライダーアギト・マシントルネイダー(ストーム)), Engine.wav
変形(仮面ライダーアギト・マシントルネイダー(フレイム)), Engine.wav
変形(仮面ライダーアギト・マシントルネイダー(トリニティ)), Engine.wav
変形(仮面ライダーアギト・マシントルネイダー(バーニング)), Engine.wav
変形(仮面ライダーアギト・マシントルネイダー(シャイニング)), Engine.wav
変形(仮面ライダーギルス・ギルスレイダー), Engine.wav
変形(エクシードギルス・ギルスレイダー), Engine.wav
変形(アナザーアギト・ダークホッパー), Engine.wav
スライダーモード, 4;Reload.wav;4;Reload.wav;3;Sword.wav;Jet.wav
ライダーブレイク, 3;Whiz.wav;Jet.wav
ライダーブレイク(命中), Crash.wav
セイバーブレイク, 3;Whiz.wav;Jet.wav
セイバーブレイク(命中), Crash.wav
ハルバードブレイク, 3;Whiz.wav;Jet.wav
ハルバードブレイク(命中), Crash.wav
バーニングブレイク, 3;Whiz.wav;Jet.wav
バーニングブレイク(命中), Crash.wav
シャイニングブレイク, 3;Whiz.wav;Jet.wav
シャイニングブレイク(命中), Crash.wav
ダブルライダーキック(命中), 5;Bazooka.wav;Explode(Far).wav
ダブルライダーキック(真司)(命中), 5;Bazooka.wav;Explode(Far).wav
ダブルライダーキック(榊原)(命中), 5;Bazooka.wav;Explode(Far).wav
ミラージュパンチ(命中), Punch.wav
ミラージュクロウ(命中), 2;Swing.wav;Slash.wav
ミラージュキック, Jet.wav
ミラージュキック(命中), Crash.wav

人間
逮捕術(命中), Shock(Low).wav
ガードアクセラー(命中), FightHit(2).wav
ＧＫ－０６・ユニコーン(命中), 2;Swing.wav;Saber.wav
ＧＭ－０１・スコーピオン, 2;Gun.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav;Gun.wav
ＧＸ－０５・ケルベロス(準備), 5;WindowOpen.wav;4;Reload.wav;4;Reload.wav;Reload.wav
ＧＸ－０５・ケルベロス, 7;GunPod.wav
ＧＸランチャー(準備), 5;WindowOpen.wav;4;Reload.wav;4;Reload.wav;Reload.wav
ＧＸランチャー, 7;AntiShipMissile.wav
ＧＸランチャー(命中), Explode(Far).wav

Ｇ３システム
ガードアクセラー(命中), FightHit(2).wav
格闘(命中),  2;Punch.wav;1;Punch.wav;3:FightHit(3).wav
ＧＫ－０６・ユニコーン(命中), 2;Swing.wav;Saber.wav
ＧＭ－０１・スコーピオン, 2;Gun.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav;Gun.wav
ＧＧ－０２・サラマンダー(準備), Reload.wav
ＧＧ－０２・サラマンダー, 7;Cannon.wav
ＧＧ－０２・サラマンダー(命中), Explode(Far).wav
ＧＳ－０３・デストロイヤー(命中), 2;Swing.wav;Saber.wav
ＧＡ－０４・アンタレス(準備), Reload.wav
ＧＡ－０４・アンタレス, AntiAirMissile.wav
ＧＡ－０４・アンタレス(命中), Whip.wav
ＧＡ－０４・アンタレス(クリティカル), 1;Whip.wav;Whip.wav
ＧＸ－０５・ケルベロス(準備), 5;WindowOpen.wav;4;Reload.wav;4;Reload.wav;Reload.wav
ＧＸ－０５・ケルベロス, 7;GunPod.wav
ＧＸランチャー(準備), 5;WindowOpen.wav;4;Reload.wav;4;Reload.wav;Reload.wav
ＧＸランチャー, 7;AntiShipMissile.wav
ＧＸランチャー(命中), Explode(Far).wav
ガードチェイサーチャージ, 10;Bike.wav
ガードチェイサーチャージ(命中), Crash.wav
ＧＭ－０１改４式, 2;Gun.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav;2;Gun.wav;Gun.wav
Ｖ－１ショット, 4;Gun.wav;4;Gun.wav;Gun.wav
巡航ミサイル『ギガント』(準備), Reload.wav
巡航ミサイル『ギガント』, 7;AntiShipMissile.wav
巡航ミサイル『ギガント』(命中), Explode(Far).wav
Ｇ３ラッシュ(命中), 3;Punch.wav;3;Punch.wav;Gun.wav
ライジングブレード, Saber.wav
ライジングブレード(命中), Sword.wav
ブレードチャージ, Reload.wav
ブレードチャージ(命中), 2;Swing.wav;Stab.wav
スーパーブレード, Drill.wav
スーパーブレード(命中), 2;Swing.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
トリプルショット, 4;Gun.wav;4;Gun.wav;Gun.wav
ライジングショット, 1;Cannon.wav;Whiz.wav
ライジングショット(命中), 2;Punch.wav;2;Punch.wav;Gun.wav
ゼロファイヤー(命中), 2;Swing.wav;3;Slash.wav;4;Saber.wav;1;Gun.wav;1;Gun.wav;Gun.wav
ガンタイプ, Reload.wav
ソードタイプ, Reload.wav
変形(Ｇ３・ガードチェイサー(ダブル)), PatrolCar.wav
変形(Ｇ３・ガードチェイサー(ゲーム)), PatrolCar.wav
変形(Ｇ３・ガードチェイサー), PatrolCar.wav
変形(Ｇ３－Ｘ・ガードチェイサー), PatrolCar.wav
変形(Ｇ３マイルド・ガードチェイサー), PatrolCar.wav

特殊車両
体当たり, 10;Bike.wav

超能力者
格闘(命中), Punch.wav
しめつけ, Hittyuu.wav
しめつけ(クリティカル), Whip.wav:Whip.wav
サイコキネシス, Hittyuu.wav
サイコキネシス(命中), Shock(Low).wav
治癒再生能力, Hittyuu.wav

超越生命体
格闘(命中), Punch.wav
格闘(命中), Bazooka.wav
格闘(命中), 5;Swing.wav;Shock(Low).wav
格闘(命中), Shock(Low).wav
豪腕(命中), Shock(Low).wav
念動波, Whiz.wav
念動波(命中), Shock(Low).wav
怨嗟のドゥ・サンガ(命中), 2;Swing.wav;Shock(Low).wav
怨念のバルディッシュ(命中), 2;Swing.wav;Slash.wav
広域念動波(準備), Fire.wav
広域念動波, 1;Cannon.wav;1;Cannon.wav;3;Cannon.wav;Whiz.wav
広域念動波(命中), 1;Explode(Small).wav;1;Explode(Small).wav;1;Explode(Small).wav;Explode(Small).wav
烈風, Whiz.wav
憐憫のカマサ(準備), 3;Reload.wav;1;GunPod.wav;-.wav
憐憫のカマサ, Bow.wav
憐憫のカマサ(命中), Stab.wav
灰燼の熱砂(準備), Shore.wav
灰燼の熱砂, Swing.wav
灰燼の熱砂(命中), Inori.wav
敬虔のカンダ(命中), 2;Swing.wav;1;Shock(Low).wav;Slash.wav
爪(命中), Slash.wav
牙(命中), Stab.wav
貪欲の槍(命中), Stab.wav
傲慢の弓, Bow.wav
傲慢の弓(剣)(命中), Slash.wav
強欲の剣(命中), Slash.wav
神託の杖, Swing.wav
神託の杖(命中), Shock(Low).wav
引きずり込み, 1;Whip.wav;1;Whip.wav
体当たり(命中), Crash.wav
審判の杖, Swing.wav
審判の杖(命中), Shock(Low).wav
邪眼の鞭, 3;Whip.wav;Whip.wav
次元断層, Interference.wav
頭突き, Jet.wav
頭突き(命中), Crash.wav
骸の鎌, Swing.wav
骸の鎌(命中), Slash.wav
屍の刀(命中), Slash.wav
衝撃波, Wind.wav
漆黒の槍(命中), Stab.wav
水出現攻撃, 1;Bubble.wav;1;Bubble.wav;1Bubble.wav;3;Splash.wav
水出現攻撃(命中), 1;Bubble.wav;1;Bubble.wav;1Bubble.wav;3;Splash.wav
触手(命中), Whip.wav
ミイラタッチ(命中), FightHit(1).wav
タックル(命中), Crash.wav 
毒針(命中), BreakOff.wav
アックスブーメラン, Swing.wav
アックスブーメラン(命中), Slash.wav
冥府の斧(命中), Slash.wav
鎖, Sword.wav
断罪の大鎌, Swing.wav
断罪の大鎌(命中), Slash.wav
贖罪のコラムビ, 2;Swing.wav;3;Sword.wav
贖罪のコラムビ(命中),  Slash.wav
落雷,  Thunder.wav
煉獄の針(命中), Stab.wav
メリトゥス返し(命中), Bazooka.wav
ヒレ鎖鎌, Swing.wav
ヒレ鎖鎌(命中), Slash.wav
非物質化投げ(命中), Bazooka.wav 
非物質化落し(命中), Bazooka.wav 
憤怒の杵(命中), Swing.wav
深淵の菱, Swing.wav;1;Swing.wav
深淵の菱(命中), Explode(Small).wav;1;Explode(Small).wav;1;Explode(Small).wav
瘴気, Hide.wav
海神の叉(命中), Stab.wav
かみつき(命中), Stab.wav
欺瞞の爪(命中), Swing.wav
因果のフランベルジェ(命中), Slash.wav
慙愧の呉鉤(命中), 2;Slash.wav;Slash.wav
龍神のトライデント(命中), Swing.wav
鉤爪(命中), Slash.wav
嘴(命中), Stab.wav
速射針, Bow.wav
速射針(命中), BreakOff.wav
業火のラム・ダオ(命中), Slash.wav
義憤のモルゲンステルン(命中), Crash.wav
蟻酸, Splash.wav
大鎌, Swing.wav
大鎌(命中), Slash.wav
黄泉の鐺(命中), Stab.wav

オルフェノク
触手(命中), Whip.wav
爪(命中), Slash.wav
牙(命中), Stab.wav
