古代戦士
アメイジングマイティキック(命中), 3;Swing.wav;2;Shock(Low).wav;1;Shock(Low).wav
アルティメットキック(命中), 3;Swing.wav;2;Shock(Low).wav;1;Shock(Low).wav
アルティメットパイロキネシス(命中), Fire.wav
ジャンプ, 1;Cannon.wav;3;Whiz.wav
スプラッシュドラゴン(命中), Punch.wav
スプラッシュドラゴン, 1;Cannon.wav;3;Whiz.wav
トライゴウラムアタック(命中), Crash.wav
トライゴウラムアタック, Bike.wav
トライチェイサーアタック(準備), Engine.wav
ドラゴンロッド(命中), Punch.wav
ビートゴウラムアタック(命中), Crash.wav
ビートゴウラムアタック, Bike.wav
ビートチェイサーアタック(準備), Engine.wav
ブラストペガサス(命中), BreakOff.wav
ブラストペガサス, Bazooka.wav
マイティキック, 1;Cannon.wav;3;Whiz.wav
マイティバスター(命中), Punch.wav
ライジングスプラッシュドラゴン, 1;Cannon.wav;3;Whiz.wav
ライジングビートゴウラムアタック(命中), Crash.wav
ライジングビートゴウラムアタック, Bike.wav
ライジングブラストペガサス(命中), BreakOff.wav;5;BreakOff.wav;5;BreakOff.wav;5;BreakOff.wav
ライジングブラストペガサス, Bazooka.wav;5;Bazooka.wav;5;Bazooka.wav;5;Bazooka.wav;5;Bazooka.wav
ライジングマイティキック(命中), 3;Swing.wav;Shock(Low).wav
強化マイティキック(命中), 3;Swing.wav;Punch.wav

グロンギ怪人
蜘蛛糸, Whiz.wav
爪(命中), Slash.wav
吸血(命中), Fold.wav
首折り(命中), BreakOff.wav
バツーパンチ(命中), Punch.wav
バツーキック(命中), Crash.wav
バツー返し(命中), Bazooka.wav
鉄拳(命中), Bazooka.wav
頭突き(命中), Crash.wav
毒針(命中), BreakOff.wav
格闘(命中), Combo.wav
体液爆弾(命中), Explode(Small).wav
ヒレカッター(命中), Slash.wav
噛み付き(命中), Stab.wav
轢き潰し(命中), Crash.wav
恐怖の背中(命中), Crash.wav
チェーン(命中), Sword.wav
突き(命中), Bazooka.wav
野獣投げ(命中), Bazooka.wav
毒胞子(命中), BreakOff.wav
胞子体内注入, Stab.wav
胞子体内注入(命中), Fold.wav
舌(命中), Whip.wav
回し蹴り(命中), Stab.wav
双鎌(命中), Slash.wav
吹き矢(命中), BreakOff.wav
バックナックル(命中), Punch.wav
氷結ムチ(命中), Whip.wav
鋼鉄の雨(命中), Crash.wav
モーニングスター(命中), Crash.wav
二又槍投擲, Swing.wav
二又槍, Swing.wav
バダーパンチ(命中), Punch.wav
バダーキック(命中), Crash.wav
バダー返し(命中), Bazooka.wav
ジャックナイフホイール(命中), Crash.wav
４日殺し, Swing.wav
４日殺し(命中), Fold.wav
ダーツ, Swing.wav
チョップ, Slash.wav
体液飛散, BreakOff.wav
付け爪(命中), Slash.wav
エルボーブレード(命中), Slash.wav
ストレート(命中), Bazooka.wav
銛, Swing.wav
剣, Swing.wav
体当たり(命中), Crash.wav
メリケンサック(命中), Bazooka.wav
ハンマー(命中), Crash.wav
電撃火炎, Thunder.wav
キック(命中), Crash.wav
ロッド(命中), Punch.wav
ボウガン(命中), BreakOff.wav
剣, Swing.wav
ゼンベキ・ゾゾゾ, Punch.wav
ゼンベキ・ドグガン, BreakOff.wav
ゼンベキ・ゴゴゾ, Swing.wav
ゼンベキ・ギブブ(命中), Crash.wav
バラ吹雪, Wind.wav
茨, Fold.wav
ドロップキック(命中), Crash.wav
トンファー(命中), Punch(2).wav
超自然発火能力(命中), Fire.wav

