
人間
オルフェノク化, Fold.wav
変身(デルタ)(準備), -
変身(デルタ)(使用), -
変身(デルタ)(発動), <B>『ＳｔａｎｄｉｎｇＢｙ』</B>;5;Reload.wav;<B>『Ｃｏｍｐｌｅｔｅ』</B>:.<B><Color=Blue>『Ｄｅｌｔａ』</B></Color>


特殊強化スーツ
格闘(命中), Punch.wav
格闘(命中), Punch(2).wav
格闘(命中), Crash.wav
ファイズエッジ(命中), Slash.wav
Ｅ・ファイズエッジ(準備), Charge(High).wav;<B>『ＥｘｃｅｅｄＣｈａｒｇｅ』</B>
Ｅ・ファイズエッジ(命中), Drill.wav
Ｅ・ファイズエッジ(とどめ), BeamCoat.wav;<SIZE=48><B><Color=Red>　　　φ　　　</Color></B></SIZE>
スパークルカット(準備), Charge(High).wav;<B>『ＥｘｃｅｅｄＣｈａｒｇｅ』</B>
スパークルカット, Whiz.wav
スパークルカット(命中), 3;Slash.wav;Slash.wav
スパークルカット(とどめ), BeamCoat.wav;<SIZE=48><B><Color=Red>　　　φ　　　</Color></B></SIZE>
クリムゾンスマッシュ(準備), 3;Reload.wav;<B>『Ｒｅａｄｙ』</B>;Charge(High).wav;<B>『ＥｘｃｅｅｄＣｈａｒｇｅ』</B>
クリムゾンスマッシュ, 4;Beam.wav;Bazooka.wav
クリムゾンスマッシュ(命中), Explode(Far).wav
クリムゾンスマッシュ(とどめ), BeamCoat.wav;<SIZE=48><B><Color=Red>　　　φ　　　</Color></B></SIZE>
ファイズサウンダー(準備), 3;Reload.wav;<B>『Ｒｅａｄｙ』</B>;Charge(High).wav;<B>『ＥｘｃｅｅｄＣｈａｒｇｅ』</B>
ファイズサウンダー, LaserGun.wav
ファイズサウンダー(命中), Explode.wav
ファイズサウンダー(とどめ), BeamCoat.wav;<SIZE=48><B><Color=Red>　　　φ　　　</Color></B></SIZE>
ファイズアクセル, 3;Reload.wav;<B>『Ｃｏｍｐｌｅｔｅ』</B>
グランインパクト<MAP>(準備), UnitOn.wav;<B>『ＳｔａｒｔＵｐ』</B>
グランインパクト<MAP>, 5;Drill.wav;5;Saber.wav;5;Whiz.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Bazooka.wav
グランインパクト<MAP>(命中), Explode(Far).wav
グランインパクト<MAP>(とどめ), BeamCoat.wav;<SIZE=48><B><Color=Red>　　　φ　　　</Color></B></SIZE>
スパークルカット<MAP>(準備), UnitOn.wav;<B>『ＳｔａｒｔＵｐ』</B>
スパークルカット<MAP>, 5;Drill.wav;5;Saber.wav;5;Whiz.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Bazooka.wav
スパークルカット<MAP>(命中), Explode(Far).wav
スパークルカット<MAP>(とどめ), BeamCoat.wav;<SIZE=48><B><Color=Red>　　　φ　　　</Color></B></SIZE>
クリムゾンスマッシュ<MAP>(準備), UnitOn.wav;<B>『ＳｔａｒｔＵｐ』</B>
クリムゾンスマッシュ<MAP>, 5;Drill.wav;5;Saber.wav;5;Whiz.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;Bazooka.wav
