企業戦士
ヤマザキ毛針, GunPod.wav
ヤマザキ毛針(命中), Shock.wav
Ｙ=スラッガー, 4;Reload.wav;AntiAirMissile.wav
Ｙ=スラッガー(命中), 2;Slash.wav;Slash.wav
ヤマザキマシンガン, 4;Reload.wav;MachineGun.wav
ネクタイブレード, BeamSaber.wav
ヤマザキボイス, Hittyuu.wav
ヤマザキボイス(命中), Glass.wav
ヤマザキビーム, LaserGun.wav
ヤマザキ光輪, 6;BeamSaber.wav;Swing.wav
ヤマザキ光輪(命中), Slash.wav
ヤマザキシュレッダー(命中), Saber.wav
ヤマザキブレスレット, Sharara.wav
リモコン革靴, 5;Explode(Small).wav;jet.wav
リモコン革靴(命中), Explode.wav
ヤマザキストライク(命中), crash.wav
ヤマザキ破, Bazooka.wav
ヤマザキプラズマ火球, 4;Beam.wav;Thunder.wav
ヤマザキ振動パック, Swing.wav
ヤマザキ振動パック(命中), BeamSaber.wav
ヤマザキ=ボール(命中), Explode.wav
ヤマザキ大放電(命中), Thunder.wav
ヤマザキ熱視線, Sharara.wav
ヤマザキインパクト, Cannon.wav
ヤマザキインパクト(命中), Explode.wav
名刺スラッシュ, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;6;Bow.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
名刺スラッシュ(命中), 6;Slash.wav;2;Slash.wav;2;Slash.wav;Slash.wav
プラズマ砲, Beam.wav
誘導ミサイル(準備), 4;Reload.wav
電磁破砕ハンド, BeamSaber.wav
電磁破砕ハンド(命中), crash.wav
硫酸ミスト, AntiAirMissile.wav
ニードルガン, 4;Reload.wav;Cannon.wav
ブレストニードルガン, Cannon.wav
マイクロナパーム弾, Missile.wav
マイクロナパーム弾(命中), Fire.wav
足の裏ナパーム弾, Missile.wav
足の裏ナパーム弾(命中), Fire.wav
高周波弾ハイパーマグナム, 4;Reload.wav;Rifle.wav
収束放電スネーク, 4;Reload.wav;Thunder.wav
ジャイロキック(命中), crash.wav
コークスクリューキック(命中), crash.wav
液体窒素シャワー, 4;Reload.wav;AntiAirMissile.wav
液体窒素シャワー(命中), Glass.wav
ショックアンカー, 4;Reload.wav;Missile.wav
ショックアンカー(命中), Explode.wav
ダブルショックアンカー, 4;Reload.wav;1;Missile.wav;Missile.wav
ダブルショックアンカー(命中), Explode.wav
核融合ナイフ, 4;Reload.wav;BeamSaber.wav
電磁ハリセン, 4;Reload.wav;BeamSaber.wav
電磁ハリセン(命中), Whip.wav
ツインメーサー砲, 4;Reload.wav;LaserGun.wav
サンドブラスター, 4;Reload.wav;AntiAirMissile.wav
Arガスレーザーブレード, 4;Reload.wav;BeamSaber.wav
ニトロ=ボウガン, 4;Reload.wav;Missile.wav
ニトロ=ボウガン(命中), Explode.wav
ゴールデン電撃ハンマー, BeamSaber.wav
ゴールデン電撃ハンマー(命中), crash.wav
プラズマガトリングガン, Beam.wav
硫化イオウカプセル弾, Missile.wav
サブ中性子放出システム, 4;Reload.wav;AntiAirMissile.wav
中性子放出システム, 4;Reload.wav;AntiAirMissile.wav
Ｋ=スラッガー, 4;Reload.wav;AntiAirMissile.wav
Ｋ=スラッガー(命中), 2;Slash.wav;Slash.wav
クロサキストライク(命中), crash.wav
