伝承者
岩山両斬波, AntiAirMissile.wav
剛掌波, AntiShipMissile.wav
七死騎兵斬, Saber.wav
天将奔烈, Warship.wav
天破活殺, Beam.wav
踏みつけ(命中), Punch.wav
北斗千手殺(命中), Combo.wav
北斗羅漢撃(命中), Combo.wav
ふくみ針, Type.wav
有情破顔拳, Beam.wav
有情破顔拳(命中), Explode(Small).wav
獄屠拳(命中), Punch(2).wav
獄屠拳(命中), Punch(3).wav
獄屠拳(命中), Punch(4).wav
千首龍撃(命中), Combo.wav
紅鶴拳, Saber.wav
血粧嘴, 5;Saber.wav;5;Saber.wav;5;Saber.wav;5;Saber.wav;5;Saber.wav
烈脚空舞(命中), Punch(2).wav
烈脚空舞(命中), Punch(3).wav
烈脚空舞(命中), Punch(4).wav
烈脚空舞(命中), Combo.wav
極星十字拳, 5;Saber.wav;5;Saber.wav
天翔十字鳳(命中), Bazooka.wav
流輪光斬, Saber.wav
衝の輪, 5;Saber.wav;5;Saber.wav;5;Saber.wav;5;Saber.wav
白華弾, Bazooka.wav
猛天掌, AntiShipMissile.wav
黄金刹斬, AntiShipMissile.wav
暗琉天破, FlyBy.wav
喝把玩(命中), Bazooka.wav
暗琉霏破, AntiShipMissile.wav
擾摩光掌, AntiShipMissile.wav
万手魔音拳(命中), Combo.wav
天狼凍牙拳, AntiAirMissile.wav

