汎用
キック(命中), Punch.wav
ブービートラップ, Slap.wav
ブービートラップ(命中), Crash.wav
ナマヅメスプラッシュ, Saber.wav

赤の一族
洗濯ばさみ, Whip.wav
パプワパンチ(命中), Punch.wav
棍棒, Whiz.wav
棍棒(命中), Crash.wav
ぶん投げ(命中), Whiz.wav
テコンドー, Combo.wav
岩石投げ, Whiz.wav
岩石投げ(命中), Crash.wav
セパタクロー, Punch(2).wav;2;Punch(2).wav
セパタクロー(命中), Bazooka.wav
全力パプワパンチ(準備), Charge.wav
全力パプワパンチ(命中), Explode.wav
秘石眼(準備), Hittyuu.wav
秘石眼, BeamShot.wav
秘石眼(命中), Glass.wav
ナイフ, Sword.wav
爆裂ワイヤー, Slap.wav
爆裂ワイヤー, Explode.wav

青の一族
眼魔砲, Beam.wav
眼魔砲(命中), Explode(Small).wav
トルネード眼魔砲(準備), Charge(Long).wav
トルネード眼魔砲, Beam.wav;2;Beam.wav;2;Beam.wav
トルネード眼魔砲(命中), Explode.wav
秘石眼(準備), Hittyuu.wav
秘石眼, BeamShot.wav
秘石眼(命中), Explode(Nuclear).wav
秘石眼(Ｍ)(準備), Hittyuu.wav
秘石眼(Ｍ), BeamShot.wav
秘石眼(Ｍ)(命中), Explode(Far).wav
凝縮眼魔砲(準備), BeamCoat.wav
凝縮眼魔砲, Beam.wav
凝縮眼魔砲(命中), Bazooka.wav
秘石眼(不安定)(準備), Hittyuu.wav
秘石眼(不安定), Search.wav;5;Stome.wav
合体眼魔砲(準備), Charge(Long).wav
合体眼魔砲, Beam.wav;2;Beam.wav;2;Beam.wav
合体眼魔砲(命中), Explode.wav

ガンマ団
生き字引の筆『蛙』, Whiz.wav
生き字引の筆『植物』, Whiz.wav;Whiz.wav
生き字引の筆『雪達磨』, Whiz.wav;2;Whiz.wav;2;Whiz.wav
生き字引の筆『石』, Whiz.wav
生き字引の筆, Saber.wav
猫だまし, Slap.wav
手裏剣(命中), Slash.wav
忍者刀(命中), Slash.wav
火炎の術, Fire.wav
水竜巻の術, Storm.wav
鳥取砂丘の術, Storm.wav
天変地異ゲタ占いの術, Fire.wav;2;Thunder.wav;2;Storm.wav
生八ツ橋, Fold.wav
極楽鳥の舞, Fire.wav
炎龍拳, Fire.wav
スーパーフェニックスＦ, Fire.wav
極炎舞(準備), Charge.wav
極炎舞, Explode(Nuclear).wav
日本刀, Sword.wav
剣の舞, Sword.wav;2;Sword.wav;2;Sword.wav
電撃パンチ, BreakOff.wav
雷電攻撃, Thunder.wav
雷電攻撃最高電圧, Search.wav;5;Thunder.wav
不協和音, Search.wav
バチ(命中), Stab.wav
津軽じょんがら狂の舞, Kabuki.wav
きしめん縛り, Whip.wav
手品用ソード, Sword.wav
爆発薬, Explode(Small).wav
メス, Stab.wav
転がる, Bazooka.wav
押しつぶす, Bazooka.wav
はじける, Snap(E).wav
千本ノック, Punch(4).wav
ＳＤＥサンダーボール, Thunder.wav
ピッチングマシン, Punch(4).wav
催眠ネットランチャー, Bazooka.wav
血の池地獄龍の舞, MultipleRocketLauncher(Light).wav
竜巻地獄, Storm.wav
見ざるの術, Flair.wav
反省縛り, Type.wav
陽明門の舞, Kabuki.wav
いろは坂の舞, Kabuki.wav
過去を映す鏡, Sharara.wav
蛇炎流, Fire.wav
地爆破, Explode.wav
羅刹風, Wind.wav
電磁波, Thunder.wav

ナマモノ
味見, Fold.wav
体当たり, Punch.wav
脚線美のすね毛, Fold.wav
ぴちぴちの足, Fold.wav
鞭, Whip.wav
巻きつき, Fold.wav
締めつけ, Fold.wav
ベーゴマ, Drill.wav
ハサミ, Saber.wav
ダジャレ, -.wav
電撃, Thunder.wav
火山花火, Explode(Far).wav
