吸血殲鬼
レイジングブル銃剣(命中), 2;Swing.wav;Stab.wav
サド侯爵の愉悦(命中), 2;Swing.wav;Stab.wav
サド侯爵の愉悦(命中), 2;Swing.wav;Slash.wav
旋風の暴帝(命中), 2;Swing.wav;4;Stab.wav;3;Slash(3).wav;Slash.wav
RagingBullmaxicustom, Rifle.wav
『挽肉屋』柄斧(命中), 2;Swing.wav;Slash(2).wav
SPAS12改『挽肉屋』, 7;Cannon.wav;Reload.wav
旋風の暴帝投擲, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
旋風の暴帝投擲(命中), 3;Slash(3).wav;3;Slash(3).wav;Slash.wav
聖者の絶叫(命中), 2;Swing(2).wav;Sword.wav
バンパークロー, Bike.wav
バンパークロー(命中), 4;Stab.wav;Crash.wav
スローイングナイフ, Bow.wav
スローイングナイフ(命中), Stab.wav
モーラハンマー(命中), 2;Swing.wav;FightHit(2).wav
白木の杭(命中), 2;Swing.wav;Stab.wav
鋼の嵐(命中), 2;Swing.wav;3;FightHit(4).wav;2;Swing.wav;3;FightHit(3).wav;2;Swing.wav;3;FightHit(4).wav;2;Swing.wav;FightHit(2).wav
M4-WitchHunter, MachineCannon.wav
銀の矢, Bow.wav
銀の矢(命中), Stab.wav
MAC11, MachineGun.wav
RPG7, Missile.wav
RPG7(命中), Explode(Small).wav
M134-MiniGun, GunPod.wav

ヴァンパイア
阻止, Sword.wav
破壊, Fire.wav
貫手(命中), 1;Swing.wav;Stab.wav
SCREAMING-BANSHEE銃剣(命中), 2;Swing.wav;Stab.wav
SCREAMING-BANSHEE, MachineCannon.wav
ArtisticShooting, MachineCannon.wav
念動衝撃波, Whiz.wav
ヒルドルヴ・フォーク(命中), 2;Swing.wav;Slash.wav
念動波, 3;Hittyuu.wav;Storm.wav

キメラヴァンプ
阻止, Sword.wav
攻撃無効化(甲羅), Sword.wav
バリア貫通(甲羅), Glass.wav
破壊, Fire.wav
顎ギロチン(命中), Sword.wav
H&K-MP5斉射, MachineGun.wav
超音波放射, Hittyuu.wav
三刀流居合斬り(命中), 1;Swing.wav;1;Swing.wav;2;Swing.wav;3;Slash.wav;3;Slash.wav;Slash.wav
蜘蛛糸縛り斬撃, AntiAirMissile.wav
蜘蛛糸縛り斬撃(命中), 1;Swing.wav;1;Swing.wav;2;Swing.wav;3;Slash.wav;3;Slash.wav;Slash.wav
剛槍一旋(命中), 2;Swing.wav;Slash.wav
Ak74, MachineCannon.wav

戦闘車両
M4-WitchHunter, MachineCannon.wav
7.62mm機関銃PKT, MachineCannon.wav
14.5mm重機関銃KPVT, FastGun.wav
AT-5スパンドレル, Missile.wav
AT-5スパンドレル(命中), Explode(Small).wav

