
汎用
AF20ST, ライフル
AF20RAR, マシンガン
AF99ST, ライフル
バッファロー, ショットガン
ガバナー, ショットガン
スパローショット, ショットガン Weapon\EFFECT_ShotGun02.bmp
零式レーザーライフル, ビームランチャー(２) 白
ファイブカード, ボルトアクションライフル Weapon\EFFECT_SniperRifle01.bmp
ストリンガー, ボルトアクションライフル Weapon\EFFECT_SniperRifle01.bmp
ライサンダー, ボルトアクションライフル Weapon\EFFECT_SniperRifle01.bmp
プラズマランチャー(準備), ビームランチャー
プラズマランチャー(攻撃), ビームランチャー 青
プラズマランチャー(命中), 爆発
ボルケーノ, 小型ミサイルランチャー Weapon\EFFECT_Bazooka01.bmp
ゴリアス, バズーカ Weapon\EFFECT_Bazooka02.bmp
エメロード, ミサイルランチャー
MLRA, 小型ミサイルランチャー
FORK-20, ミサイルランチャー
エアトータス, スーパーミサイル 遅
プロミネンス, ＭＡＰスーパーミサイル
グレネードランチャー, グレネードランチャー
スタンピード(準備), グレネードランチャー
スタンピード(攻撃), ＭＡＰグレネード
スタンピード(命中), 連続爆発
アシッドガン(準備), ライフル Weapon\EFFECT_BullpupRifle02.bmp
アシッドガン(攻撃), 手持ち発射 Weapon\EFFECT_BullpupRifle02.bmp 40 対象ユニットＩＤ Bullet\EFFECT_Venom01.bmp 32 Cannon.wav
アシッドガン(命中), 飛沫 緑 Acid.wav
火炎砲, 火炎放射器
ＺＥ－ＧＵＮ(準備), 音再生 Reload.wav
ＺＥ－ＧＵＮ(攻撃), バルカン
ＺＥ－ＧＵＮ(命中), バルカン
ジェノサイドガン(準備), バスタービームランチャー
ジェノサイドガン(攻撃), バスタービームランチャー 桃;ＭＡＰ超爆発
ジェノサイドガン(命中), 大爆発

ＥＤＦ
かんしゃく玉(攻撃), 斬撃;回転発射 Bullet\EFFECT_Grenade04.bmp 16 Whiz.wav
かんしゃく玉(命中), 連続爆発 4
AFアサルトライフル(準備), ライフル
AFアサルトライフル(攻撃), ライフル;ライフル;ライフル
AFアサルトライフル(命中), 銃弾;銃弾;銃弾
スティングレイ, バズーカ
MMFスナイパーライフル, ボルトアクションライフル Weapon\EFFECT_SniperRifle01.bmp
ミラージュ, ビームショットガン 赤 Weapon\EFFECT_LaserMachineGun01.bmp 32
LAZR(準備), ビームライフル
LAZR(攻撃), ビームライフル LaserGun.wav 橙 チャージなし
LAZR(命中), ビームライフル 橙
レーザーランス(準備), ビームランチャー Weapon\EFFECT_LightBulletGun01.bmp
レーザーランス(攻撃), ビームランチャー 緑 Weapon\EFFECT_LightBulletGun01.bmp チャージなし
レーザーランス(命中), ビームランチャー 緑
イクシオン, リングビームガン Weapon\EFFECT_BeamLauncher01.bmp 青
イヅナ(準備), ２連ショックビームガン Weapon\EFFECT_NewAssaultRifle02.bmp 40
イヅナ(攻撃), ２連ショックビームガン Weapon\EFFECT_NewAssaultRifle02.bmp 40 紫 Thunder.wav
イヅナ(命中), ２連ショックビームガン 紫 Thunder.wav
サイブレード(準備), バスタービームライフル Weapon\EFFECT_LaserMachineGun01.bmp 32
サイブレード(攻撃), バスタービームライフル 赤 Weapon\EFFECT_LaserMachineGun01.bmp 32 LaserGun.wav チャージなし
サイブレード(命中), 大爆発
レイピア(準備), 拡散ビームライフル Weapon\EFFECT_LightBulletGun01.bmp
レイピア(攻撃), 拡散ビームライフル 黄 Weapon\EFFECT_LightBulletGun01.bmp チャージなし
レイピア(命中), 拡散ビームライフル 黄
サンダーボウ(準備), ショックビームランチャー Weapon\EFFECT_NewAssaultRifle02.bmp 40
サンダーボウ(攻撃), ショックビームランチャー Weapon\EFFECT_NewAssaultRifle02.bmp 40 水色 Thunder.wav
サンダーボウ(命中), ショックビームランチャー 水色 Thunder.wav
カスケード, バズーカ
火炎放射器, 火炎放射器
ワイドショットガン, ショットガン Weapon\EFFECT_ShotGun02.bmp
レーザーライフル, ビームランチャー(２) 白
120mm曲射砲, 大キャノン砲
30mmUT機関砲, 機関砲
ミサイル, ミサイル 2
7.6mm機銃, バルカン

戦闘車両
火炎放射器, 火炎放射
ガトリング砲, 内蔵ガトリング
ロケットランチャー, グレネード

インベーダー
蟻酸(攻撃), 実弾発射 Bullet\EFFECT_AuraBall(Orange)02.bmp 24 Cannon.wav
蟻酸(命中), 飛沫 黄 Acid.wav
牙, 噛み付き
粘糸(攻撃), 拡散ビーム 白 MultipleRocketLauncher(Light).wav チャージなし
粘糸(命中), 拡散ビーム 白 Whip.wav
粘糸<近距離>(攻撃), 拡散ビーム 白 MultipleRocketLauncher(Light).wav チャージなし
粘糸<近距離>(命中), 拡散ビーム 白 Whip.wav
酸(攻撃), マシンキャノン Cannon.wav 黄
酸(命中), 飛沫 黄 Acid.wav
一斉放射(攻撃), マシンキャノン Cannon(8Shot).wav 黄;マシンキャノン -.wav 黄;マシンキャノン -.wav 黄
一斉放射(命中), 飛沫 黄 Acid.wav
レーザーバルカン, ニードルレーザー連射 赤
プラズマ爆雷(攻撃), 実弾発射 武器画像=ＳＴＧ弾３(水色) 24 Missile.wav 発光
プラズマ爆雷(命中), 連続爆発 水色
プラズマ爆雷<M>(攻撃), ＭＡＰ光球 水色 Missile.wav
プラズマ爆雷<M>(命中), 連続爆発 水色
長距離誘導ミサイル, ミサイル長距離
突き刺し, 刺突
バルカン, 内蔵チェーンガン 黄
速射プラズマ砲弾(攻撃), 実弾発射 武器画像=ＳＴＧ弾５(水色) 24 Missile.wav 発光
速射プラズマ砲弾(命中), 爆発 水色
プラズマ砲弾(攻撃), 実弾発射 武器画像=ＳＴＧ弾３(水色) 24 Missile.wav 発光
プラズマ砲弾(命中), 爆発 水色
多連装レーザー, 大拡散ビーム 白
突進(命中), 強打
火炎放射, 超火炎放射
突進<M>(攻撃), ＭＡＰ移動タックル 青 FastGun.wav
突進<M>(命中), 強打
叩きつけ(命中), 地面衝撃 Shock(Low).wav
踏みつけ(命中), 地面衝撃 Shock(Low).wav
誘導ミサイル, 小型ミサイル 6
グレネード(攻撃), 内蔵チェーンガン 緑 Cannon.wav
グレネード(命中), 連続爆発
プラズマブレス, 大ビーム 白
レーザー砲塔<M>(攻撃), ＭＡＰビーム 赤;ＭＡＰビーム 緑 チャージなし
レーザー砲塔<M>(命中), 包囲ビーム 赤;包囲ビーム 緑
インペリアル・ガード部隊(攻撃), ８ＷＡＹ射出
インペリアル・ガード部隊(命中), ニードルレーザー連射 赤 ランダム方向;ニードルレーザー連射 赤 ランダム方向;ニードルレーザー連射 赤 ランダム方向
プラズマ砲塔(攻撃), 実弾発射 武器画像=ＳＴＧ弾３(水色) 24 Missile.wav 発光;実弾発射 武器画像=ＳＴＧ弾３(水色) 24 Missile.wav 発光;実弾発射 武器画像=ＳＴＧ弾３(水色) 24 Missile.wav 発光
プラズマ砲塔(命中), 連続爆発 水色
巨大誘導レーザー砲塔, 大拡散ビーム 赤
ジェノサイド砲(攻撃), 光球 黄;ＭＡＰ超爆発
ジェノサイド砲(命中), 大爆発
拡散レーザー, ニードルレーザー連射 赤
三連装レーザー, ２連小ビーム 赤;小ビーム 赤
プラズマナパーム(攻撃), 実弾発射 武器画像=ＳＴＧ弾５(水色) 24 Missile.wav 発光
プラズマナパーム(命中), 爆発 水色
プラズマガトリング砲, 内蔵チェーンガン 白
プラズマ砲(攻撃), 中ビーム 白
プラズマ砲(命中), 大爆発
レーザー砲塔(攻撃), 拡散ビーム 赤
レーザー砲塔(命中), 包囲ビーム 赤
プラズマガトリング砲塔, 内蔵チェーンガン 白
大型プラズマ砲, ＭＡＰビーム 白
二連装プラズマ砲, ２連中ビーム 白
ガンシップ部隊(攻撃), ８ＷＡＹ射出
ガンシップ部隊(命中), ニードルレーザー連射 赤 ランダム方向;ニードルレーザー連射 赤 ランダム方向;ニードルレーザー連射 赤 ランダム方向
全周域レーザー砲塔(攻撃), ＭＡＰビーム 赤
全周域レーザー砲塔(命中), 包囲ビーム 赤
全周域プラズマ砲塔(攻撃), 実弾発射 武器画像=ＳＴＧ弾３(水色) 24 Missile.wav 発光;実弾発射 武器画像=ＳＴＧ弾３(水色) 24 Missile.wav 発光;実弾発射 武器画像=ＳＴＧ弾３(水色) 24 Missile.wav 発光
全周域プラズマ砲塔(命中), 連続爆発 水色
巨大レーザー砲, ＭＡＰ持続ビーム 緑
