
地球防衛軍4
#
### レンジャー系
#
AF14アサルトライフル, マシンガン Weapon\EFFECT_Rifle02.bmp
AF100アサルトライフル, マシンガン Weapon\EFFECT_Rifle02.bmp
スティングレイM1, バズーカ
スティングレイMF, バズーカ
バッファローG1, ショットガン
スパローショット(準備), ショットガン Weapon\EFFECT_ShotGun02.bmp
スパローショットMX(準備), ショットガン Weapon\EFFECT_ShotGun02.bmp
スパローショット(攻撃), ショットガン Weapon\EFFECT_ShotGun02.bmp;ショットガン Weapon\EFFECT_ShotGun02.bmp
スパローショットMX(攻撃), ショットガン Weapon\EFFECT_ShotGun02.bmp;ショットガン Weapon\EFFECT_ShotGun02.bmp
スパローショット(命中), ショットガン;ショットガン
スパローショットMX(命中), ショットガン;ショットガン
MG11ハンドグレネード, 手榴弾
爆砕かんしゃく玉(攻撃), 斬撃;ベアリング Whiz.wav
爆砕かんしゃく玉(命中), 連続爆発 3
ライサンダー2, ボルトアクションライフル Weapon\EFFECT_SniperRifle01.bmp
ライサンダーZ, ボルトアクションライフル Weapon\EFFECT_SniperRifle01.bmp
ヴォルカニック・ナパーム(攻撃), グレネードランチャー Weapon\EFFECT_NewAssaultRifle02.bmp
ヴォルカニック・ナパーム(命中), ＭＡＰ炎の壁
火炎放射器, 火炎放射器
MMF40スナイパーライフル, ボルトアクションライフル Weapon\EFFECT_SniperRifle02.bmp
零式レーザーライフル, ビームライフル 赤
ALレーザー砲, ビームライフル 青
フュージョンブラスターZD, バスタービームライフル
リバースシューターT1(使用), @戦闘アニメ_竜弾銃攻撃 緑 Weapon\EFFECT_FireLauncher01.bmp Whiz.wav
リバースシューターT1(発動), 煙 緑 Inori.wav
リバースシューターX(使用), @戦闘アニメ_竜弾銃攻撃 緑 Weapon\EFFECT_FireLauncher01.bmp Whiz.wav
リバースシューターX(発動), 煙 緑 Inori.wav
要請:戦闘バイク(レンジャー)(使用), @戦闘アニメ_斬撃攻撃 UnitID(ストームエアレイダー(EDF4));煙 赤;EDF4_輸送機
要請:戦闘バイク(レンジャー)(解説), $(ユニット)の要請を受けたポーターズは戦闘バイクを輸送した。
#
### ウイングダイバー系
#
LAZR-197, レーザーガン(２)
LAZR-200, レーザーガン(２)
ARC-LAZR, レーザーガン(２)
SIG-LAZR, レーザーガン(２)
E1プラズマ・ランチャー(準備), ショックビームランチャー
E1プラズマ・ランチャー(攻撃), 手持ち発射 Weapon\EFFECT_ShockBeamGun01.bmp 32 対象ユニットＩＤ Impact\EFFECT_ImpactBallHit(LightBlue)02.gif 256 BeamShot.wav 発光
E1プラズマ・ランチャー(命中), 爆発 水色
RZRプラズマ・ランチャー(準備), ショックビームランチャー
RZRプラズマ・ランチャー(攻撃), 手持ち発射 Weapon\EFFECT_ShockBeamGun01.bmp 32 対象ユニットＩＤ Impact\EFFECT_ImpactBallHit(LightBlue)02.gif 256 BeamShot.wav 発光
RZRプラズマ・ランチャー(命中), 爆発 水色
イズナ-A(準備),  光弓 Reload.wav 青
イズナ-A(攻撃),  ショックビームガン LightWeapon\EFFECT_LightBow(Blue)01.bmp 青
イズナ-A(命中),  ショックビームガン 青
イズナ-FF(準備),  光弓 Reload.wav 青
イズナ-FF(攻撃),  ショックビームガン LightWeapon\EFFECT_LightBow(Blue)01.bmp 青
イズナ-FF(命中),  ショックビームガン 青
サンダーボウ(準備),  光弓 Reload.wav 青
サンダーボウ(攻撃),  ショックビームガン LightWeapon\EFFECT_LightBow(Blue)01.bmp 緑
サンダーボウ(命中),  ショックビームガン 緑
レーザーランス(攻撃),  急降下;透明化 反映;EDF4_レーザーランス 青
レーザーランス(命中),  点打 青 Explode(Small).wav
フレイドマル(攻撃), 急降下;透明化 反映;EDF4_レーザーランス 水色
フレイドマル(命中), 点打 水色 Explode(Small).wav
オーロラスピア(攻撃), 急降下;透明化 反映;EDF4_レーザーランス 青
オーロラスピア(命中), 点打 青 Explode(Small).wav
ホーリーランス(攻撃), 急降下;透明化 反映;EDF4_レーザーランス 緑
ホーリーランス(命中), 点連打 緑 Explode(Small).wav
レイピア(攻撃), 急降下;透明化 反映;EDF4_レイピア 赤
レイピア(命中), 点乱打 赤 Explode(Small).wav
マスター・レイピア(攻撃), 急降下;透明化 反映;EDF4_レイピア 赤
マスター・レイピア(命中), 点乱打 赤 Explode(Small).wav
MONSTER-S(準備), 電撃ランチャー 
MONSTER-S(攻撃), ビームランチャー Weapon\EFFECT_ElectricLauncher01.bmp 40 チャージなし
MONSTER-S(命中), ビームランチャー
ミラージュ5WAY-S, 拡散ビームライフル Weapon\EFFECT_ShockBeamGun01.bmp
イクシオン・マーク４, リングビームガン Weapon\EFFECT_ShockBeamGun01.bmp 青
ヘブンズ・ゲートD10(攻撃), 斬撃;投擲武器 Impact\EFFECT_ImpactBallHit(LightBlue)01.gif 256 発光 遅 -.wav
ヘブンズ・ゲートD10(命中), 拡散ビーム 青 ランダム方向
グングニル(準備), 電撃ランチャー 
グングニル(攻撃), ショックビームランチャー Weapon\EFFECT_ElectricLauncher01.bmp 40 青 チャージなし
グングニル(命中), ショックビームランチャー 青
プラズマバッテリーガン(使用), @戦闘アニメ_グレネードランチャー攻撃 Weapon\EFFECT_ShockBeamGun01.bmp UnitID(ストームエアレイダー(EDF4))
プラズマバッテリーガン(発動), エネルギーフィールド展開 青
プラズマバッテリーガンZM(使用), @戦闘アニメ_グレネードランチャー攻撃 Weapon\EFFECT_ShockBeamGun01.bmp UnitID(ストームエアレイダー(EDF4))
プラズマバッテリーガンZM(発動), エネルギーフィールド展開 青
#
### エアレイダー系
#
レーザー誘導装置(攻撃), EDF4_レーザー誘導装置
レーザー誘導装置(命中), -
レーザー誘導装置T4(攻撃), EDF4_レーザー誘導装置
レーザー誘導装置T4(命中), -
ZE-GUN(準備), 変形 EDF4_StormAirrader(SentryGun)U.bmp Reload.wav
ZE-GUN(攻撃), バルカン
ZE-GUN(命中), バルカン
ZEXR-GUN(準備), 変形 EDF4_StormAirrader(SentryGun)U.bmp Reload.wav
ZEXR-GUN(攻撃), バルカン
ZEXR-GUN(命中), バルカン
リムペットガン, グレネードランチャー Weapon\EFFECT_NewAssaultRifle02.bmp
リムペットガンMT, グレネードランチャー Weapon\EFFECT_NewAssaultRifle02.bmp
シーザー・ワイヤー(準備), レーザーマシンガン(２)
シーザー・ワイヤー(攻撃), 拡散ビームランチャー 白 Weapon/EFFECT_LaserMachineGun01.bmp チャージなし Whiz.wav
シーザー・ワイヤー(命中), ビームショットガン 白 FightHit(3).wav
シーザー・ワイヤーZD(準備), レーザーマシンガン(２)
シーザー・ワイヤーZD(攻撃), 拡散ビームランチャー 白 Weapon/EFFECT_LaserMachineGun01.bmp チャージなし Whiz.wav
シーザー・ワイヤーZD(命中), ビームショットガン 白 FightHit(3).wav
