汎用
レインドロップ(解説), $(パイロット)はレインドロップで攻撃をかけた。

クレヨン王国
光のリュウ(クラウド)(解説), $(パイロット)は光のリュウで攻撃をかけた。
クレヨンペン(解説), $(パイロット)はクレヨンペンで攻撃をかけた。
花丸クレヨンペン(武装)(解説), $(パイロット)はクレヨンペンで花丸を描き、攻撃をかけた。
ドラゴンキングの笛(解説), $(パイロット)はドラゴンキングの笛を吹いた。
花丸クレヨンペン(アビ)(解説), $(パイロット)はクレヨンペンで花丸を描いた。
パワーキノコ(解説), $(パイロット)はパワーキノコでパワーアップし、攻撃をかけた。
ホイッスル, Whitsle.wav
ドラゴンキングの笛, Whitsle.wav

ストンストン＆アラエッサ(夢クレ)
撮影(解説), アラエッサは撮影で攻撃をかけた。
ホイッスル(解説), アラエッサはホイッスルで攻撃をかけた。

王女シルバー＝マーガレット
クレヨンペン, 「赤！」
クレヨンペン, 「青！」
クレヨンペン, 「水色！」
クレヨンペン, 「黄色！」
クレヨンペン, 「緑！」
クレヨンペン, 「草色！」
クレヨンペン, 「ピンク！」
クレヨンペン, 「黒！」
クレヨンペン, 「灰色！」
クレヨンペン, 「白！」
クレヨンペン, 「オレンジ！」
クレヨンペン, 「茶色！」
花丸クレヨンペン(武装)(命中), 「はなまる赤！」
花丸クレヨンペン(武装)(命中), 「はなまる青！」
花丸クレヨンペン(武装)(命中), 「はなまる水色！」
花丸クレヨンペン(武装)(命中), 「はなまる黄色！」
花丸クレヨンペン(武装)(命中), 「はなまる緑！」
花丸クレヨンペン(武装)(命中), 「はなまる草色！」
花丸クレヨンペン(武装)(命中), 「はなまるピンク！」
花丸クレヨンペン(武装)(命中), 「はなまる黒！」
花丸クレヨンペン(武装)(命中), 「はなまる白！」
花丸クレヨンペン(武装)(命中), 「はなまる灰色！」
花丸クレヨンペン(武装)(命中), 「はなまるオレンジ！」
花丸クレヨンペン(武装)(命中), 「はなまる茶色！」
野菜の精, @CRAYON_Umekero.bmp;ウメケロ.「亀の甲より年の劫、ケロ」
野菜の精, @CRAYON_Umekero.bmp;ウメケロ.「 こんな手間のかかる仕事は、特別にお手当てをもらわなきゃ釣り合わないケロ」
野菜の精, @CRAYON_Tohumon.bmp;トーフモン.「おキヌ婆さんのためにも、負けられんのう！」
野菜の精, @CRAYON_Tohumon.bmp;トーフモン.「 わしらで退治するんじゃ！」
野菜の精, @CRAYON_Tomorokofusuki.bmp;トモロコフスキー.「ぼくは十二人の野菜の精の一人、トモロコフスキーさ」
野菜の精, @CRAYON_Tomorokofusuki.bmp;トモロコフスキー.「エブリバディ、ごきげん如何かな？」
野菜の精, @CRAYON_Tomatomato.bmp;トマトマト.「おりゃーー、トマトラリアーーット！！」
野菜の精, @CRAYON_Tomatomato.bmp;トマトマト.「おばさんパワーを見せてやるよ！」
野菜の精, @CRAYON_Sososonasu.bmp;ソソソナス.「ナスナスナスナスナスナス……！」
野菜の精, @CRAYON_Sososonasu.bmp;ソソソナス.「さっさと終わらせないと会社にもいけナスから……」
野菜の精, @CRAYON_Kyabetta.bmp;キャーベッタ.「キャーベキャーベ…….キャー・ベー・ツー！」
野菜の精, @CRAYON_Kyabetta.bmp;キャーベッタ.「私は女優…………どんな役にでもなれるのよ！」
野菜の精, @CRAYON_Nobiruja.bmp;ノビルジャー.「おれは力自慢のノビルジャーじゃ！」
野菜の精, @CRAYON_Nobiruja.bmp;ノビルジャー.「どすこいー、どすこいー、どすこいー、どすこいーー！」
野菜の精, @CRAYON_Negikku.bmp;ネギック.「ぼくが相手になってやる！」
野菜の精, @CRAYON_Negikku.bmp;ネギック .「フッフッフ、謎はすべて解けた！」
野菜の精, @CRAYON_Horesore.bmp;ホーレソレ.「かったるいんだよね、呼び出さないでほしいなあ……どうでもいいけど」
野菜の精, @CRAYON_Horesore.bmp;ホーレソレ.「シルバー王女を怒らせると怖いんだから！どうでもいいけど」
野菜の精, @CRAYON_Gomata.bmp;ゴマータ.「言っとくけど、からだが小さいからってバカにしてほしくないわゴマ」
野菜の精, @CRAYON_Gomata.bmp;ゴマータ.「小さいといろんな知恵がつくゴマ」
野菜の精, @CRAYON_Ninjippi.bmp;ニンジッピ.「こ、こんにちはッピ……」
野菜の精, @CRAYON_Ninjippi.bmp;ニンジッピ.「……ぼくなんかが出てきてごめんなさいッピ」
野菜の精, @CRAYON_Renkopocchi.bmp;レンコポッチ.「あたしはレンコポッチ……体が弱いから、あんまり使わないでほしいッチ」
野菜の精, @CRAYON_Renkopocchi.bmp;レンコポッチ.「あたし、がんばるッチ！」
