大魔法峠
プリンセスマジック(攻撃), 音符 Sharara.wav
プリンセスマジック(命中), 火柱;超爆発
プリンセスマジック(命中), 落盤;超爆発
プリンセスマジック(命中), 落雷;超爆発
プリンセスマジック(命中), 竜巻;超爆発
プリンセスマジック(命中), 氷柱;超爆発
プリンセスマジック(命中), 重力圧縮;超爆発
プリンセスマジック(命中), 妖精;超爆発
プリンセス甲手拉(攻撃), 打突
プリンセス甲手拉(命中), 打撃 BreakOff.wav
プリンセス脇固め(攻撃), 格闘
プリンセス脇固め(命中), フォール 1
プリンセスＣスリーパー(攻撃), 格闘
プリンセスＣスリーパー(命中), 立ち固め 1
プリンセスカポエラキック(攻撃), スピンキック
プリンセスカポエラキック(命中), 打撃
プリンセストライロッド(準備), オーラ上昇 青
プリンセストライロッド, 三節棍
プリンセストライロッド(解説), $(ユニット)はプリンセストライロッドで攻撃をかけた。
プリンセスアキレス腱固め(攻撃), 格闘
プリンセスアキレス腱固め(命中), 立ち足固め 1
プリンセスヘッドロック, 立ち固め 1
プリンセス四の字固め(攻撃), スピンキック
プリンセス四の字固め(命中), 足固め 1
プリンセス卍固め(攻撃), タックル
プリンセス卍固め(命中), 立ち固め 1
プリンセス蠍固め(攻撃), タックル
プリンセス蠍固め(命中), 立ち足固め 1
プリンセスＡＢブリーカー(攻撃), タックル
プリンセスＡＢブリーカー(命中), スーパーバックブリーカー
プリンセスハンギング(準備), オーラ上昇 青
#プリンセスハンギング(攻撃), 三節棍 Whip.wav ;2;Whip.wav
#プリンセスハンギング(命中), 投げ飛ばし;背負い固め BreakOff.wav 1
#プリンセスハンギング(とどめ), 死神
プリンセスハンギング(解説), $(ユニット)はプリンセスハンギングで攻撃をかけた。
プリンセスＭＢブリーカー(攻撃), 格闘
プリンセスＭＢブリーカー(命中), スーパーバックブリーカー 1
プリンセス三角絞め(攻撃), タックル
プリンセス三角絞め(命中), フォール 1
プリンセスパロスペシャル(攻撃), 格闘
プリンセスパロスペシャル(命中), 肩乗り 1
プリンセスＳＴＦ(攻撃), 飛びかかり
プリンセスＳＴＦ(命中), 立ち固め 1
プリンセス断頭台(攻撃), 格闘
プリンセス断頭台(命中), 立ち固め 1
プリンセス膝十字固め(攻撃), 格闘
プリンセス膝十字固め(命中), 足固め 1
プリンセスデコピン(攻撃), 打突
プリンセスデコピン(命中), ダメージ
プリンセス片羽絞め(攻撃), 格闘
プリンセス片羽絞め(命中), 立ち固め 1
プリンセス肩胛骨固め(攻撃), 格闘
プリンセス肩胛骨固め(命中), フォール 1
プリンセスキャノン, バスタービームランチャー
プリンセスキャノン(解説), $(ユニット)はプリンセスキャノンで攻撃をかけた。
#
格闘, 格闘
リバーブロー, 打突
#
カミソリ, 斬撃
豪腕, 格闘
釘バット, 釘バット
日本刀, 日本刀
#
エリィマジック(攻撃), 音符 Sharara.wav
エリィマジック(命中), 火柱;超爆発
エリィマジック(命中), 落盤;超爆発
エリィマジック(命中), 落雷;超爆発
エリィマジック(命中), 竜巻;超爆発
エリィマジック(命中), 氷柱;超爆発
エリィマジック(命中), 重力圧縮;超爆発
エリィマジック(命中), 妖精;超爆発
エリィアタック, 格闘
エリィサイズ, 大鎌
#
毒殺シュークリーム, 
双子マジック(攻撃), 音符 Sharara.wav
双子マジック(命中), 火柱;超爆発
双子マジック(命中), 落盤;超爆発
双子マジック(命中), 落雷;超爆発
双子マジック(命中), 竜巻;超爆発
双子マジック(命中), 氷柱;超爆発
双子マジック(命中), 重力圧縮;超爆発
双子マジック(命中), 妖精;超爆発
巨大殺人バサミ(準備), 南蛮棒
巨大殺人バサミ(攻撃), 斬撃
プリンセスモンキーフリップ, ブレーンバスター
双子ギロチン(攻撃), スーパータックル
双子ギロチン(命中), 分身打撃

