天地創造
火のリング(解説), $(ユニット)は火のリングに込められたファイアフレイムの魔法で攻撃をかけた。
氷のリング(解説), $(ユニット)は氷のリングに込められたアイスアローの魔法で攻撃をかけた。
稲妻のリング(解説), $(ユニット)は稲妻のリングに込められたプラズマリングの魔法で攻撃をかけた。
大地のリング(解説), $(ユニット)は大地のリングに込められたアースシェークの魔法で攻撃をかけた。
光のリング(解説), $(ユニット)は光のリングに込められたオーラシュートの魔法で攻撃をかけた。
炎のリング(解説), $(ユニット)は炎のリングに込められたウェルダムの魔法で攻撃をかけた。
吹雪のリング(解説), $(ユニット)は吹雪のリングに込められたブリザードの魔法で攻撃をかけた。
雷電のリング(解説), $(ユニット)は雷電のリングに込められたサンダーベルトの魔法で攻撃をかけた。
電子のリング(解説), $(ユニット)は電子のリングに込められたラスターウォールの魔法で攻撃をかけた。
天地のリング(解説), $(ユニット)は天地のリングに込められたエックスホールの魔法で攻撃をかけた。

ダークガイア(天地創造)(第二形態)
氷のリング(解説), $(ユニット)は氷のリングで攻撃をかけた。
炎のリング(解説), $(ユニット)は炎のリングで攻撃をかけた。
