
悪魔
フロストオーラ, Flair.wav
バーニング, Fire.wav
霊縛, Search.wav
追儺, Whiz.wav
蜘蛛の糸, Bow.wav
蜘蛛の糸(クリティカル), Whip.wav
聖なる光, Search.wav
必殺の一撃, Swing.wav
必殺の一撃(命中), Stab.wav
必殺の一撃(クリティカル), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
ゲイボルグ, Swing.wav
ゲイボルグ(命中), Stab.wav
ゲイボルグ(クリティカル), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Swing.wav;Slash.wav
スパイクロッド, Swing.wav
スパイクロッド(命中), Punch.wav
スパイクロッド(クリティカル), Shock(Low).wav
炎の剣, Swing.wav
炎の剣(命中), 2;Stab.wav;Fire.wav
炎の剣(クリティカル), Shock(Low).wav
ビリビリレンチ, Swing.wav
ビリビリレンチ(命中), Punch.wav
ビリビリレンチ(クリティカル), Whip.wav
アギ, Fire.wav
アギラオ, Fire.wav
アギダイン, Fire.wav
マハラギ, 2;Fire.wav;2;Fire.wav;Fire.wav
マハラギオン, 2;Fire.wav;2;Fire.wav;2;Fire.wav;Fire.wav
マハラギダイン, 2;Fire.wav;2;Fire.wav;2;Fire.wav;2;Fire.wav;Fire.wav
ブフ, Bow.wav
ブフ(命中), Flair.wav
ブフーラ, Bow.wav
ブフーラ(命中), Flair.wav
ブフダイン, Bow.wav
ブフダイン(命中), Flair.wav
マハブフ, 1;Bow.wav;1;Bow.wav;1;Bow.wav
マハブフ(命中), 1;Flair.wav;1;Flair.wav;1;Flair.wav
マハブフーラ, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
マハブフーラ(命中), 1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav
マハブフダイン, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
マハブフダイン(命中), 1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav
アイオンの雨, Search.wav
ガル, Saber.wav
ガルーラ, Saber.wav
ガルダイン, Saber.wav
マハガル, 2;Saber.wav;2;Saber.wav;2;Saber.wav
マハガルーラ, 2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav
マハガルダイン, 2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav
マグナ, Crash.wav
マグナス, Crash.wav
マグダイン, Crash.wav
マハマグナ, 2;Crash.wav;2;Crash.wav;Crash.wav
マハマグナス, 2;Crash.wav;2;Crash.wav;2;Crash.wav;Crash.wav
マハマグダイン, 2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;Crash.wav
ザン, AntiAirMissile.wav
ザン(命中), Bazooka.wav
ザンマ, AntiAirMissile.wav
ザンマ(命中), Bazooka.wav
ザンダイン, AntiAirMissile.wav
ザンダイン(命中), Bazooka.wav
マハザン, 2;AntiAirMissile.wav;2;AntiAirMissile.wav;AntiAirMissile.wav
マハザン(命中), 2;Bazooka.wav;2;Bazooka.wav;Bazooka.wav
マハザンマ, 2;AntiAirMissile.wav;2;AntiAirMissile.wav;2;AntiAirMissile.wav;AntiAirMissile.wav
マハザンマ(命中), 2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;Bazooka.wav
マハザンダイン, 2;AntiAirMissile.wav;2;AntiAirMissile.wav;2;AntiAirMissile.wav;2;AntiAirMissile.wav;AntiAirMissile.wav
マハザンダイン(命中), 2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;Bazooka.wav
リムドーラ, Storm.wav
グライ, BeamSaber.wav
グライバ, BeamSaber.wav
グラダイン, BeamSaber.wav
