### 銀河連邦警察 --------------------------------------------------------

宇宙刑事ギャバン
蒸着, -
回避, ちゅうっ！！
回避, じょうっ！！
回避, ようし！！
回避, やったぜ！
回避, どうした、こっちだ！
回避, バカモン、よく見ろ！
回避, なあに、俺は逃げ足も速いのさ！
回避, 危ない危ない！ もう少しで紙屑のようになる所だったぜ
回避, おぉっとっと！
回避, ……殺気！
回避, その手には乗るものか！
回避, 思ったとおりだ！
回避(一条寺烈), あぁ～ビックリしたぁ…！
回避(サイバリアン), サイバリアン！ レーザースピード！！
回避(電子星獣ドル), ドル・ダーッシュ！！
回避(対強敵), 殺気…！ 凄い迫力！
回避(対宇宙犯罪組織マクー), 思い知ったかマクー！
回避(対宇宙犯罪組織マクー), その手には乗らんぞ、マクー！
回避(対サン・ドルバ), さあ、どこからでも来い！ サン・ドルバ！
回避(対魔女キバ), 幻影に惑わされず、実像を見極めるんだ！
回避(対ダブルモンスター), しつこいぞ！ $(相手ユニット)！
回避(対毒ガス), ガス・センサー！
攻撃無効化, お前の悪だくみは読めていたのさ！
攻撃無効化, へぇ！ そりゃあ残念だったな！
攻撃無効化, 無駄だな！
攻撃無効化(ギャバンバリア), バリアー！！
攻撃無効化(ギャバンバリア), ギャバン！ フル・パワー！！
ダメージ小, 異状なし！
ダメージ小, 大丈夫さ！
ダメージ小, 俺は不死身さ！
ダメージ小, おいおいおい、このギャバン様は無敵だぜ？
ダメージ小, だいじょぶだいじょぶ！
ダメージ小, そんなものでいったい何をしようってんだ！
ダメージ小, バカバカしい。いい加減にしろ！
ダメージ小(一条寺烈), あいたっ！？
ダメージ小(超次元高速機ドルギラン), うるさい蝿め！
ダメージ小(電子星獣ドル), うるさい蝿め！
ダメージ小(対宇宙犯罪組織マクー), マクーになんか負けてたまるもんか！
ダメージ小(対宇宙犯罪組織マクー), どーんと来いマクー！ .俺は戦って戦って戦い抜いてみせるぞ！！
ダメージ小(対宇宙犯罪組織マクー), いったいマクーは何を企んでいるんだ？
ダメージ中, しまった！
ダメージ中, くっ、やられた！
ダメージ中, どうも虫の好かん奴だ…！
ダメージ中, 手強い相手だ…！
ダメージ中, 負けるもんか！ 俺は勝つ！
ダメージ中, どうしたことだ…！？
ダメージ中, たっぷり礼はさせてもらうからな！
ダメージ中, ……負けてたまるかっ！！
ダメージ中(対宇宙犯罪組織マクー), おのれマクー！！
ダメージ中(対宇宙犯罪組織マクー), くっ……おのれマクー！！
ダメージ中(対魔女キバ), 俺は魔女キバの術中にはめこまれてしまっているのだ…！
ダメージ中(対暗黒銀河女王), いい気になるなよ、暗黒銀河女王！！
ダメージ大, お父さん、お母さん……守ってください……
ダメージ大, お父さん、僕を守ってください……
ダメージ大, 父さんに会いたい……俺はここで死ぬわけにはいかんのだ！
ダメージ大, 決着は、まだついていない！
ダメージ大, 俺は命を懸けているんだ…….命を懸けてこの地球を守りたいんだよ！
ダメージ大, おあっ！？ 負けて……たまるか！ こんな奴に！！
ダメージ大, このままではやられてしまう！
ダメージ大, いったい何が起こっているんだ…！？
ダメージ大, このままでは、時間の問題で俺たちは…！！
ダメージ大(宇宙刑事ギャバン(ユニット)), コンバットスーツがやられるなんてね…！
ダメージ大(対宇宙犯罪組織マクー), なんてこった…！ マクーめ！
ダメージ大(対宇宙犯罪組織マクー), 俺にはまだまだやらなくてはならないことがある。マクーを叩き潰すんだ！
ダメージ大(対魔女キバ), ぐっ…！ 魔女キバめ！！
破壊, しまったぁっ…！？
破壊, うぉわあぁぁぁーーっ！！！
