#### 銀河連邦警察 ------------------------------------------------------

宇宙刑事シャリバン
赤射, -
回避, たあーっ！！
回避, ちゅうっ！！
回避, しゅう！！
回避, 危ないっ！
回避, 思ったとおりだ！
回避, こっちだ！
回避, ここだよ！
回避, おっと！ 誰かをお探しかい？
回避(対宇宙犯罪組織マドー), マドーは油断ができないからな！
回避(対宇宙犯罪組織マドー), 来たな、マドーめ！
回避(対宇宙犯罪組織マドー), 油断はできない。マドーのことだ！
ダメージ小, しまった！
ダメージ小, ようし……敵がその気だったら、こっちも！
ダメージ小, 本気でかかってこいっ！
ダメージ小, よし、このまま一気にいくぞ！
ダメージ小, どうした！ さあ、もっとこいっ！
ダメージ小(超次元戦闘母艦グランドバース), グランドバース、各部異常なし！
ダメージ小(高次元戦闘車シャリンガータンク), シャリンガータンク、各部異常なし！
ダメージ小(地中用戦闘車モグリラン), モグリラン、各部異常なし！
ダメージ小(対宇宙犯罪組織マドー), マドーめ！！
ダメージ小(対宇宙犯罪組織マドー), マドーにやられるものかっ！
ダメージ小(対軍師レイダー), 背中が重い…！ 何かが俺にまとわりついている…！
ダメージ中, おわあっ！？
ダメージ中, 今に見てろよ！
ダメージ中, ようし……それなら！
ダメージ中, なんて奴だ…！
ダメージ中, 何者だ…！ いったい奴は！？
ダメージ中, こういう時は冷静に行動することが大事なんだ！
ダメージ中, こいつはちょっとおかしいな…！
ダメージ中(伊賀電), 赤射はできない！ どうしたらいいんだ…！
ダメージ中(対宇宙犯罪組織マドー), なんてことを…！ マドーめ……許さん！！
ダメージ中(対宇宙犯罪組織マドー), マドーは悪魔の集団だ！
ダメージ中(対宇宙海賊ベンガルタイガー), ベンガルブラザーズめ！！
ダメージ中(対宇宙海賊ベンガルコブラ), ベンガルブラザーズめ！！
ダメージ大, おわぁぁぁーーっ！？
ダメージ大, リリィ！ 聞こえるか！？
ダメージ大, うわぁぁぁぁーーっ！！
ダメージ大, 俺はここで死ぬわけにはいかないんだ！ 俺が死ねば、この地球は！！
ダメージ大, 俺にはやることがある！ イガ星を再興しなければ……そのためには生きなければ！！
ダメージ大, ここでくたばってたまるか…！ 俺は……俺は！！
ダメージ大, どうしたんだ！？ いったいどうなってるんだ！
ダメージ大, 負けてたまるか…！ 負けてっ！！
ダメージ大, 負けるものか…！ 俺は負けんぞ！！
ダメージ大(対宇宙犯罪組織マドー), マドーめ…っ！ 絶対に負けるものかっ！！
ダメージ大(対宇宙犯罪組織マドー), これが、マドーの本当の力なのかっ！？
破壊, うっ！？ うわぁぁぁーっ！！
破壊, なんという情けない男だ俺は……っ！！
脱出, 今度会ったら叩きのめしてみせるぜ！
脱出, 一時退却だ！
射程外, いったいどこへ消えてしまったんだ……
射程外, 視線を感じる……
射程外(対宇宙犯罪組織マドー), 出て来い！ マドー！！
射程外(対宇宙犯罪組織マドー), マドーは何かを企んでいる。.俺たちを警戒して、息を潜めているんだ
射程外(対宇宙犯罪組織マドー), おかしい…！ マドーの気配だ！
射程外(対魔怪獣), 魔怪獣がいない！ 魔怪獣はどうした！？
攻撃, 来たな！！
攻撃, いくぞっ！！
攻撃, どうなったって知らないぞ！
攻撃, 許さん！！
攻撃, いくぞっ！ ちゅうっ！！
攻撃, 来いっ！！
攻撃, 俺はお前たちを許せない！ いくぞっ！！
攻撃, 何としても叩き出してやる！
攻撃, イガ星の再興は、俺の使命なんだ！
攻撃, さあ来いっ！
攻撃, 逃がさん！
攻撃(レーザーブレード), せぇいっ！！
攻撃(レーザーブレード), ふんっ！！
攻撃(レーザーブレード), ていっ！！
攻撃(レーザーブレード), ちゅうっ！！
攻撃(対強敵), 父さん……力を貸してください！！
攻撃(対超能力), エスパーだ。相当な念力波を持っている！
攻撃(対宇宙犯罪組織マドー), さあ来い！ マドー！
攻撃(対宇宙犯罪組織マドー), 来たな！ マドー！
攻撃(対宇宙犯罪組織マドー), やっぱりマドーか！
攻撃(対宇宙犯罪組織マドー), マドー！ お前たちの勝手にはさせんぞ！
攻撃(対宇宙犯罪組織マドー), 人間に美しい心がある限り、マドーには負けやしない！！
攻撃(対宇宙犯罪組織マドー), マドー！ やはり貴様たちの仕業か！
攻撃(対宇宙犯罪組織マドー), マドー！！ 今度こそ容赦はしないぞ！！
攻撃(対宇宙犯罪組織マドー), なんとしても守らなきゃ！ マドーの手から！
攻撃(対宇宙犯罪組織マドー), マドーは俺が倒す！！
攻撃(対宇宙犯罪組織マクー), まだ懲りないようだな、マクー！
