
封神演義
太極図(準備), 魔法陣 黒 WindowOpen(3).wav
太極図(攻撃), 粒子噴射 黒 SystemNoize.wav
太極図(命中), 粒子噴射 黒 -.wav;ユニット変色 黒 Mist.wav
打神鞭(準備), スタンロッド
打神鞭(攻撃), 白兵武器
打神鞭(命中), ビームサーベル 青
結界解除(準備), スタンロッド
結界解除(攻撃), 白兵武器 Glass.wav
結界解除(命中), -
打風刃(準備), スタンロッド
打風刃(攻撃), シュートカッター 青
打風刃(命中), ビームサーベル 青
泥酔拳(攻撃), 分身打撃 
泥酔拳(命中), 分身打撃 
トリック攻撃(攻撃), 分身打撃 
トリック攻撃(命中), 分身打撃 
誅仙陣(準備), 魔法陣 白
誅仙陣(攻撃), フラッシュ
誅仙陣(命中), 吹雪
打風輪(準備), 周囲回転 Common\EFFECT_Tornado01.bmp 32 storm.wav 3
打風輪(攻撃), 竜巻
打風輪(命中), 竜巻
竜巻(準備), 音再生 Wind.wav
竜巻(攻撃), 旋風 青
竜巻(命中), 旋風 青
攻撃無効化(太極図), 陰陽太極図 Inori.wav 前面
阻止(風の壁), @戦闘アニメ_周囲回転準備 Common\EFFECT_Tornado01.bmp 32 storm.wav 3 相手ユニットＩＤ
ラッシュ(準備), 拡散ビーム 桃 Missile.wav
ラッシュ(命中), 拡散ビーム 桃 Bazooka.wav
エネルギー捕食(攻撃), タックル whiz.wav
エネルギー捕食(命中), ダメージ Stab.wav
火尖鎗(準備), さす又
火尖鎗(攻撃), ２連小ビーム 赤
火尖鎗(命中), ２連小ビーム 赤
白兵型火尖鎗, さす又
乾坤圏(攻撃), グレネード
乾坤圏(命中), 超打 crash.wav
金磚, ビームランチャー
無差別攻撃(準備), ビームランチャー
無差別攻撃(攻撃), 拡散ビーム
無差別攻撃(命中), 拡散ビーム
変化の術(武装)(準備), -
変化の術(武装)(攻撃), 吹雪 Hide.wav 対象ユニットＩＤ
変化の術(武装)(命中), -
三尖刀(準備), -
三尖刀(攻撃), 白兵武器
三尖刀(命中), 爪撃
衝撃波(命中), 爪撃
部分変化(準備), 「部分変化……」;煙 白 Hide.wav 対象ユニットＩＤ
部分変化(攻撃), タックル
部分変化(命中), 爆発
哮天犬, 狼召喚
雷電蹴撃,  スーパーキック 黄
起風, 旋風 青
発雷(準備), Thunder.wav
発雷(攻撃), 落雷 Whip.wav
発雷(命中), 爆発
起風発雷(準備), 強風 storm.wav
起風発雷(攻撃), 旋風 黄色 Thunder.wav
起風発雷(命中), 旋風 黄色 Explode(Far).wav
攻撃無効化(太上老君), シールド防御 ..\unit\HOUSHIN_Taizyouroukun(TaidaSuit)U.bmp 32 Sword.wav 太上老君
ダッシュ, スーパータックル
乱打, 乱打
攻撃無効化(怠惰スーツ), ビームコート Sword.wav 怠惰スーツ
土竜爪指ミサイル(攻撃), 矢連射 Missile.wav
土竜爪指ミサイル(命中), 矢連射
五光石, 石
分身魔球(準備), -
分身魔球(攻撃), 白兵武器;キャノン砲 8 速 MultipleRocketLauncher(Light).wav
分身魔球(命中), 乱打 crash.wav
エビ投げドリームボール(準備), 炎
エビ投げドリームボール(攻撃), 大キャノン砲長距離 storm.wav
エビ投げドリームボール(命中), 強打
降魔杵, 棍棒
降魔杵変形(準備), 「降魔杵変形！！！」;振る武器変形 Weapon\EFFECT_Club01.bmp 32 Weapon\EFFECT_Nodachi01.bmp 40 発光 Sword.wav
降魔杵変形, 野太刀突撃
大鉄棒, 回転棍
大鉄棒(命中), 超打
飛刀(準備), 巨大剣
飛刀(攻撃), 巨大剣
飛刀(命中), 斬撃
攻撃無効化(水の壁), バリア Splash.wav 水の壁
水球, 泡球
水の槍(準備), -
水の槍(攻撃), 中ビーム 青 Splash.wav
水の槍(命中), 中ビーム 青 Stab.wav
傾世元禳, 桜吹雪
霧露乾坤網(準備), 魔法陣 青 Flair.wav 背面
霧露乾坤網(攻撃), @戦闘アニメ_Ｍ全投ビーム共通 青 Saber.wav 3
霧露乾坤網(命中), 音再生 Interference.wav;ホーミングレーザー 青 -.wav
飛焔剣, 炎剣
焔の術, 火炎放射
営鎮抱一砲(準備),  オーラ上昇 赤 fire.wav
営鎮抱一砲(攻撃), スピンアタック 赤 MicroMissile.wav
営鎮抱一砲(命中), スピンアタック 赤 Explode(Far).wav
重力万倍, ＭＡＰブラックホール
拳法, 連打
元始ビーム,  小ビーム 黄
元始ビーム(命中),  爆発
重力十倍(準備), -
重力十倍(攻撃), 粒子集中 黒
重力十倍(命中), @ＳＰアニメ_威圧 - 相手ユニットＩＤ
重力百倍, 重力弾
重力千倍(準備), オーラ上昇 黒
重力千倍(攻撃), フラッシュ 黒
重力千倍(命中), 大電撃;重力弾
攻撃無効化(重力場), 暗黒バリア BeamSaber.wav 重力場
太極符印(準備), 音再生 Computer.wav
太極符印(攻撃), 粒子集中
太極符印(命中), 飛沫 黒 Inori.wav
核融合(準備), 音再生 Computer.wav
核融合(攻撃), フラッシュ -.wav 相手ユニットＩＤ
核融合(命中), 超爆発
雷公鞭(準備), 大放電 LaserGun.wav
雷公鞭(攻撃), 旋風 黄 Thunder.wav
雷公鞭(命中), 旋風 黄 Explode(Far).wav
雷公鞭フルパワー(準備), @戦闘アニメ_Ｍ全投ビーム共通 黄 LaserGun.wav 4
雷公鞭フルパワー(攻撃), ＭＡＰビーム 黄 Thunder.wav
雷公鞭フルパワー(命中), ダメージ Explode(Far).wav
ジョカビーム, ホーミングレーザー
四宝剣<白兵>(準備), 青龍偃月刀(突２)
四宝剣<白兵>(攻撃), 白兵武器
四宝剣<白兵>(命中), 超爆発
四宝剣(準備), 青龍偃月刀(突２)
四宝剣(攻撃), 超ビーム
四宝剣(命中), 超爆発
山河社稷図(準備), オーラ上昇 黒
山河社稷図(攻撃), 重力弾
山河社稷図(命中), 重力圧縮;時間
口からビーム, 巨大ビーム
傾世元禳<Ｍ>(準備), 桜吹雪 sharara.wav
傾世元禳<Ｍ>(攻撃), ＭＡＰ煙 桃 mist.wav
傾世元禳<Ｍ>(命中), -
傾世元禳(準備), 桜吹雪 sharara.wav
傾世元禳(攻撃), 煙噴射 桃 mist.wav
傾世元禳(命中), 煙 桃
五火七禽扇, 気斬
如意羽衣(準備), -
如意羽衣(攻撃), バラ吹雪 黄色 Glass(2).wav 対象ユニットＩＤ;透明化 反映;音再生 DrumRoll(Long).wav
如意羽衣(命中), ロケットパンチ
如意羽衣(命中), 落盤
如意羽衣(命中), 竜巻
如意羽衣(命中), @戦闘アニメ_トマト攻撃;強打
如意羽衣(命中), ロケットパンチ DGoods\EFFECT_Daruma01.bmp crash.wav
如意羽衣(命中), ロケットパンチ DGoods\EFFECT_Gourd01.bmp crash.wav
如意羽衣(命中), ロケットパンチ DGoods\EFFECT_SoccerBall01.bmp crash.wav
如意羽衣(命中), ロケットパンチ DGoods\EFFECT_MetalDrum01.bmp crash.wav
如意羽衣(命中), ロケットパンチ DGoods\EFFECT_IronBall02.bmp crash.wav
反射(如意羽衣), バラ吹雪 黄色 Glass(2).wav;変形 ("Unit\" & (Info(ユニット, Unit(対象ユニットＩＤ), グラフィック))) -.wav
反射(如意羽衣)(解説), $(ユニット)は如意羽衣で$(相手ユニット)に化け、.$(相手武器)で攻撃し返した！
半妖態変化(準備), 羽
半妖態変化(攻撃), 吹雪 mist.wav
半妖態変化(命中), 時間逆行
紫綬羽衣(準備), -
紫綬羽衣(攻撃), 煙噴射 緑 mist.wav
紫綬羽衣(命中), 煙 緑
琵琶の糸(準備), 音再生 sword.wav
琵琶の糸(攻撃), ８ＷＡＹ射出
琵琶の糸(命中), 斬撃乱舞
