少女革命ウテナ
手をひねる, 立ち固め
竹刀, 竹刀
竹箒, 殴打武器 DGoods\EFFECT_Broom01.bmp
ディオスの剣, サーベル
花嫁の祝福(準備), 発光 赤;ビームソード 赤
花嫁の祝福(攻撃), ビームソード 赤
花嫁の祝福(命中), ビームソード 赤
心の剣, サーベル
ディオス降臨(準備), サーベル;発光 桃
ディオス降臨(攻撃), サーベル突撃 Whiz.wav
ディオス降臨(命中), 決め画像 DGoods\EFFECT_Rose(White)01.bmp Charge.wav;刺突突撃 Wind.wav
王子の剣(準備), 光噴出 黄;サーベル;発光 桃 Flair.wav
王子の剣(攻撃), 透明化 反映;飛来アップ ("Unit\" & Info("ユニットデータ", 天上ウテナ(後期), "グラフィック")) 黄 Whiz.wav 残像;光大噴出 黄;透明化 解除 反映
王子の剣(命中), 光連斬撃 白 Thunder.wav;超打 Drill.wav
カーチェイス, タックル
世界を革命する力(準備), バラ吹雪 赤
世界を革命する力(攻撃), スーパータックル 赤
世界を革命する力(命中), スーパータックル 赤
格闘, 格闘
日本刀, 日本刀
蹴り飛ばし, キック
突撃, スーパータックル
暁生カー, キャノン砲
猛突進(準備), 日本刀
猛突進(攻撃), フラッシュ 白
猛突進(命中), 日本刀突撃
ダガー, ダガー
エペ(準備), レイピア
エペ(攻撃), 刺突
エペ(命中), 刺突
二刀流(準備), 左右別武器 Weapon\EFFECT_Scimitar01.bmp 32 - Weapon\EFFECT_Dagger01.bmp 32
二刀流(攻撃), なぎ払い;大斬撃
二刀流(命中), 大斬撃;連突
ジャンプ斬り(準備), シミター
ジャンプ斬り, 唐竹割り
剣, 鋼剣
体さばき, 格闘
瑠果の技(準備), 鋼剣
瑠果の技(攻撃), 刺突;スーパーパンチ 青
瑠果の技(命中), スーパーパンチ 青;超斬撃 橙
当て身技(武器弾き), -
武器弾き(準備), -
武器弾き(攻撃), -
武器弾き(命中), 斬撃
ダガー, ダガー
サーベル, シミター
鉄拳制裁, 乱打
剣(サーベル), サーベル
心の剣(樹璃), 鋼剣
心の剣(レイピア), レイピア
心の剣(冬芽), 剣
心の剣(七実), シミター
プラネタリウム(準備), 光球集中 黒
プラネタリウム(攻撃), 拡散ビーム 黄
プラネタリウム(命中), 粒子集中 黄
プラネタリウム【ＭＡＰ】(準備), -
プラネタリウム【ＭＡＰ】(攻撃), ＭＡＰダークネス;全拡散ビーム 黄
プラネタリウム【ＭＡＰ】(命中), -
車(準備), 鼠召喚
車(攻撃), 鼠 Engine.wav
車(命中), 鼠
タイヤ(準備), -
タイヤ(攻撃), ソーサー Engine.wav
タイヤ(命中), 強打
キャタピラ(準備), -
キャタピラ(攻撃), 噛み付き接近 白
キャタピラ(命中), 乱打
追突, タックル
パンチ, 打突
しっぽ, なぎ払い
しっぽ(命中), なぎ払い Punch.wav
ディオスの剣(アビ), 大放電 白 Charge(Silent).wav
心の剣(アビ), 大放電 白 Charge(Silent).wav;バラ吹雪 桃 Wind.wav
変形(ウテナカー), Engine.wav

天上ウテナ
破壊, バラ吹雪 白 Wind.wav

桐生冬芽
破壊, バラ吹雪 赤 Wind.wav

西園寺莢一
破壊, バラ吹雪 緑 Wind.wav

有栖川樹璃
破壊, バラ吹雪 橙 Wind.wav

薫幹
破壊, バラ吹雪 水色 Wind.wav

桐生七実
破壊, バラ吹雪 黄 Wind.wav


黒薔薇の騎士
破壊, バラ吹雪 黒 Wind.wav
幹の心の剣(準備), レイピア
幹の心の剣(攻撃), 連斬撃
幹の心の剣(命中), 連斬撃
樹璃の心の剣, 鋼剣
七実の心のダガー, ダガー
七実の心の剣, シミター
西園寺の心の剣, 日本刀
冬芽の心の剣, 日本刀
剣, 鋼剣
剣(サーベル), サーベル
面会(準備), 時間 相手ユニットＩＤ
面会(攻撃), 落雷
面会(命中), -
