
# item.txtの分


汎用
#★銀の銃弾(帝都物語)
銀の弾丸(帝都物語), ピストル
銀の弾丸(帝都物語)(命中), 銃弾 Glass.wav
しりこ弾(帝都物語), ライフル
しりこ弾(帝都物語)(命中), 銃弾 Glass.wav
#★ドーマンセーマン(帝都物語)
ドーマンセーマン(解説), $(ユニット)はドーマンセーマンを放った。
ドーマンセーマン(攻撃), なぎ払い Whiz.wav;実弾発射 "shield\EFFECT_Cloak(White)01.bmp" -.wav
ドーマンセーマン(命中), 打撃 inori.wav;飛沫 橙 -.wav
晴明判(解説), $(ユニット)は晴明判を放った。
晴明判(攻撃), なぎ払い Whiz.wav;実弾発射 "shield\EFFECT_Cloak(White)01.bmp" -.wav
晴明判(命中), 打撃 inori.wav;飛沫 橙 -.wav
妖刀関孫六(準備), 振る武器 Weapon\EFFECT_Youtou01.bmp 発光 Beamsaber.wav
妖刀関孫六(攻撃), 斬撃
妖刀関孫六(命中), 斬撃 Slash(4).wav
華光(帝都物語)(攻撃), 手投げ武器 "Common\EFFECT_Blizzard01.bmp" bow.wav
華光(帝都物語)(命中), @戦闘アニメ_周囲回転 "Common\EFFECT_Blizzard01.bmp" jet.wav;飛沫 白 inori.wav
スパナ(帝都物語), スパナ
Ｔ字型ハンマー(帝都物語), ハンマー
旗竿(帝都物語), 槍
旗竿投げ(帝都物語), 投げ槍
天石笛(準備), オカリナ
天石笛(攻撃), オカリナ Houring.wav 音波
天石笛(命中), 光噴出
化けもの槌, 木槌
七支刀, 斬撃武器 Weapon\EFFECT_Sichisitou02.bmp 32

# ドーマンセーマンでペンタグラムマを出すのは断念。だってテンポわるいし。
#ドーマンセーマン(命中), @../Anime/Magic/EFFECT_Pentagram(Orange)08.bmp;打撃 inori.wav;飛沫 橙 -.wav
#ドーマンセーマン(命中), 打撃 inori.wav;決め画像 "Magic\EFFECT_Pentagram(Orange)08.bmp" -.wav;飛沫 橙 Explode(small).wav
#ドーマンセーマン(命中), 打撃 inori.wav;五芒星 橙 -.wav;飛沫 橙 Explode(small).wav



#////////////////////////////////////////////////////
