
月華の剣士
一刀・嵐討(命中), 3;Punch.wav;3;Slash.wav;3;Slash.wav;Slash.wav
一刀・疾風, Whiz.wav
一刀・疾風(命中), Punch.wav
一刀・空牙(命中), 1;Swing.wav;Slash.wav
晨明・嵐討(命中), 3;Punch.wav;3;Slash.wav;3;Slash.wav;Thunder.wav
晨明・疾風, 3;Thunder.wav;Whiz.wav
晨明・疾風(命中), 3;Thunder.wav;Punch.wav
晨明・追風, 3;Thunder.wav;Whiz.wav
晨明・追風(命中), 3;Thunder.wav;Punch.wav
晨明・空牙(命中), 3;Thunder.wav;Slash.wav
晨明・連刃斬(命中), _.wav
活心・醒龍, 5;BeamSaber.wav;Swing.wav
活心・醒龍(命中), 3;Thunder.wav;Slash.wav
活心・蒼龍, 3;Thunder.wav;Saber.wav
活心・蒼龍(命中), 8;Stab.wav;2;Slash.wav;2;Slash.wav;5;Slash.wav;2;Thunder.wav;2;Thunder.wav;Thunder.wav
逸刀・朧, Saber.wav
逸刀・朧(命中), Slash.wav
逸刀・新月(命中), 1;Swing.wav;Slash.wav
逸刀・月影(命中), 1;Swing.wav;3;Slash.wav;6;Slash.wav;Slash.wav
活殺・十六夜月華, 0.8;Saber.wav;0.8;Saber.wav;0.8;Saber.wav;0.8;Saber.wav;0.8;Saber.wav;0.8;Saber.wav;0.8;Saber.wav;0.8;Saber.wav;0.8;Saber.wav;0.8;Saber.wav;0.8;Saber.wav;0.8;Saber.wav;0.8;Saber.wav;0.8;Saber.wav;0.8;Saber.wav;Saber.wav
活殺・十六夜月華(命中), 0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav
垂斬(命中), 3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Slash.wav;Slash.wav
氷刃, Saber.wav
長槍『牡丹』(命中), 1;Swing.wav;Stab.wav
霜華, Saber.wav
瞬雪斬(命中), 1;Swing.wav;Slash.wav
雪風巻(命中), 1;Swing.wav;3;Slash.wav;3;Slash.wav;5;Slash.wav;8;Slash.wav;Stab.wav
樹氷(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav
真・雪風巻, Storm.wav
真・雪風巻(命中), Stab.wav
亀筮・ちびた, Swing.wav
亀筮・ちびた(命中), Punch.wav
釣り竿『火梵』(命中), 1;Swing.wav;Punch.wav
亀舞・天, 1;Swing.wav;1;Swing.wav;Swing.wav
亀舞・天(命中), 1;Punch.wav;1;Punch.wav;Punch.wav
無功用, Saber.wav
無功用(命中), Punch.wav
亀筮・大吾郎, Swing.wav
亀筮・大吾郎(命中), Punch.wav
亀舞・地, 1;Swing.wav;1;Swing.wav;Swing.wav
亀舞・地(命中), 1;Punch.wav;1;Punch.wav;Punch.wav
釣果大良, Bow.wav
釣果大良(命中), Swing.wav
玄武の咆哮, Storm.wav
玄武の怒り, Swing.wav
玄武の怒り(命中), 8;Shock(Low).wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;Punch.wav
亀筮・福助, Punch.wav
白虎襲(命中), Punch.wav
白虎爪(命中), Slash.wav
烈咆吼(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav
暴虎馮河(命中), 1;Punch.wav;1;Punch.wav;Punch.wav
動天驚地(命中), 8;Punch.wav;5;Whiz.wav;8;Shock(Low).wav;Crash.wav
冥府への導き, Fire.wav
黄泉への翼, Whiz.wav
黄泉への翼(命中), Fire.wav
焦脚・陽炎, Whiz.wav
焦脚・陽炎(命中), Fire.wav
地獄の劫火, Whiz.wav
地獄の劫火(命中), 4;Fire.wav;Fire.wav
負の洗礼, LaserGun.wav
負の裁き, Whiz.wav
負の裁き(命中), Fire.wav
紺碧の猛禽, Whiz.wav
紺碧の猛禽(命中), Fire.wav
飛燕翼, Fire.wav
焦咆吼, Whiz.wav
焦咆吼(命中), Fire.wav
降炎襲, Whiz.wav
降炎襲(命中), Fire.wav
不知火, Whiz.wav
星火燎原, Fire.wav
紅蓮朱雀, Whiz.wav
紅蓮朱雀(命中), Fire.wav
焚書坑儒, Whiz.wav
焚書坑儒(命中), Fire.wav
鳳凰天昇, Whiz.wav
鳳凰天昇(命中), Fire.wav
光明五十五霊符(命中), Punch.wav
符呪・唱閃(命中), 3;Thunder.wav;Punch.wav
幣帛『明暗』(命中), 1;Swing.wav;Punch.wav
式紙・天空, Whiz.wav
式紙・天空(命中), Punch.wav
劾鬼・泥太坊, Whiz.wav
劾鬼・泥太坊(命中), Punch.wav
天文・星の巡り(命中), 3;Punch.wav;5;Punch.wav;Sharara.wav
式紙・六合, Saber.wav
劾鬼・清姫, Whiz.wav
劾鬼・清姫(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav
劾鬼・百鬼夜行, Saber.wav
護り人形, Sharara.wav
激震, 2;Swing.wav;Shock(Low).wav
金棒『金剛羅漢』(命中), 1;Swing.wav;Punch.wav
轟弾衝(命中), Explode.wav
たたきツケ(命中), 8;Punch.wav;2;Swing.wav;Shock(Low).wav
岩クダキ(命中), Explode.wav
疾空殺, Saber.wav
疾空殺(命中), Slash.wav
刀『隼』(命中), 1;Swing.wav;Stab.wav
俊殺, Saber.wav
俊殺(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
虚空殺, Saber.wav
虚空殺(命中), Stab.wav
俊速・無の間合い, Stab.wav
疾空殺, Saber.wav
疾空殺(命中), Slash.wav
刀『百舌』(命中), 1;Swing.wav;Stab.wav
無明剣(命中), 3;Stab.wav;3;Stab.wav;Stab.wav
無二・烈(命中), Stab.wav
禿鷲, Swing.wav
禿鷲(命中), Slash.wav
廻転肝えぐり(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
斬肉大鋏(命中), Slash.wav
斬肉鎌鼬(命中), Slash.wav
迷兇死衰・狂喜, 1;Swing.wav;1;Swing.wav;Swing.wav
迷兇死衰・狂喜(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
迷兇死衰・凶器(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
龍砕落(命中), 2;Punch.wav;2;Punch.wav;Punch.wav
無影脚(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;Punch.wav
炎旋翔, Fire.wav
炎龍擺尾, Fire.wav
炎龍擺尾(命中), Explode.wav
奥義・炎龍纏身, Fire.wav
奥義・炎龍纏身(命中), Explode.wav
風車(命中), 1;Swing.wav;Punch.wav
木刀『男前』(命中), 1;Swing.wav;Punch.wav
必至, 4;Swing.wav;4;Swing.wav;8;Swing.wav;Swing.wav
必至(命中), Crash.wav
雀刺し(命中), Punch.wav
桂馬の高上がり(命中), 2;Punch.wav;2;Punch.wav;Punch.wav
禁じ手！！抜き身(命中), 1;Swing.wav;Slash.wav
盤上此の一手！「と金」, Explode.wav
盤上此の一手！「飛車」, 1;Swing.wav;1;Swing.wav;Swing.wav
盤上此の一手！「角行」, 1;Swing.wav;1;Swing.wav;Swing.wav
骸縫い, Swing.wav
骸縫い(命中), Stab.wav
蟷螂刃(命中), 1;Swing.wav;Slash.wav
気孔砲, Whiz.wav
気孔砲(命中), Stab.wav
断ち骨破(命中), 1;Swing.wav;Slash.wav
流影刃(命中), 1;Swing.wav;Slash.wav
朧斬り(命中), 2;Swing.wav;2;Slash.wav;2;Slash.wav;Slash.wav
天魔落し(命中), 8;Whiz.wav;Shock(Low).wav
霞斬り(命中), 1;Swing.wav;Slash.wav
鋼断ち・改, Saber.wav
鋼断ち・改(命中), Slash.wav
天魔脚(命中), 3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;Slash.wav
断鋼刃, 3;Whiz.wav;Saber.wav
断鋼刃(命中), Slash.wav
蟷螂双刃(命中), 1;Swing.wav;2;Slash.wav;2;Slash.wav;4;Slash.wav;6;Slash.wav;8;Slash.wav
水面隠れ, Whiz.wav
水月を突く也(命中), 1;Swing.wav;Punch.wav
遠間にて斬る也, Saber.wav
遠間にて斬る也(命中), 1;Swing.wav;Slash.wav
近寄りて斬る也(命中), Slash.wav
発勝する神気也(命中), Slash.wav
無銘（伍）(命中), Thunder.wav
八十枉津日太刀(命中), 1;Swing.wav;2;Slash.wav;Slash.wav
無銘（壱）(命中), 3;Thunder.wav;Slash.wav
無銘（弐）(命中), 3;Thunder.wav;Slash.wav
無銘（参）(命中), 3;Thunder.wav;Slash.wav
無銘（四）(命中), 8;Punch.wav;Shock(Low).wav
無銘（絶）(命中), 3;Thunder.wav;Slash.wav
大小の刀(命中), 1;Swing.wav;2;Slash.wav;Slash.wav
十字構え(命中), 1;Swing.wav;Slash.wav
間欠泉, Shock(Low).wav
脅かし(命中), 4;Punch.wav;4;Slash.wav;8;Slash.wav;Slash.wav
枕二連(命中), 8;Stab.wav;5;Shock(Low).wav;Shock(Low).wav
空ヲ貫ク丹塗ノ矢, Bow.wav
空ヲ貫ク丹塗ノ矢(命中), Stab.wav
別天懇親ノ一刀(命中), 1;Swing.wav;Slash.wav
天津罪清メル大祓(命中), 1;Swing.wav;3;Slash.wav;3;Slash.wav;5;Slash.wav;Slash.wav
玄武・浄化ス水柱(命中), Storm.wav
朱雀・灼熱ノ火炎(命中), Fire.wav
青龍・怒号ノ雷鳴(命中), 5;Thunder.wav;5;Thunder.wav;Thunder.wav
