式神使い
格闘(命中), Punch.wav
御札, Page.wav;2;Whip.wav
食人鬼ザサエさん(準備), Charge(high).wav
食人鬼ザサエさん, Bazooka.wav
食人鬼ザサエさん(命中), Stab.wav
御札トラップボム(準備), Snap(E).wav
御札トラップボム, Explode(Small).wav
玉串, Whip.wav
光鴉ヤタ(準備), Swing.wav;1;Swing.wav;1;Swing.wav
光鴉ヤタ, Saber.wav
光鴉ヤタ(命中), Slash.wav
光鴉陣(準備), Charge(high).wav
光鴉陣, LaserGun.wav
大神雷球, Thunder.wav
大神変化(準備), Transform.wav
大神変化, Storm.wav
ほうき, Swing.wav
ルガー拳銃, Gun.wav
ＭＧ３４, MachineGun.wav
サテライトレーザー(準備), Hittyuu.wav
サテライトレーザー, BeamShot.wav
サテライトレーザー(命中), Explode(Far).wav
パンツァーファウスト, Bazooka.wav
パンツァーファウスト(命中), Explode.wav
地獄の炎, Explode(Small).wav;1;Explode(Small).wav;1;Fire.wav
魔術詠唱, Transform.wav
精霊手(準備), Whiz.wav
精霊手, Storm.wav
テコンドー(命中), Combo.wav
一斉射撃(準備), Reload.wav
一斉射撃, MachineGun.wav;2;Bazooka.wav2;Cannon.wav2;MachineGun.wav
次弾装填, Reload.wav
仁王剣(命中), Slash.wav
ナイフ(命中), Stab.wav
水蛇零式, Splash.wav
炎鳳零式, Fire.wav
雷虎零式, Thunder.wav
Ｎ・Ｅ・Ｐ(準備), 8;Reload.wav;Charge(long).wav
Ｎ・Ｅ・Ｐ, LaserGun.wav

式神
肉切り包丁(命中), Slash.wav
カンフー(命中), Punch(3).wav

あしきゆめ
体当たり(命中), Punch.wav
聖銃(ダミー), Beam.wav
光弾, BeamShot.wav
縛り札, Page.wav;2;BreakOff.wav
軍刀(命中), Slash.wav
炸裂弾, Explode(Small).wav
怨弾, Fire.wav
電撃結界, Thunder.wav
追尾レーザー, LaserGun.wav
突進(命中), Crash.wav
電撃球, Thunder.wav
日本刀(命中), Slash.wav
二刀流, Slash.wav;2;Sword.wav
旋風剣, Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
蒼炎弾, Fire.wav
超硬度大太刀, Swing.wav
超硬度大太刀(命中), Explode(Small).wav
衝撃波, Shock(Low).wav
結晶体, Glass.wav
カギ爪(命中), Stab.wav
万本針, SHOWER.WAV
節足(命中), Punch(4).wav
人魂, AntiShipMissile.wav
レーザー, BeamShot.wav
肉腫, Fold.wav
肉腫乱舞, Fold.wav;2;Fold.wav
呪詛の鎖, Drum.wav;2;Sword.wav
かみつき(命中), Stab.wav
主砲, Cannon.wav
三連火炎弾, Cannon.wav;1;Cannon.wav;1;Cannon.wav
触手, Fold.wav
機雷撒布, Bomb.wav
ミサイルポッド, MicroMissile.wav
突撃(命中), Crash.wav
大回転, Drill.wav
炸裂火炎弾, Explode.wav
大回転体当たり, Drill.wav
大回転体当たり(命中), Crash.wav
翼, Swing.wav
炸裂弾, Explode.wav
反射レーザー, BeamCoat.wav
尻尾(命中), Punch.wav
鱗弾, Snap(E).wav;2;Bow.wav
レーザーブレス, BeamShot.wav;2;Breath.wav
怪腕(命中), Punch(2).wav
怪虫, Fold.wav
大怪腕(命中), Punch(2).wav
火炎弾, Fire.wav
ひっかき(命中), Slash.wav
カミソリ(命中), Slash.wav
銃剣(命中), Stab.wav
ライフル, Rifle.wav
手裏剣(命中), Stab.wav
忍者刀(命中), Slash.wav
角(命中), Stab.wav
