
# 本データではＳＲＣＨＰ汎用コーナーで配布されてないアイコンを使用しています
#
# UQ_BeatyU.bmp

エンフィールド住民
########## 通常武装 ##########
ブロードソード, 剣
########## 固有武装 ##########
# アレフ＝コールソン
眠りのツボ, 打突
アレフストライク, 格闘
アレフパンチ, 打突
アレフキック, キック
アレフクラッシュ, タックル
タンデムアタック, 同時連打
# メロディ＝シンクレア
引っ掻き, 爪撃
ねこぱんち, 打突
# パティ＝ソール
フライパン(命中), 打撃
# リオ＝バクスター
ビーティ, 実弾発射 UQ_BeatyU.bmp
ビーティ(命中), 噛み付き
ビーティ(命中), 打撃
# ディアーナ＝レイニー
注射, 刺突
# トリーシャ＝フォスター
チョップ棒, 斬撃
チョップ棒(命中), 打撃 
トリーシャチョップ, 斬撃
トリーシャチョップ(命中), 打撃 Crash.wav
########## 物理攻撃・奥義 ##########
連撃, 連打
連撃(突魔), 連打
分散連撃, 連打
ファイナル・ストライク, 格闘
ファイナル・ストライク(命中), ダブル斬撃 Sword.wav
ジ・エンド・オブ・スレッド, 格闘
ジ・エンド・オブ・スレッド(命中), ダブル斬撃 Sword.wav
ジ・エンド・オブ・スレッド(突魔), 格闘
ジ・エンド・オブ・スレッド(突魔)(命中), ダブル斬撃 Sword.wav
########## 物理魔法 ##########
ルーン・バレット(準備), -
ルーン・バレット(攻撃), 火炎弾 赤 Cannon.wav
ルーン・バレット(命中), 爆発 赤
アイシクル・スピア(準備), -
アイシクル・スピア(攻撃), ニードルレーザー連射 青 Whiz.wav
アイシクル・スピア(命中), ニードルレーザー連射 青 Glass.wav
ニードル・スクリーム(準備), -
ニードル・スクリーム(攻撃), ニードル連射 Storm.wav
ニードル・スクリーム(命中), ニードルレーザー連射 黒 stab.wav
ヴォーテックス(準備), -
ヴォーテックス(攻撃), 強風 Storm.wav
ヴォーテックス(命中), 強風
カーマイン・スプレッド(準備), -
カーマイン・スプレッド(攻撃), 粒子集中 赤 Charge.wav
カーマイン・スプレッド(命中), 連続大爆発
ヴァニシング・ノヴァ(準備), -
ヴァニシング・ノヴァ(攻撃), 粒子集中 青 Charge(high).wav
ヴァニシング・ノヴァ(命中), 超爆発
########## 物理魔法・奥義 ##########
デッドリー・ウェッジ(準備), -
デッドリー・ウェッジ(攻撃), 光投射 白
デッドリー・ウェッジ(命中), 発光 白 stab.wav
メテオライト・スマッシュ(準備), -
メテオライト・スマッシュ(攻撃), 隕石
メテオライト・スマッシュ(命中), 大爆発
########## 神聖魔法 ##########
ホーリー・ヒール, @ＳＰアニメ_信頼 相手ユニット 相手ユニット
ホーリー・ライト, @ＳＰアニメ_信頼 相手ユニット 相手ユニット
ディヴァイン・シャフト, 光柱 Sharara.wav
ディヴァイン・エンブレイズ, 光柱 Sharara.wav
########## 精霊魔法 ##########
ウンディーネ・ティアズ, 粒子集中 青 相手ユニットＩＤ SeaShore.wav
シルフィード・フェザー, 羽 相手ユニットＩＤ Sharara.wav ;運動性ＵＰ
イシュタル・ブレス, 粒子集中 緑 相手ユニットＩＤ;防御力ＵＰ
イフリータ・キッス, @ＳＰアニメ_熱血 相手ユニット 相手ユニット;攻撃力ＵＰ
エーテル・バースト, 粒子集中 白 相手ユニットＩＤ;3;@ＳＰアニメ_信頼 相手ユニット 相手ユニット
########## 障害系奥義 ##########
リル・イン・チェリッシュ, 粒子集中 白 相手ユニットＩＤ Sharara.wav ;運動性ＵＰ
エンドル・ウェアーズ, 粒子集中 緑 相手ユニットＩＤ;防御力ＵＰ
フィーバー・ランページ, 炎 相手ユニットＩＤ;攻撃力ＵＰ
エンチャント・マジック, 五芒星 青 Charge.wav;攻撃力ＵＰ
########## 錬金魔法 ##########
フレイム・ジェイル(準備), -
フレイム・ジェイル(攻撃), @ホーミングレーザー命中 レッド Fire.wav
フレイム・ジェイル(命中), 炎
グラビティ・チェイン(準備), -
グラビティ・チェイン(攻撃), 触手 ホワイト
アクア・レフューズ(準備), -
アクア・レフューズ(攻撃), 津波 青 SeaShore.wav
アブソリュート・ゼロ, 重力圧縮
タイムズ・ウィスパー(命中), 時間逆行
########## 状態異常奥義 ##########
こしょう爆弾, ビン
こしょう爆弾(命中), 飛沫 黒
天使の微笑み(攻撃), @ＳＰアニメ_魅惑 相手ユニット 相手ユニット
天使の微笑み(クリティカル), @ＳＰアニメ_魅惑 相手ユニット 相手ユニット
########## その他 ##########
シールド防御(護身獣ビーティ), シールド防御 UQ_BeatyU.bmp
