ブルーフェザー
シャープン(解説), $(パイロット)は魔力を乗せた攻撃をかけた。
インファーノ(解説), $(パイロット)はインファーノで攻撃をかけた。
バーン(解説), $(パイロット)はバーンで攻撃をかけた。
ディグナティ(解説), $(パイロット)はディグナティで攻撃をかけた。
ランペイジ(解説), $(パイロット)はランペイジで攻撃をかけた。
コンクエスト(解説), $(パイロット)はコンクエストで攻撃をかけた。
スラッシュ(解説), $(パイロット)はスラッシュで攻撃をかけた。
サヴェラテイ(解説), $(パイロット)はサヴェラテイで攻撃をかけた。
水の戦陣結界(解説), $(パイロット)は水の戦陣結界を張った。
地の戦陣結界(解説), $(パイロット)は地の戦陣結界を張った。
フレイム, Fire.wav
ブレイズ, Fire.wav
トリディティ, 15;AntiShipMissile.wav;Explode(Far).wav
ヴォルケイノ, Breath.wav
コロナ, 2;Explode.wav;2;Explode.wav;2;Explode.wav;2;Explode.wav
クリムゾン, 20;Fire.wav;2;Explode.wav;2;Explode.wav
スカーレット, AntiAirMissile.wav
ブラスト, Whiz.wav
ゲイル, Whiz.wav
エアバースト, Storm.wav
ソニックバン, Storm.wav
サイクロン, Storm.wav
ウィンドミル, Storm.wav
スプラッシュ, Splash.wav
ストリーム, Splash.wav
カーラント, MultipleRocketLauncher(Light).wav
トーレント, MultipleRocketLauncher(Light).wav
フラッド, MicroMissile.wav
オーカー, SeaShore.wav
デューン, SeaShore.wav
サンドヒル, MultipleRocketLauncher(Light).wav
サンドガスト, MultipleRocketLauncher.wav
デスバレイ, 10;FastGun.wav;Fire.wav
バーン, 7;Explode.wav;Punch.wav
ランペイジ, 7;Punch.wav;Explode.wav
インファーノ, 10;Slash.wav;Explode.wav
コンクエスト, 10;combo.wav;Explode.wav
ウィンディ, 7;Whiz.wav;Punch.wav
ディグナティ, 7;Whiz.wav;Punch.wav
ストリーク, 7;Whiz.wav;Combo.wav
スパウト, 7;Bubble.wav;Punch.wav
スナッチ, 7;Bubble.wav;Punch.wav
ラバリー, 7;Bubble.wav;Punch.wav
ソイル, Bazooka.wav
スラッシュ(命中), Punch(2).wav
サヴェラティ, Bazooka.wav
舌(汚い魔物)(解説), $(ユニット)は$(相手ユニット)の顔を舐めた。
カプセル(解説), $(ユニット)はカプセルを投げつけた。
鎌(シンカー)(解説), $(ユニット)は鎌のような爪で攻撃した。
はたく(解説),  $(ユニット)は$(相手ユニット)をはたいた。








