戦場のヴァルキュリア
ライフル, 銃撃武器 EFFECT_BVAL_Rifle.bmp 40
ランドグリーザー(準備), 射撃武器 EFFECT_BVAL_Rifle.bmp 40
ランドグリーザー(攻撃), 小型ミサイル
ランドグリーザー(命中), 爆発
ヘッドショット, 銃撃武器 EFFECT_BVAL_Rifle.bmp 40
狙撃用ライフル, 対物ライフル
連射狙撃用ライフル, 対物ライフル
対戦車狙撃用ライフル, 対戦車ライフル
ヘッドショット(狙), 対物ライフル
火炎放射器(準備), 射撃武器 EFFECT_BVAL_SMG.bmp 36
火炎放射器(攻撃), 火炎放射
火炎放射器(命中), 火炎放射
サブマシンガン, 銃撃武器連射 EFFECT_BVAL_SMG.bmp 36
ヘッドショット(突), 銃撃武器連射 EFFECT_BVAL_SMG.bmp 36
機関銃斉射, 銃撃武器連射 EFFECT_BVAL_MG.bmp 40
機関銃, 銃撃武器連射 EFFECT_BVAL_MG.bmp 40
重機関銃, 銃撃武器連射 EFFECT_BVAL_MG.bmp 40
迫撃槍(準備), 射撃武器 EFFECT_BVAL_ATRance.bmp 64
迫撃槍(攻撃), 小型ミサイル
迫撃槍(命中), 爆発
対戦車槍(準備), 射撃武器 EFFECT_BVAL_ATRance.bmp 64
対戦車槍(攻撃), 小型ミサイル
対戦車槍(命中), 爆発
重対戦車槍(準備), 射撃武器 EFFECT_BVAL_ATRance.bmp 64
重対戦車槍(攻撃), 小型ミサイル
重対戦車槍(命中), 爆発
零距離攻撃(準備), 射撃武器 EFFECT_BVAL_ATRance.bmp 64
零距離攻撃(攻撃), 小型ミサイル
零距離攻撃(命中), 大爆発
ピストル, ピストル
軍用レンチ, ウォーハンマー
剣, 大剣
爆剣(準備), ハンマー
爆剣(攻撃), 振り上げ
爆剣(命中), 爆発
大剣, 巨大剣
ガトリングガン, ガトリングガン
機銃, 機関砲
火炎放射器(戦車), 火炎放射
迫撃砲, グレネード
主砲, キャノン砲
光弾, 光弾 黄
擬似ヴァルキュリアの閃光, 超ビーム 黄
