
世界樹の冒険者
###################  主人公
ハイランダーの槍, パイク
ハーベスト(準備), パイク
ハーベスト(攻撃), 振り上げ
ハーベスト(命中), 吸収
レギオンスラスト(準備), パイク
レギオンスラスト(攻撃), 円弧斬撃;なぎ払い
レギオンスラスト(命中), 斬撃
ブレインレンド(準備), パイク
ブレインレンド(攻撃), 振り上げ
ブレインレンド(命中), 斬撃 Crash.wav
ロングスラスト, パイク突撃
スピアインボルブ(準備), 粒子集中 赤
スピアインボルブ(準備), 粒子集中 青
スピアインボルブ(準備), 粒子集中 黄
スピアインボルブ(攻撃), パイク突撃
スピアインボルブ(命中), 炎斬撃;凍斬撃;雷斬撃
ディレイチャージ(準備), オーラ上昇 黒
ディレイチャージ(攻撃), パイク突撃
ディレイチャージ(命中), 大斬撃
クロスチャージ, 振り上げ大斬撃
ディレイクロスチャージ(攻撃), 分身刺突
ディレイクロスチャージ(攻撃), 分身斬撃
ディレイクロスチャージ(命中), 大斬撃;振り上げ大斬撃
###################  フレドリカ
銃, ピストル
ウィークショット(準備), ピストル
ウィークショット(攻撃), ピストル
ウィークショット(命中), ダメージ Glass.wav
ヘッドスナイプ(準備), ピストル
ヘッドスナイプ(攻撃), ロックオン;ピストル
ヘッドスナイプ(命中), 銃弾
アームスナイプ(準備), ピストル
アームスナイプ(攻撃), ロックオン;ピストル
アームスナイプ(命中), 銃弾
レッグスナイプ(準備), ピストル
レッグスナイプ(攻撃), ロックオン;ピストル
レッグスナイプ(命中), 銃弾
フレイムショット(準備), Reload(4).wav;3;ピストル -.wav
フレイムショット(攻撃), 火炎弾 Gun.wav
フレイムショット(命中), 銃弾;ダメージ 赤 Explode.wav
アイスショット(準備), Reload(4).wav;3;ピストル -.wav
アイスショット(攻撃), 火炎弾 青 Gun.wav
アイスショット(命中), 銃弾;ダメージ 青 Freeze.wav
サンダーショット(準備), Reload(4).wav;3;ピストル -.wav
サンダーショット(攻撃), 火炎弾 黄 Gun.wav
サンダーショット(命中), 銃弾;ダメージ 黄 Thunder.wav
ペネトレイター(準備), ピストル
ペネトレイター(攻撃), ピストル Rifle.wav
ペネトレイター(命中), 点打 Glass.wav
チャージショット(準備), 粒子集中;ピストル
チャージショット(攻撃), ロックオン;ピストル
チャージショット(命中), 銃弾;爆発
跳弾(準備), ピストル
跳弾(攻撃), ピストル;ピストル;ピストル;ピストル;ピストル
跳弾(命中), 銃弾;銃弾;銃弾;銃弾;銃弾
後方撹乱(準備), ピストル
後方撹乱(攻撃), ピストル;ピストル;ピストル
リチャージ, 粒子集中;補給装置
###################  サイモン
ポイズンドラッグ, 毒薬
パライズドラッグ, 薬品 黄
スリープドラッグ, 薬品 青
サーベル, サーベル
レイジングエッジ, サーベル突撃
ヒーリング(準備), 薬品 青
ヒーリング(発動), 修理装置
リザクレション(準備), 薬品 青
リザクレション(発動), 修理装置
エリアキュア(準備), 薬品 青
エリアキュア(発動), 修理装置
リフレッシュ(準備), 薬品 白
リフレッシュ(発動), 修理装置
リジェネレート, 粒子集中 相手ユニットＩＤ
医術防御, オーラ上昇 白 相手ユニットＩＤ
###################  ラクーナ
ロングソード, 剣
シールドスマイト(準備), 振る武器 Shield\EFFECT_TowerShield01.bmp
シールドスマイト(攻撃), 斬撃
シールドスマイト(命中), 打撃 白 Crash.wav
シールドラッシュ(準備), 振る武器 Shield\EFFECT_TowerShield01.bmp
シールドラッシュ(攻撃), 振る武器突撃 Shield\EFFECT_TowerShield01.bmp Swing.wav;振り上げ;振り下ろし
シールドラッシュ(命中), 打撃 白 Crash.wav;乱打 白 Crash.wav;スーパーパンチ 白 Crash.wav
シールド防御, タワーシールド
