世界樹の冒険者
###################  解説(～の呪文を唱えたの表示防止用)
握壊の術式(解説), $(ユニット)は握壊の術式で攻撃をかけた。
光撃の術式(解説), $(ユニット)は光撃の術式で攻撃をかけた。
炎の術式(解説), $(ユニット)は火の術式で攻撃をかけた。
氷の術式(解説), $(ユニット)は氷の術式で攻撃をかけた。
雷の術式(解説), $(ユニット)は雷の術式で攻撃をかけた。
火炎の術式(解説), $(ユニット)は火炎の術式で攻撃をかけた。
氷結の術式(解説), $(ユニット)は氷結の術式で攻撃をかけた。
電撃の術式(解説), $(ユニット)は電撃の術式で攻撃をかけた。
大爆炎の術式(解説), $(ユニット)は大爆炎の術式で攻撃をかけた。
息吹改(解説), $(ユニット)は息吹改により回復を行った。
弱法師の呪言(解説), $(ユニット)は弱法師の呪言を唱えた。
封の呪言：頭首(解説), $(ユニット)は頭首を封じる呪言を唱えた。
封の呪言：上肢(解説), $(ユニット)は上肢を封じる呪言を唱えた。
禍神の呪言(解説), $(ユニット)は禍神の呪言を唱えた。
###################  シララの呼び掛け
混乱の歌声(解説), シララの呼びかけに応え、冷酷なる貴婦人が混乱の歌声で攻撃をかけた。
石化の輝き(解説), シララの呼びかけに応え、アークピクシーが石化の輝きで攻撃をかけた。
炎の渦(解説), シララの呼びかけに応え、フォレストデモンが炎の渦で攻撃をかけた。
大海原の侵食(解説), シララの歌に応え、コロトラングルが大海原の浸食で攻撃をかけた。
サンダーウィング(解説), シララの歌に応え、イワオロペネレプがサンダーウィングで攻撃をかけた。


汎用
###################  アイテム関連
ココヘッチェ(解説), シララの呼びかけに応え、フォレストデモンが炎の渦で攻撃をかけた。
コシマヘッチェ(解説), シララの呼びかけに応え、冷酷なる貴婦人が混乱の歌声で攻撃をかけた。
ポンぺヘッチェ(解説), シララの呼びかけに応え、アークピクシーが石化の輝きで攻撃をかけた。
コンルシノッチャ(解説), シララの歌に応え、コロトラングルが大海原の浸食で攻撃をかけた。
カンナシノッチャ(解説), シララの歌に応え、イワオロペネレプがサンダーウィングで攻撃をかけた。
